open,close,high,low,value,volume,begin,end,symbol
3.2475,3.2475,3.2475,3.2475,26304.75,8100,2022-09-19 09:59:00,2022-09-19 09:59:59,IRAO
3.2425,3.2305,3.243,3.228,1235476.9,382100,2022-09-19 10:00:00,2022-09-19 10:00:59,IRAO
3.2305,3.223,3.2305,3.223,290236.6500000001,90000,2022-09-19 10:01:00,2022-09-19 10:01:59,IRAO
3.2275,3.227,3.229,3.2255,213954.00000000003,66300,2022-09-19 10:02:00,2022-09-19 10:02:59,IRAO
3.229,3.2305,3.232,3.2275,165673.75000000003,51300,2022-09-19 10:03:00,2022-09-19 10:03:59,IRAO
3.232,3.24,3.2425,3.2305,807614.4,249400,2022-09-19 10:04:00,2022-09-19 10:04:59,IRAO
3.24,3.243,3.247,3.24,308074.15,95000,2022-09-19 10:05:00,2022-09-19 10:05:59,IRAO
3.2425,3.243,3.243,3.2405,250284.84999999998,77200,2022-09-19 10:06:00,2022-09-19 10:06:59,IRAO
3.243,3.2425,3.243,3.2405,384489.85,118600,2022-09-19 10:07:00,2022-09-19 10:07:59,IRAO
3.243,3.2335,3.243,3.232,486223.05,150200,2022-09-19 10:08:00,2022-09-19 10:08:59,IRAO
3.233,3.2345,3.2355,3.232,198217.5,61300,2022-09-19 10:09:00,2022-09-19 10:09:59,IRAO
3.2365,3.236,3.237,3.2345,93861.64999999998,29000,2022-09-19 10:10:00,2022-09-19 10:10:59,IRAO
3.2375,3.239,3.239,3.2365,201685.90000000002,62300,2022-09-19 10:11:00,2022-09-19 10:11:59,IRAO
3.24,3.2455,3.2495,3.2385,703708.8000000002,216900,2022-09-19 10:12:00,2022-09-19 10:12:59,IRAO
3.2455,3.243,3.246,3.241,109652.8,33800,2022-09-19 10:13:00,2022-09-19 10:13:59,IRAO
3.2435,3.244,3.245,3.2425,171898.75,53000,2022-09-19 10:14:00,2022-09-19 10:14:59,IRAO
3.244,3.25,3.25,3.24,454629.25000000006,140100,2022-09-19 10:15:00,2022-09-19 10:15:59,IRAO
3.25,3.248,3.251,3.248,218382.1,67200,2022-09-19 10:16:00,2022-09-19 10:16:59,IRAO
3.2495,3.2485,3.2495,3.2465,280660.25000000006,86400,2022-09-19 10:17:00,2022-09-19 10:17:59,IRAO
3.2485,3.247,3.2485,3.246,367875.4000000001,113300,2022-09-19 10:18:00,2022-09-19 10:18:59,IRAO
3.248,3.245,3.248,3.245,535499.35,165000,2022-09-19 10:19:00,2022-09-19 10:19:59,IRAO
3.246,3.248,3.248,3.245,314261.05000000005,96800,2022-09-19 10:20:00,2022-09-19 10:20:59,IRAO
3.248,3.2475,3.2485,3.2465,286774.85,88300,2022-09-19 10:21:00,2022-09-19 10:21:59,IRAO
3.247,3.248,3.248,3.245,279117.0,86000,2022-09-19 10:22:00,2022-09-19 10:22:59,IRAO
3.2485,3.2485,3.2485,3.2455,108466.35,33400,2022-09-19 10:23:00,2022-09-19 10:23:59,IRAO
3.2485,3.249,3.249,3.2475,209202.25,64400,2022-09-19 10:24:00,2022-09-19 10:24:59,IRAO
3.2485,3.2485,3.2485,3.247,15590.95,4800,2022-09-19 10:25:00,2022-09-19 10:25:59,IRAO
3.2485,3.249,3.249,3.248,143273.84999999998,44100,2022-09-19 10:26:00,2022-09-19 10:26:59,IRAO
3.249,3.252,3.252,3.2485,255445.4,78600,2022-09-19 10:27:00,2022-09-19 10:27:59,IRAO
3.252,3.2485,3.253,3.2485,182681.30000000002,56200,2022-09-19 10:28:00,2022-09-19 10:28:59,IRAO
3.2505,3.249,3.2505,3.249,276827.44999999995,85200,2022-09-19 10:29:00,2022-09-19 10:29:59,IRAO
3.249,3.25,3.2505,3.249,52327.649999999994,16100,2022-09-19 10:30:00,2022-09-19 10:30:59,IRAO
3.249,3.245,3.25,3.245,335073.6,103200,2022-09-19 10:31:00,2022-09-19 10:31:59,IRAO
3.2475,3.2495,3.2495,3.2465,104247.84999999999,32100,2022-09-19 10:32:00,2022-09-19 10:32:59,IRAO
3.249,3.249,3.2505,3.249,181662.7,55900,2022-09-19 10:33:00,2022-09-19 10:33:59,IRAO
3.2495,3.2465,3.25,3.246,83132.95,25600,2022-09-19 10:34:00,2022-09-19 10:34:59,IRAO
3.248,3.248,3.2485,3.2465,81204.09999999999,25000,2022-09-19 10:35:00,2022-09-19 10:35:59,IRAO
3.248,3.2485,3.2485,3.246,24681.7,7600,2022-09-19 10:36:00,2022-09-19 10:36:59,IRAO
3.248,3.248,3.248,3.2465,9743.4,3000,2022-09-19 10:37:00,2022-09-19 10:37:59,IRAO
3.2465,3.246,3.248,3.246,25645.55,7900,2022-09-19 10:38:00,2022-09-19 10:38:59,IRAO
3.246,3.2515,3.2515,3.246,272048.85,83700,2022-09-19 10:39:00,2022-09-19 10:39:59,IRAO
3.252,3.254,3.2545,3.25,438876.5999999999,134900,2022-09-19 10:40:00,2022-09-19 10:40:59,IRAO
3.2545,3.2525,3.2545,3.2525,650.7,200,2022-09-19 10:41:00,2022-09-19 10:41:59,IRAO
3.2525,3.257,3.257,3.252,552318.7999999999,169700,2022-09-19 10:42:00,2022-09-19 10:42:59,IRAO
3.257,3.255,3.257,3.255,8790.65,2700,2022-09-19 10:43:00,2022-09-19 10:43:59,IRAO
3.255,3.257,3.257,3.255,107793.7,33100,2022-09-19 10:44:00,2022-09-19 10:44:59,IRAO
3.2565,3.256,3.257,3.2535,1288489.6500000004,395800,2022-09-19 10:45:00,2022-09-19 10:45:59,IRAO
3.256,3.257,3.257,3.256,98339.3,30200,2022-09-19 10:46:00,2022-09-19 10:46:59,IRAO
3.257,3.2595,3.2595,3.257,349696.05000000016,107300,2022-09-19 10:47:00,2022-09-19 10:47:59,IRAO
3.2595,3.259,3.2595,3.257,150567.60000000003,46200,2022-09-19 10:48:00,2022-09-19 10:48:59,IRAO
