open,close,high,low,value,volume,begin,end,symbol
137.4,137.4,137.4,137.4,9564414.0,69610,2022-09-19 09:59:00,2022-09-19 09:59:59,SBER
137.45,137.18,137.45,137.07,50537424.6,368310,2022-09-19 10:00:00,2022-09-19 10:00:59,SBER
137.18,137.3,137.32,137.07,36733778.400000006,267660,2022-09-19 10:01:00,2022-09-19 10:01:59,SBER
137.3,137.32,137.4,137.1,22581728.19999999,164530,2022-09-19 10:02:00,2022-09-19 10:02:59,SBER
137.35,137.31,137.4,137.26,10187653.1,74180,2022-09-19 10:03:00,2022-09-19 10:03:59,SBER
137.35,137.53,137.69,137.29,42207283.59999998,307000,2022-09-19 10:04:00,2022-09-19 10:04:59,SBER
137.53,137.46,137.68,137.4,24753093.89999999,179950,2022-09-19 10:05:00,2022-09-19 10:05:59,SBER
137.46,137.7,137.7,137.35,21709045.500000004,157840,2022-09-19 10:06:00,2022-09-19 10:06:59,SBER
137.7,137.98,137.99,137.59,27707365.000000007,201060,2022-09-19 10:07:00,2022-09-19 10:07:59,SBER
137.95,137.86,138.05,137.77,28976962.000000004,210080,2022-09-19 10:08:00,2022-09-19 10:08:59,SBER
137.89,137.95,137.97,137.78,15193143.399999991,110170,2022-09-19 10:09:00,2022-09-19 10:09:59,SBER
137.96,137.8,137.96,137.8,8838302.299999999,64100,2022-09-19 10:10:00,2022-09-19 10:10:59,SBER
137.81,137.79,137.86,137.78,13659462.600000009,99120,2022-09-19 10:11:00,2022-09-19 10:11:59,SBER
137.79,137.85,137.96,137.78,29472918.30000001,213780,2022-09-19 10:12:00,2022-09-19 10:12:59,SBER
137.86,137.82,137.92,137.82,8773663.399999999,63640,2022-09-19 10:13:00,2022-09-19 10:13:59,SBER
137.81,137.77,137.83,137.71,19485804.400000002,141420,2022-09-19 10:14:00,2022-09-19 10:14:59,SBER
137.77,137.8,137.82,137.71,10588201.699999997,76850,2022-09-19 10:15:00,2022-09-19 10:15:59,SBER
137.81,137.76,137.81,137.64,15693019.099999992,113960,2022-09-19 10:16:00,2022-09-19 10:16:59,SBER
137.7,137.65,137.76,137.63,4121202.0000000014,29930,2022-09-19 10:17:00,2022-09-19 10:17:59,SBER
137.63,137.69,137.69,137.6,9838662.699999997,71480,2022-09-19 10:18:00,2022-09-19 10:18:59,SBER
137.65,137.75,137.79,137.63,3980700.999999999,28900,2022-09-19 10:19:00,2022-09-19 10:19:59,SBER
137.77,137.95,137.98,137.77,43028944.99999999,312080,2022-09-19 10:20:00,2022-09-19 10:20:59,SBER
137.98,138.56,138.56,137.97,98167010.99999984,709830,2022-09-19 10:21:00,2022-09-19 10:21:59,SBER
138.56,138.46,138.63,138.4,56262320.10000002,406090,2022-09-19 10:22:00,2022-09-19 10:22:59,SBER
138.48,138.72,138.83,138.42,96578422.1000001,696290,2022-09-19 10:23:00,2022-09-19 10:23:59,SBER
138.72,138.62,138.75,138.56,18970460.000000004,136800,2022-09-19 10:24:00,2022-09-19 10:24:59,SBER
138.62,138.54,138.65,138.53,16797445.5,121210,2022-09-19 10:25:00,2022-09-19 10:25:59,SBER
138.54,138.5,138.58,138.4,20715543.799999986,149600,2022-09-19 10:26:00,2022-09-19 10:26:59,SBER
138.5,138.67,138.72,138.5,18378024.900000103,132560,2022-09-19 10:27:00,2022-09-19 10:27:59,SBER
138.7,138.54,138.7,138.51,16869504.000000004,121690,2022-09-19 10:28:00,2022-09-19 10:28:59,SBER
138.51,138.36,138.59,138.33,13526142.3,97710,2022-09-19 10:29:00,2022-09-19 10:29:59,SBER
138.37,138.31,138.53,138.26,17865482.499999993,129120,2022-09-19 10:30:00,2022-09-19 10:30:59,SBER
138.26,138.27,138.35,138.25,10254159.799999997,74150,2022-09-19 10:31:00,2022-09-19 10:31:59,SBER
138.26,138.45,138.5,138.23,15018132.499999989,108530,2022-09-19 10:32:00,2022-09-19 10:32:59,SBER
138.45,138.5,138.57,138.45,9524442.699999992,68760,2022-09-19 10:33:00,2022-09-19 10:33:59,SBER
138.5,138.33,138.57,138.33,11810615.800000003,85300,2022-09-19 10:34:00,2022-09-19 10:34:59,SBER
138.33,138.33,138.41,138.3,15403562.000000015,111330,2022-09-19 10:35:00,2022-09-19 10:35:59,SBER
138.33,138.34,138.37,138.33,3804445.999999999,27500,2022-09-19 10:36:00,2022-09-19 10:36:59,SBER
138.34,138.38,138.39,138.34,5261446.499999999,38030,2022-09-19 10:37:00,2022-09-19 10:37:59,SBER
138.38,138.42,138.48,138.36,5292866.700000001,38240,2022-09-19 10:38:00,2022-09-19 10:38:59,SBER
138.47,138.5,138.5,138.42,4363759.3999999985,31510,2022-09-19 10:39:00,2022-09-19 10:39:59,SBER
138.5,138.57,138.61,138.5,11192212.6,80770,2022-09-19 10:40:00,2022-09-19 10:40:59,SBER
138.59,138.36,138.6,138.33,10132120.400000006,73170,2022-09-19 10:41:00,2022-09-19 10:41:59,SBER
138.33,138.35,138.36,138.3,4868759.600000005,35200,2022-09-19 10:42:00,2022-09-19 10:42:59,SBER
138.34,138.32,138.35,138.3,5141200.500000001,37170,2022-09-19 10:43:00,2022-09-19 10:43:59,SBER
138.34,138.37,138.37,138.3,7632739.3999999985,55180,2022-09-19 10:44:00,2022-09-19 10:44:59,SBER
138.37,138.32,138.49,138.3,10938052.799999993,79040,2022-09-19 10:45:00,2022-09-19 10:45:59,SBER
138.31,138.69,138.7,138.24,57721312.00000001,416730,2022-09-19 10:46:00,2022-09-19 10:46:59,SBER
138.7,138.5,138.75,138.43,36663416.00000007,264440,2022-09-19 10:47:00,2022-09-19 10:47:59,SBER
138.5,138.72,138.72,138.37,56842977.899999976,410010,2022-09-19 10:48:00,2022-09-19 10:48:59,SBER
138.72,138.72,138.72,138.59,8675984.399999999,62570,2022-09-19 10:49:00,2022-09-19 10:49:59,SBER
138.72,138.91,139.08,138.55,73531208.99999999,529460,2022-09-19 10:50:00,2022-09-19 10:50:59,SBER
138.9,138.68,139.05,138.68,22071575.900000017,158930,2022-09-19 10:51:00,2022-09-19 10:51:59,SBER
138.68,138.75,138.84,138.66,9264466.099999998,66780,2022-09-19 10:52:00,2022-09-19 10:52:59,SBER
138.71,138.76,138.79,138.7,9993959.499999994,72040,2022-09-19 10:53:00,2022-09-19 10:53:59,SBER
138.76,138.72,138.79,138.71,4071019.9000000013,29340,2022-09-19 10:54:00,2022-09-19 10:54:59,SBER
138.74,138.66,138.75,138.65,10640813.899999997,76720,2022-09-19 10:55:00,2022-09-19 10:55:59,SBER
138.66,138.57,138.7,138.55,14693462.799999993,105990,2022-09-19 10:56:00,2022-09-19 10:56:59,SBER
138.62,138.56,138.62,138.52,10677431.000000002,77060,2022-09-19 10:57:00,2022-09-19 10:57:59,SBER
138.56,138.59,138.63,138.55,3533930.0,25500,2022-09-19 10:58:00,2022-09-19 10:58:59,SBER
138.61,138.67,138.7,138.6,2742744.6000000024,19780,2022-09-19 10:59:00,2022-09-19 10:59:59,SBER
138.67,138.67,138.75,138.66,6494472.399999999,46820,2022-09-19 11:00:00,2022-09-19 11:00:59,SBER
138.68,138.72,138.74,138.67,4394505.200000001,31680,2022-09-19 11:01:00,2022-09-19 11:01:59,SBER
138.73,138.69,138.75,138.69,5039720.300000006,36330,2022-09-19 11:02:00,2022-09-19 11:02:59,SBER
138.69,138.57,138.71,138.57,9034636.799999999,65170,2022-09-19 11:03:00,2022-09-19 11:03:59,SBER
138.57,138.55,138.6,138.46,28132981.700000018,203080,2022-09-19 11:04:00,2022-09-19 11:04:59,SBER
138.55,138.47,138.59,138.47,9913362.999999998,71570,2022-09-19 11:05:00,2022-09-19 11:05:59,SBER
138.47,138.49,138.51,138.45,4047573.1,29230,2022-09-19 11:06:00,2022-09-19 11:06:59,SBER
138.45,138.31,138.46,138.31,18711359.3,135210,2022-09-19 11:07:00,2022-09-19 11:07:59,SBER
138.31,138.45,138.45,138.28,10119963.89999998,73160,2022-09-19 11:08:00,2022-09-19 11:08:59,SBER
138.42,138.45,138.45,138.42,1867376.1000000003,13490,2022-09-19 11:09:00,2022-09-19 11:09:59,SBER
138.43,138.38,138.47,138.31,8366745.7000000095,60450,2022-09-19 11:10:00,2022-09-19 11:10:59,SBER
138.38,138.15,138.38,138.02,54328137.69999998,393180,2022-09-19 11:11:00,2022-09-19 11:11:59,SBER
138.15,138.16,138.2,138.15,4798430.599999999,34730,2022-09-19 11:12:00,2022-09-19 11:12:59,SBER
138.16,138.09,138.17,138.08,16966719.20000001,122840,2022-09-19 11:13:00,2022-09-19 11:13:59,SBER
138.09,138.1,138.15,137.93,31804903.299999982,230450,2022-09-19 11:14:00,2022-09-19 11:14:59,SBER
138.1,137.96,138.2,137.96,17950071.499999993,129980,2022-09-19 11:15:00,2022-09-19 11:15:59,SBER
137.96,137.88,137.99,137.81,13796309.000000006,100070,2022-09-19 11:16:00,2022-09-19 11:16:59,SBER
137.9,138.02,138.12,137.86,28806711.499999993,208750,2022-09-19 11:17:00,2022-09-19 11:17:59,SBER
138.02,137.99,138.09,137.96,6522735.799999996,47260,2022-09-19 11:18:00,2022-09-19 11:18:59,SBER
137.96,137.99,138.0,137.94,4605789.899999998,33380,2022-09-19 11:19:00,2022-09-19 11:19:59,SBER
137.99,137.96,137.99,137.93,4371482.899999999,31690,2022-09-19 11:20:00,2022-09-19 11:20:59,SBER
137.94,137.84,137.96,137.81,15694604.700000007,113820,2022-09-19 11:21:00,2022-09-19 11:21:59,SBER
137.81,137.88,137.91,137.67,40017503.7,290460,2022-09-19 11:22:00,2022-09-19 11:22:59,SBER
137.9,138.18,138.18,137.88,25029024.899999987,181350,2022-09-19 11:23:00,2022-09-19 11:23:59,SBER
138.17,138.2,138.2,138.1,4884705.300000002,35360,2022-09-19 11:24:00,2022-09-19 11:24:59,SBER
138.2,138.2,138.2,138.1,8007799.5,57960,2022-09-19 11:25:00,2022-09-19 11:25:59,SBER
138.17,138.15,138.21,138.13,1764320.3999999997,12770,2022-09-19 11:26:00,2022-09-19 11:26:59,SBER
138.13,138.08,138.15,138.0,29872732.700000007,216400,2022-09-19 11:27:00,2022-09-19 11:27:59,SBER
138.12,137.95,138.13,137.95,5897541.3,42720,2022-09-19 11:28:00,2022-09-19 11:28:59,SBER
138.0,137.86,138.0,137.8,7732637.599999993,56090,2022-09-19 11:29:00,2022-09-19 11:29:59,SBER
137.86,137.57,137.86,137.56,33443422.100000013,242990,2022-09-19 11:30:00,2022-09-19 11:30:59,SBER
137.56,137.6,137.6,137.5,22901636.8,166490,2022-09-19 11:31:00,2022-09-19 11:31:59,SBER
137.6,137.67,137.73,137.58,11483327.500000004,83430,2022-09-19 11:32:00,2022-09-19 11:32:59,SBER
137.68,137.73,137.73,137.62,3610628.2999999966,26220,2022-09-19 11:33:00,2022-09-19 11:33:59,SBER
137.71,137.72,137.73,137.66,7085342.999999998,51450,2022-09-19 11:34:00,2022-09-19 11:34:59,SBER
137.72,137.7,137.73,137.7,9019844.199999992,65500,2022-09-19 11:35:00,2022-09-19 11:35:59,SBER
137.73,137.83,137.83,137.7,5209603.799999996,37820,2022-09-19 11:36:00,2022-09-19 11:36:59,SBER
137.83,137.94,137.94,137.83,7329160.3,53150,2022-09-19 11:37:00,2022-09-19 11:37:59,SBER
137.94,138.03,138.07,137.91,11550366.499999987,83700,2022-09-19 11:38:00,2022-09-19 11:38:59,SBER
137.98,138.22,138.35,137.98,29522880.8,213620,2022-09-19 11:39:00,2022-09-19 11:39:59,SBER
138.23,138.4,138.7,138.23,34301563.69999998,247690,2022-09-19 11:40:00,2022-09-19 11:40:59,SBER
138.42,138.3,138.43,138.1,18930509.400000002,136940,2022-09-19 11:41:00,2022-09-19 11:41:59,SBER
138.29,138.26,138.4,138.0,25128752.0,181860,2022-09-19 11:42:00,2022-09-19 11:42:59,SBER
138.2,138.16,138.24,138.11,3354547.3999999985,24280,2022-09-19 11:43:00,2022-09-19 11:43:59,SBER
138.17,138.19,138.2,138.13,4140802.100000001,29970,2022-09-19 11:44:00,2022-09-19 11:44:59,SBER
138.19,138.39,138.49,138.19,22179951.800000004,160260,2022-09-19 11:45:00,2022-09-19 11:45:59,SBER
138.39,138.24,138.39,138.24,1437061.9,10390,2022-09-19 11:46:00,2022-09-19 11:46:59,SBER
138.24,138.2,138.29,138.2,3954749.799999998,28610,2022-09-19 11:47:00,2022-09-19 11:47:59,SBER
138.2,138.27,138.29,138.14,1842436.1999999983,13330,2022-09-19 11:48:00,2022-09-19 11:48:59,SBER
138.27,138.33,138.4,138.27,5583871.900000002,40360,2022-09-19 11:49:00,2022-09-19 11:49:59,SBER
138.33,138.4,138.48,138.33,5526223.8,39920,2022-09-19 11:50:00,2022-09-19 11:50:59,SBER
138.4,138.38,138.45,138.35,3466708.999999998,25050,2022-09-19 11:51:00,2022-09-19 11:51:59,SBER
138.38,138.38,138.4,138.35,3570324.1999999997,25800,2022-09-19 11:52:00,2022-09-19 11:52:59,SBER
138.39,138.39,138.39,138.35,14405320.100000007,104120,2022-09-19 11:53:00,2022-09-19 11:53:59,SBER
138.39,138.36,138.39,138.33,12744347.199999994,92120,2022-09-19 11:54:00,2022-09-19 11:54:59,SBER
138.36,138.36,138.37,138.3,2059864.5,14890,2022-09-19 11:55:00,2022-09-19 11:55:59,SBER
138.35,138.11,138.35,138.07,15364777.500000011,111180,2022-09-19 11:56:00,2022-09-19 11:56:59,SBER
138.11,138.32,138.36,138.05,15408577.59999999,111520,2022-09-19 11:57:00,2022-09-19 11:57:59,SBER
138.32,138.32,138.32,138.28,479915.2,3470,2022-09-19 11:58:00,2022-09-19 11:58:59,SBER
138.32,138.43,138.44,138.32,12809832.20000002,92560,2022-09-19 11:59:00,2022-09-19 11:59:59,SBER
138.42,138.35,138.43,138.31,4614573.500000001,33350,2022-09-19 12:00:00,2022-09-19 12:00:59,SBER
138.33,138.23,138.38,138.2,7447832.699999997,53860,2022-09-19 12:01:00,2022-09-19 12:01:59,SBER
138.23,138.45,138.45,138.2,25033107.59999999,180870,2022-09-19 12:02:00,2022-09-19 12:02:59,SBER
138.44,138.39,138.45,138.33,3480520.399999997,25150,2022-09-19 12:03:00,2022-09-19 12:03:59,SBER
138.39,138.36,138.41,138.34,2133949.9000000004,15420,2022-09-19 12:04:00,2022-09-19 12:04:59,SBER
138.37,138.3,138.42,138.28,8539721.299999999,61720,2022-09-19 12:05:00,2022-09-19 12:05:59,SBER
138.3,138.29,138.36,138.26,2577672.499999999,18640,2022-09-19 12:06:00,2022-09-19 12:06:59,SBER
138.3,138.28,138.33,138.27,947399.5000000001,6850,2022-09-19 12:07:00,2022-09-19 12:07:59,SBER
138.32,138.37,138.4,138.32,3028475.9000000004,21890,2022-09-19 12:08:00,2022-09-19 12:08:59,SBER
138.37,138.35,138.38,138.29,2159547.3000000003,15610,2022-09-19 12:09:00,2022-09-19 12:09:59,SBER
138.34,138.34,138.36,138.31,849408.1,6140,2022-09-19 12:10:00,2022-09-19 12:10:59,SBER
138.36,138.34,138.37,138.31,1867661.6999999983,13500,2022-09-19 12:11:00,2022-09-19 12:11:59,SBER
138.34,138.2,138.34,138.19,6868767.399999998,49680,2022-09-19 12:12:00,2022-09-19 12:12:59,SBER
138.22,138.28,138.3,138.16,3061192.0,22150,2022-09-19 12:13:00,2022-09-19 12:13:59,SBER
138.28,138.28,138.28,138.25,634647.6000000007,4590,2022-09-19 12:14:00,2022-09-19 12:14:59,SBER
138.28,138.35,138.35,138.24,3318184.1,23990,2022-09-19 12:15:00,2022-09-19 12:15:59,SBER
138.35,138.32,138.35,138.3,990419.1000000001,7160,2022-09-19 12:16:00,2022-09-19 12:16:59,SBER
138.3,138.29,138.3,138.26,886331.5000000005,6410,2022-09-19 12:17:00,2022-09-19 12:17:59,SBER
138.29,138.3,138.35,138.25,3779427.7,27330,2022-09-19 12:18:00,2022-09-19 12:18:59,SBER
138.3,138.29,138.34,138.29,2100762.3000000003,15190,2022-09-19 12:19:00,2022-09-19 12:19:59,SBER
138.29,138.04,138.29,137.96,32662470.90000001,236510,2022-09-19 12:20:00,2022-09-19 12:20:59,SBER
137.99,137.99,138.09,137.92,8065782.000000002,58450,2022-09-19 12:21:00,2022-09-19 12:21:59,SBER
138.0,138.05,138.14,137.95,8310120.799999996,60210,2022-09-19 12:22:00,2022-09-19 12:22:59,SBER
138.07,137.96,138.07,137.95,1207409.3000000003,8750,2022-09-19 12:23:00,2022-09-19 12:23:59,SBER
137.97,138.04,138.04,137.93,1997785.0999999975,14480,2022-09-19 12:24:00,2022-09-19 12:24:59,SBER
138.02,138.06,138.11,138.0,1909530.3999999997,13830,2022-09-19 12:25:00,2022-09-19 12:25:59,SBER
138.06,137.98,138.1,137.98,2308778.9999999995,16730,2022-09-19 12:26:00,2022-09-19 12:26:59,SBER
137.98,137.95,138.0,137.93,2564994.599999999,18590,2022-09-19 12:27:00,2022-09-19 12:27:59,SBER
137.95,137.89,137.96,137.84,6506516.200000003,47180,2022-09-19 12:28:00,2022-09-19 12:28:59,SBER
137.89,138.07,138.1,137.85,15220211.600000005,110340,2022-09-19 12:29:00,2022-09-19 12:29:59,SBER
138.04,137.94,138.08,137.91,4317465.300000001,31290,2022-09-19 12:30:00,2022-09-19 12:30:59,SBER
137.97,138.09,138.11,137.94,2363434.2000000007,17120,2022-09-19 12:31:00,2022-09-19 12:31:59,SBER
138.09,137.9,138.11,137.86,12050441.499999983,87340,2022-09-19 12:32:00,2022-09-19 12:32:59,SBER
137.9,138.07,138.15,137.89,9567398.299999991,69290,2022-09-19 12:33:00,2022-09-19 12:33:59,SBER
138.07,138.0,138.08,137.98,7881345.699999999,57090,2022-09-19 12:34:00,2022-09-19 12:34:59,SBER
138.0,138.03,138.04,138.0,335406.9999999995,2430,2022-09-19 12:35:00,2022-09-19 12:35:59,SBER
