open,close,high,low,value,volume,begin,end,symbol
6.97,6.97,6.97,6.97,1469973.0,210900,2022-09-19 09:59:00,2022-09-19 09:59:59,SGZH
6.97,6.954,6.991,6.86,17251618.49999999,2488000,2022-09-19 10:00:00,2022-09-19 10:00:59,SGZH
6.95,6.953,6.968,6.9,2999199.3999999994,432300,2022-09-19 10:01:00,2022-09-19 10:01:59,SGZH
6.954,6.945,6.964,6.911,2159213.2000000007,311100,2022-09-19 10:02:00,2022-09-19 10:02:59,SGZH
6.945,6.944,6.95,6.935,836263.4,120400,2022-09-19 10:03:00,2022-09-19 10:03:59,SGZH
6.94,6.94,6.948,6.93,1417725.0,204300,2022-09-19 10:04:00,2022-09-19 10:04:59,SGZH
6.945,6.946,6.946,6.94,1036097.6,149200,2022-09-19 10:05:00,2022-09-19 10:05:59,SGZH
6.946,6.962,6.962,6.945,510151.69999999995,73400,2022-09-19 10:06:00,2022-09-19 10:06:59,SGZH
6.962,6.968,6.968,6.958,884418.7999999998,127000,2022-09-19 10:07:00,2022-09-19 10:07:59,SGZH
6.968,6.967,6.97,6.963,1114868.3000000003,160000,2022-09-19 10:08:00,2022-09-19 10:08:59,SGZH
6.967,6.975,6.994,6.966,2184163.2,313100,2022-09-19 10:09:00,2022-09-19 10:09:59,SGZH
6.974,6.976,6.985,6.971,648229.1999999997,92900,2022-09-19 10:10:00,2022-09-19 10:10:59,SGZH
6.976,6.981,6.993,6.976,1765623.9000000004,252800,2022-09-19 10:11:00,2022-09-19 10:11:59,SGZH
6.981,6.988,6.988,6.976,523568.9999999999,75000,2022-09-19 10:12:00,2022-09-19 10:12:59,SGZH
6.988,6.989,6.99,6.983,885331.4000000005,126700,2022-09-19 10:13:00,2022-09-19 10:13:59,SGZH
6.989,6.989,6.99,6.986,198470.59999999995,28400,2022-09-19 10:14:00,2022-09-19 10:14:59,SGZH
6.989,6.987,6.99,6.98,2728610.9,390600,2022-09-19 10:15:00,2022-09-19 10:15:59,SGZH
6.983,6.975,6.987,6.975,984194.8999999998,141000,2022-09-19 10:16:00,2022-09-19 10:16:59,SGZH
6.975,6.978,6.981,6.975,268675.80000000005,38500,2022-09-19 10:17:00,2022-09-19 10:17:59,SGZH
6.981,6.983,6.983,6.975,628039.6,90000,2022-09-19 10:18:00,2022-09-19 10:18:59,SGZH
6.983,6.982,6.984,6.978,207306.19999999998,29700,2022-09-19 10:19:00,2022-09-19 10:19:59,SGZH
6.982,6.978,6.982,6.978,359431.00000000006,51500,2022-09-19 10:20:00,2022-09-19 10:20:59,SGZH
6.98,6.975,6.98,6.971,1016215.4999999998,145700,2022-09-19 10:21:00,2022-09-19 10:21:59,SGZH
6.975,6.982,6.983,6.973,1498002.1999999995,214700,2022-09-19 10:22:00,2022-09-19 10:22:59,SGZH
6.98,6.982,6.986,6.978,539172.2999999999,77200,2022-09-19 10:23:00,2022-09-19 10:23:59,SGZH
