date,open,high,low,close,volume
2025-01-03,80.0,80.0,77.0,77.0,20172875
2025-01-06,77.0,78.0,76.0,77.0,10880044
2025-01-08,78.0,79.0,77.0,78.0,10152728
2025-01-09,78.0,79.0,76.0,76.0,20988164
2025-01-10,76.0,79.0,75.0,79.0,37480644
2025-01-13,79.0,80.0,78.0,79.0,32791193
2025-01-14,79.0,82.0,78.0,81.0,36166249
2025-01-15,81.0,83.0,80.0,82.0,35684641
2025-01-16,82.0,85.0,81.0,84.0,55379727
2025-01-17,84.0,87.0,84.0,87.0,53652615
2025-01-20,88.0,88.0,85.0,86.0,41355718
2025-01-21,86.0,87.0,85.0,87.0,24127482
2025-01-22,87.0,88.0,85.0,86.0,29640595
2025-01-23,86.0,87.0,85.0,87.0,22917147
2025-01-24,88.0,88.0,86.0,87.0,28423166
2025-01-27,87.0,87.0,83.0,83.0,39470799
2025-01-28,83.0,84.0,82.0,84.0,34310455
2025-01-29,84.0,85.0,83.0,83.0,25708214
2025-01-30,84.0,84.0,82.0,83.0,26863409
2025-01-31,84.0,86.0,83.0,83.0,76054183
2025-02-03,84.0,84.0,81.0,81.0,40061588
2025-02-04,82.0,82.0,79.0,80.0,32273051
2025-02-05,80.0,82.0,79.0,82.0,36894812
2025-02-06,82.0,83.0,81.0,82.0,29299631
2025-02-07,82.0,82.0,80.0,81.0,31097116
2025-02-10,81.0,82.0,79.0,80.0,42254099
2025-02-11,80.0,82.0,80.0,82.0,27636653
2025-02-12,82.0,88.0,81.0,88.0,139119077
2025-02-13,88.0,89.0,85.0,89.0,141074899
2025-02-14,85.0,94.0,80.0,87.0,275071336
2025-02-17,90.0,98.0,90.0,98.0,342191024
2025-02-18,99.0,101.0,90.0,91.0,453800162
2025-02-19,92.0,94.0,90.0,94.0,189983768
2025-02-20,94.0,95.0,92.0,92.0,118970080
2025-02-21,92.0,93.0,90.0,92.0,94984522
2025-02-24,92.0,96.0,92.0,96.0,155021506
2025-02-25,96.0,97.0,93.0,93.0,198593547
2025-02-26,93.0,94.0,89.0,90.0,156378554
2025-02-27,90.0,91.0,89.0,89.0,104191752
2025-02-28,88.0,92.0,88.0,91.0,140903853
2025-03-01,92.0,92.0,91.0,91.0,2091351
2025-03-02,91.0,91.0,90.0,90.0,4943226
2025-03-03,90.0,91.0,88.0,90.0,104760894
2025-03-04,91.0,94.0,90.0,93.0,111086804
2025-03-05,93.0,93.0,90.0,90.0,100456586
2025-03-06,90.0,91.0,89.0,91.0,59628279
2025-03-07,91.0,93.0,88.0,91.0,159207500
2025-03-10,91.0,92.0,90.0,90.0,47162079
2025-03-11,91.0,91.0,89.0,90.0,64236484
2025-03-12,90.0,91.0,89.0,90.0,37364218
2025-03-13,90.0,91.0,87.0,89.0,114486726
2025-03-14,89.0,91.0,89.0,90.0,53064071
2025-03-15,91.0,91.0,90.0,91.0,1512265
2025-03-16,91.0,92.0,91.0,92.0,8047605
2025-03-17,92.0,93.0,91.0,92.0,84839865
2025-03-18,93.0,93.0,90.0,90.0,119458595
2025-03-19,90.0,91.0,89.0,90.0,58220298
2025-03-20,90.0,91.0,90.0,90.0,38319458
2025-03-21,90.0,91.0,89.0,89.0,43115370
2025-03-24,89.0,89.0,88.0,89.0,30074585
2025-03-25,88.0,91.0,87.0,90.0,71624735
2025-03-26,91.0,91.0,88.0,89.0,51942776
2025-03-27,89.0,89.0,87.0,87.0,60801126
2025-03-28,87.0,87.0,82.0,82.0,110478148
