date,open,high,low,close,volume
2025-01-03,201.0,201.0,193.0,194.0,461583
2025-01-06,194.0,195.0,191.0,195.0,225453
2025-01-08,195.0,197.0,194.0,197.0,284299
2025-01-09,197.0,199.0,191.0,191.0,617362
2025-01-10,192.0,199.0,190.0,197.0,886670
2025-01-13,199.0,203.0,198.0,200.0,1111002
2025-01-14,199.0,206.0,198.0,206.0,904268
2025-01-15,206.0,209.0,204.0,207.0,1347561
2025-01-16,207.0,209.0,205.0,206.0,943274
2025-01-17,207.0,208.0,204.0,207.0,641305
2025-01-20,209.0,210.0,204.0,205.0,810887
2025-01-21,205.0,207.0,202.0,206.0,804986
2025-01-22,206.0,208.0,204.0,206.0,607763
2025-01-23,206.0,206.0,203.0,206.0,427966
2025-01-24,206.0,212.0,205.0,211.0,1091783
2025-01-27,211.0,212.0,206.0,206.0,537167
2025-01-28,206.0,208.0,204.0,208.0,806707
2025-01-29,208.0,209.0,203.0,205.0,1061059
2025-01-30,205.0,206.0,203.0,204.0,738365
2025-01-31,204.0,207.0,204.0,205.0,988295
2025-02-03,205.0,205.0,201.0,204.0,590853
2025-02-04,204.0,206.0,198.0,200.0,610312
2025-02-05,199.0,206.0,197.0,205.0,795067
2025-02-06,205.0,206.0,203.0,204.0,557037
2025-02-07,204.0,205.0,203.0,203.0,372661
2025-02-10,204.0,210.0,204.0,206.0,957924
2025-02-11,206.0,214.0,206.0,213.0,1303407
2025-02-12,214.0,227.0,214.0,226.0,2786163
2025-02-13,227.0,237.0,224.0,234.0,2554889
2025-02-14,236.0,244.0,222.0,229.0,2573975
2025-02-17,232.0,237.0,232.0,237.0,1116644
2025-02-18,238.0,241.0,233.0,237.0,1740804
2025-02-19,238.0,241.0,233.0,239.0,971531
2025-02-20,240.0,241.0,237.0,238.0,749300
2025-02-21,238.0,239.0,229.0,234.0,924350
2025-02-24,234.0,235.0,231.0,234.0,833367
2025-02-25,235.0,236.0,231.0,232.0,851969
2025-02-26,232.0,233.0,221.0,224.0,1154006
2025-02-27,224.0,224.0,216.0,217.0,1327312
2025-02-28,216.0,219.0,214.0,219.0,1316729
2025-03-01,221.0,222.0,220.0,221.0,55941
2025-03-02,221.0,221.0,220.0,221.0,53296
2025-03-03,221.0,225.0,215.0,223.0,1391347
2025-03-04,223.0,227.0,220.0,224.0,2494939
2025-03-05,224.0,224.0,218.0,219.0,1934801
2025-03-06,220.0,221.0,215.0,216.0,1604991
2025-03-07,216.0,217.0,207.0,212.0,2152716
2025-03-10,212.0,214.0,208.0,209.0,1113857
2025-03-11,210.0,214.0,208.0,211.0,1483530
2025-03-12,212.0,213.0,209.0,211.0,807836
2025-03-13,211.0,213.0,205.0,208.0,1538460
2025-03-14,208.0,214.0,207.0,212.0,851502
2025-03-15,212.0,213.0,212.0,213.0,47913
2025-03-16,213.0,215.0,212.0,215.0,96313
2025-03-17,215.0,218.0,210.0,216.0,1397947
2025-03-18,217.0,219.0,213.0,214.0,1625972
2025-03-19,215.0,218.0,213.0,216.0,1292025
2025-03-20,217.0,217.0,213.0,215.0,928958
2025-03-21,215.0,216.0,212.0,213.0,815505
2025-03-24,213.0,213.0,208.0,209.0,1192103
