date,open,high,low,close,volume
2025-01-03,693.0,693.0,663.0,668.0,1735875
2025-01-06,668.0,670.0,655.0,666.0,1662424
2025-01-08,648.0,660.0,647.0,654.0,1364781
2025-01-09,653.0,659.0,631.0,633.0,1866541
2025-01-10,633.0,664.0,633.0,653.0,5142015
2025-01-13,657.0,674.0,655.0,667.0,4306097
2025-01-14,666.0,670.0,660.0,667.0,1968571
2025-01-15,668.0,671.0,649.0,670.0,2321557
2025-01-16,670.0,683.0,670.0,677.0,2496222
2025-01-17,678.0,682.0,669.0,673.0,2407712
2025-01-20,676.0,684.0,671.0,676.0,4011980
2025-01-21,677.0,682.0,674.0,681.0,1649460
2025-01-22,681.0,691.0,674.0,681.0,2932558
2025-01-23,681.0,688.0,679.0,686.0,1879160
2025-01-24,686.0,687.0,677.0,682.0,1402261
2025-01-27,682.0,682.0,661.0,667.0,2051443
2025-01-28,667.0,680.0,655.0,677.0,1903805
2025-01-29,677.0,683.0,673.0,679.0,1289513
2025-01-30,678.0,691.0,677.0,690.0,1670192
2025-01-31,689.0,694.0,680.0,683.0,1933820
2025-02-03,683.0,689.0,677.0,685.0,1875149
2025-02-04,685.0,693.0,683.0,686.0,2036546
2025-02-05,685.0,692.0,674.0,690.0,2441951
2025-02-06,691.0,699.0,682.0,695.0,2640768
2025-02-07,697.0,704.0,688.0,697.0,2460458
2025-02-10,698.0,707.0,696.0,700.0,1847502
2025-02-11,700.0,707.0,700.0,702.0,1577241
2025-02-12,702.0,739.0,693.0,737.0,4487716
2025-02-13,735.0,752.0,708.0,711.0,5051260
2025-02-14,698.0,738.0,675.0,716.0,4686293
2025-02-17,720.0,749.0,717.0,748.0,2292983
2025-02-18,749.0,750.0,731.0,737.0,2663448
2025-02-19,737.0,749.0,728.0,744.0,1525934
2025-02-20,744.0,750.0,736.0,745.0,1610587
2025-02-21,745.0,759.0,742.0,754.0,2791099
2025-02-24,749.0,757.0,742.0,752.0,2432343
2025-02-25,752.0,769.0,749.0,764.0,3694060
2025-02-26,764.0,769.0,729.0,737.0,3651745
2025-02-27,737.0,741.0,710.0,713.0,2560796
2025-02-28,713.0,740.0,704.0,732.0,2920350
2025-03-01,732.0,739.0,732.0,736.0,39253
2025-03-02,738.0,739.0,734.0,735.0,35602
2025-03-03,735.0,735.0,703.0,711.0,3389267
2025-03-04,711.0,725.0,705.0,714.0,3582671
2025-03-05,715.0,722.0,703.0,705.0,2649855
2025-03-06,705.0,709.0,692.0,700.0,2652853
2025-03-07,700.0,710.0,680.0,693.0,3331904
2025-03-10,693.0,698.0,680.0,683.0,1579222
2025-03-11,684.0,697.0,679.0,694.0,1662192
2025-03-12,694.0,699.0,683.0,694.0,1355978
2025-03-13,694.0,723.0,686.0,710.0,4233680
2025-03-14,709.0,719.0,701.0,715.0,2977642
2025-03-15,715.0,719.0,714.0,717.0,31913
2025-03-16,716.0,726.0,716.0,724.0,134520
2025-03-17,724.0,731.0,709.0,714.0,3060728
2025-03-18,715.0,717.0,698.0,705.0,3430002
2025-03-19,705.0,709.0,695.0,699.0,2534617
2025-03-20,699.0,703.0,677.0,688.0,5695318
2025-03-21,687.0,695.0,681.0,693.0,2060366
2025-03-24,693.0,694.0,683.0,686.0,1589648
2025-03-25,685.0,701.0,675.0,697.0,2332212
2025-03-26,697.0,704.0,682.0,684.0,1564046
2025-03-27,684.0,686.0,675.0,675.0,1540875
2025-03-28,675.0,689.0,667.0,687.0,3223465
2025-03-29,686.0,688.0,676.0,676.0,167990
2025-03-30,676.0,676.0,661.0,662.0,374845
2025-03-31,663.0,688.0,661.0,673.0,2137367
2025-04-01,673.0,678.0,653.0,653.0,1826718
2025-04-02,654.0,673.0,640.0,673.0,3308311
2025-04-03,672.0,672.0,640.0,649.0,3359167
2025-04-04,652.0,654.0,614.0,618.0,4429644
2025-04-05,615.0,615.0,600.0,608.0,353858
2025-04-06,608.0,627.0,606.0,623.0,277167
2025-04-07,619.0,639.0,581.0,636.0,6822676
2025-04-08,638.0,649.0,616.0,621.0,3328972
2025-04-09,619.0,645.0,603.0,638.0,5588521
2025-04-10,639.0,659.0,621.0,655.0,6860323
2025-04-11,655.0,686.0,653.0,686.0,5138440
2025-04-12,689.0,697.0,688.0,695.0,353195
2025-04-13,696.0,697.0,694.0,695.0,108761
2025-04-14,696.0,696.0,677.0,686.0,3147141
2025-04-15,684.0,689.0,674.0,684.0,2065820
2025-04-16,684.0,693.0,675.0,685.0,1869325
2025-04-17,686.0,697.0,676.0,694.0,2786319
2025-04-18,690.0,698.0,680.0,693.0,2015043
2025-04-21,694.0,707.0,690.0,706.0,2282471
2025-04-22,708.0,710.0,695.0,703.0,2903189
