date,open,high,low,close,volume
2025-01-03,280.0,280.0,271.0,272.0,43086870
2025-01-06,270.0,274.0,270.0,274.0,28454750
2025-01-08,273.0,277.0,273.0,277.0,26634660
2025-01-09,276.0,278.0,270.0,271.0,52952880
2025-01-10,272.0,279.0,270.0,278.0,71154220
2025-01-13,280.0,284.0,278.0,279.0,66601710
2025-01-14,279.0,282.0,277.0,279.0,46037150
2025-01-15,280.0,282.0,276.0,282.0,52864450
2025-01-16,283.0,284.0,281.0,281.0,49453530
2025-01-17,282.0,284.0,280.0,283.0,51876150
2025-01-20,285.0,286.0,277.0,278.0,67946640
2025-01-21,279.0,281.0,276.0,281.0,40478260
2025-01-22,282.0,284.0,280.0,280.0,47106880
2025-01-23,280.0,280.0,277.0,280.0,38573410
2025-01-24,281.0,282.0,279.0,280.0,32155210
2025-01-27,280.0,280.0,275.0,275.0,39035610
2025-01-28,275.0,279.0,274.0,278.0,39030820
2025-01-29,278.0,282.0,277.0,280.0,39161630
2025-01-30,280.0,282.0,280.0,281.0,28020720
2025-01-31,281.0,284.0,280.0,280.0,40326600
2025-02-03,280.0,280.0,278.0,279.0,30370660
2025-02-04,279.0,281.0,275.0,277.0,23986670
2025-02-05,277.0,283.0,275.0,282.0,43070410
2025-02-06,283.0,288.0,282.0,287.0,69336490
2025-02-07,287.0,288.0,285.0,285.0,27574460
2025-02-10,287.0,294.0,287.0,289.0,73052590
2025-02-11,290.0,294.0,289.0,294.0,56009830
2025-02-12,294.0,314.0,291.0,314.0,185816680
2025-02-13,315.0,318.0,307.0,310.0,116925810
2025-02-14,315.0,317.0,303.0,309.0,126690930
2025-02-17,314.0,319.0,312.0,319.0,84827010
2025-02-18,319.0,320.0,310.0,312.0,85001770
2025-02-19,313.0,317.0,311.0,315.0,50484340
2025-02-20,315.0,317.0,314.0,315.0,33164900
2025-02-21,315.0,316.0,312.0,314.0,32725520
2025-02-24,314.0,316.0,313.0,316.0,35730390
2025-02-25,316.0,318.0,315.0,316.0,38823770
2025-02-26,316.0,317.0,308.0,310.0,73827020
2025-02-27,310.0,312.0,305.0,307.0,60936490
2025-02-28,306.0,310.0,304.0,309.0,65681370
2025-03-01,309.0,310.0,309.0,310.0,1138430
2025-03-02,309.0,309.0,306.0,307.0,1885110
2025-03-03,306.0,307.0,300.0,305.0,66467290
2025-03-04,306.0,318.0,306.0,316.0,88130960
2025-03-05,316.0,318.0,313.0,313.0,57792400
2025-03-06,313.0,317.0,313.0,315.0,31963110
2025-03-07,315.0,321.0,310.0,316.0,110871260
2025-03-10,316.0,320.0,316.0,317.0,39315360
2025-03-11,317.0,321.0,315.0,319.0,64935150
2025-03-12,319.0,320.0,315.0,318.0,41964450
2025-03-13,318.0,320.0,312.0,316.0,78552090
2025-03-14,316.0,321.0,314.0,320.0,51762530
2025-03-15,320.0,321.0,319.0,320.0,1455280
