date,open,high,low,close,volume
2025-01-03,1011.0,1013.0,958.0,963.0,2030124
2025-01-06,960.0,968.0,944.0,965.0,1172343
2025-01-08,965.0,981.0,960.0,976.0,983097
2025-01-09,978.0,984.0,927.0,930.0,2495789
2025-01-10,937.0,976.0,930.0,969.0,4444419
2025-01-13,988.0,1019.0,975.0,1007.0,7000511
2025-01-14,1002.0,1024.0,992.0,1009.0,3897555
2025-01-15,1003.0,1009.0,980.0,1007.0,4335402
2025-01-16,1007.0,1009.0,987.0,990.0,3082019
2025-01-17,990.0,1013.0,983.0,1006.0,3022703
2025-01-20,1018.0,1022.0,971.0,974.0,3611089
2025-01-21,982.0,1000.0,970.0,998.0,2498755
2025-01-22,1001.0,1038.0,990.0,1017.0,6660842
2025-01-23,1016.0,1029.0,1006.0,1024.0,2669364
2025-01-24,1027.0,1035.0,1018.0,1029.0,2202221
2025-01-27,1029.0,1035.0,1000.0,1003.0,2369424
2025-01-28,1004.0,1030.0,986.0,1022.0,3562451
2025-01-29,1025.0,1058.0,1021.0,1046.0,5066330
2025-01-30,1046.0,1086.0,1043.0,1085.0,5690648
2025-01-31,1086.0,1106.0,1066.0,1082.0,4851977
2025-02-03,1082.0,1089.0,1061.0,1070.0,2489342
2025-02-04,1068.0,1085.0,1058.0,1062.0,1646317
2025-02-05,1060.0,1103.0,1059.0,1100.0,4437201
2025-02-06,1101.0,1116.0,1090.0,1101.0,3144959
2025-02-07,1101.0,1106.0,1091.0,1101.0,1317722
2025-02-10,1107.0,1157.0,1105.0,1132.0,6221734
2025-02-11,1130.0,1168.0,1130.0,1167.0,5538942
2025-02-12,1170.0,1278.0,1152.0,1277.0,17135523
2025-02-13,1278.0,1294.0,1224.0,1255.0,8957927
2025-02-14,1267.0,1275.0,1195.0,1218.0,7718967
2025-02-17,1227.0,1294.0,1227.0,1292.0,5496441
2025-02-18,1295.0,1300.0,1229.0,1254.0,5271883
2025-02-19,1251.0,1283.0,1235.0,1280.0,2776105
2025-02-20,1276.0,1322.0,1265.0,1308.0,4492442
2025-02-21,1314.0,1331.0,1300.0,1326.0,3769822
2025-02-24,1323.0,1345.0,1309.0,1342.0,4383341
2025-02-25,1338.0,1350.0,1315.0,1327.0,3199270
2025-02-26,1333.0,1336.0,1263.0,1266.0,4295577
2025-02-27,1262.0,1294.0,1231.0,1254.0,4949325
2025-02-28,1237.0,1291.0,1221.0,1285.0,5326156
2025-03-01,1290.0,1292.0,1280.0,1283.0,79311
2025-03-02,1282.0,1286.0,1261.0,1266.0,165111
2025-03-03,1270.0,1274.0,1221.0,1255.0,4691608
2025-03-04,1253.0,1323.0,1253.0,1319.0,3886996
2025-03-05,1322.0,1341.0,1282.0,1286.0,4449229
2025-03-06,1292.0,1306.0,1257.0,1269.0,2989831
2025-03-07,1269.0,1312.0,1261.0,1287.0,4669775
2025-03-10,1286.0,1305.0,1275.0,1285.0,1918257
2025-03-11,1287.0,1289.0,1252.0,1265.0,2190949
2025-03-12,1267.0,1274.0,1237.0,1255.0,2400692
2025-03-13,1255.0,1295.0,1202.0,1263.0,5313441
2025-03-14,1254.0,1281.0,1240.0,1276.0,3220109
2025-03-15,1276.0,1290.0,1276.0,1282.0,143364
2025-03-16,1282.0,1299.0,1282.0,1296.0,237806
2025-03-17,1295.0,1309.0,1262.0,1290.0,3124718
2025-03-18,1291.0,1343.0,1288.0,1302.0,7833292
2025-03-19,1300.0,1326.0,1293.0,1322.0,2748663
2025-03-20,1322.0,1330.0,1294.0,1316.0,3702159
2025-03-21,1312.0,1324.0,1296.0,1305.0,2375630
2025-03-24,1308.0,1308.0,1283.0,1283.0,2181420
2025-03-25,1283.0,1323.0,1265.0,1315.0,4200694
2025-03-26,1319.0,1322.0,1286.0,1286.0,1897603
2025-03-27,1290.0,1295.0,1272.0,1277.0,2515270
2025-03-28,1278.0,1284.0,1227.0,1240.0,3172078
2025-03-29,1235.0,1238.0,1209.0,1209.0,429160
2025-03-30,1209.0,1212.0,1209.0,1209.0,67581
2025-03-31,1204.0,1251.0,1185.0,1216.0,4068323
2025-04-01,1217.0,1268.0,1157.0,1160.0,6823071
2025-04-02,1162.0,1228.0,1162.0,1225.0,6175927
2025-04-03,1225.0,1258.0,1182.0,1223.0,6070960
2025-04-04,1232.0,1243.0,1142.0,1145.0,6551844
2025-04-05,1138.0,1159.0,1125.0,1157.0,687913
2025-04-06,1158.0,1178.0,1151.0,1175.0,589913
2025-04-07,1149.0,1153.0,1075.0,1112.0,7842200
2025-04-08,1121.0,1128.0,1043.0,1048.0,5470522
2025-04-09,1044.0,1105.0,977.0,1102.0,11195138
2025-04-10,1107.0,1108.0,1044.0,1062.0,4457509
2025-04-11,1063.0,1118.0,1062.0,1115.0,4632744
2025-04-12,1118.0,1139.0,1117.0,1139.0,531974
2025-04-13,1139.0,1139.0,1136.0,1139.0,130530
2025-04-14,1138.0,1145.0,1101.0,1115.0,3313257
2025-04-15,1115.0,1165.0,1098.0,1159.0,4357353
2025-04-16,1154.0,1197.0,1140.0,1190.0,5362687
2025-04-17,1190.0,1223.0,1169.0,1219.0,6965791
2025-04-18,1205.0,1207.0,1171.0,1193.0,4474634
2025-04-21,1202.0,1242.0,1198.0,1237.0,3796489
2025-04-22,1238.0,1264.0,1230.0,1244.0,3588657
2025-04-23,1248.0,1254.0,1198.0,1235.0,3411773
2025-04-24,1239.0,1258.0,1233.0,1249.0,1864611
2025-04-25,1250.0,1317.0,1243.0,1314.0,4770174
2025-04-28,1286.0,1290.0,1256.0,1266.0,4730938
2025-04-29,1261.0,1268.0,1201.0,1214.0,3202199
2025-04-30,1214.0,1220.0,1173.0,1186.0,3732107
2025-05-02,1181.0,1183.0,1109.0,1110.0,2336242
2025-05-03,1112.0,1122.0,1108.0,1120.0,251707
2025-05-04,1120.0,1133.0,1116.0,1126.0,259498
2025-05-05,1120.0,1129.0,1069.0,1077.0,3465823
2025-05-06,1080.0,1145.0,1050.0,1124.0,5533007
2025-05-07,1126.0,1163.0,1113.0,1149.0,3295423
2025-05-08,1150.0,1178.0,1144.0,1160.0,2615264
2025-05-10,1167.0,1174.0,1158.0,1169.0,505638
2025-05-11,1188.0,1194.0,1181.0,1188.0,591702
2025-05-12,1193.0,1209.0,1186.0,1200.0,2814960
2025-05-13,1202.0,1204.0,1183.0,1197.0,1943607
2025-05-14,1197.0,1205.0,1135.0,1144.0,1858787
2025-05-15,1143.0,1164.0,1129.0,1148.0,3084293
2025-05-16,1148.0,1186.0,1114.0,1149.0,3239773
2025-05-17,1150.0,1177.0,1146.0,1175.0,344641
2025-05-18,1182.0,1182.0,1177.0,1182.0,327909
2025-05-19,1184.0,1184.0,1150.0,1157.0,2719702
2025-05-20,1160.0,1162.0,1127.0,1141.0,1599251
2025-05-21,1143.0,1153.0,1125.0,1143.0,1298517
2025-05-22,1143.0,1146.0,1103.0,1106.0,3899196
2025-05-23,1104.0,1108.0,1071.0,1077.0,2858132
2025-05-26,1073.0,1076.0,1025.0,1031.0,3359561
2025-05-27,1027.0,1043.0,1012.0,1040.0,2740789
2025-05-28,1042.0,1116.0,1040.0,1113.0,5198978
2025-05-29,1115.0,1115.0,1078.0,1078.0,2797906
2025-05-30,1077.0,1111.0,1070.0,1101.0,2174579
2025-05-31,1101.0,1108.0,1099.0,1101.0,104055
2025-06-01,1091.0,1098.0,1067.0,1067.0,687282
2025-06-02,1057.0,1121.0,1056.0,1113.0,3374935
2025-06-03,1110.0,1134.0,1108.0,1132.0,2461800
2025-06-04,1135.0,1142.0,1101.0,1105.0,3091181
2025-06-05,1106.0,1120.0,1102.0,1112.0,1516569
2025-06-06,1112.0,1144.0,1068.0,1069.0,4089405
2025-06-07,1072.0,1080.0,1072.0,1076.0,104356
2025-06-08,1076.0,1078.0,1061.0,1068.0,93247
2025-06-09,1070.0,1075.0,1041.0,1043.0,1801082
2025-06-10,1045.0,1053.0,1007.0,1009.0,3394602
2025-06-11,1010.0,1036.0,1002.0,1028.0,2449616
2025-06-13,1045.0,1047.0,1028.0,1035.0,1246139
2025-06-14,1044.0,1054.0,1038.0,1053.0,324869
2025-06-15,1064.0,1065.0,1038.0,1048.0,665830
2025-06-16,1051.0,1052.0,1017.0,1023.0,1706439
2025-06-17,1024.0,1079.0,1018.0,1073.0,2611236
2025-06-18,1077.0,1089.0,1052.0,1061.0,3899657
2025-06-19,1061.0,1075.0,1045.0,1056.0,2650698
2025-06-20,1057.0,1068.0,1032.0,1040.0,1896583
2025-06-23,1050.0,1062.0,1033.0,1039.0,2227180
2025-06-24,1039.0,1053.0,1023.0,1046.0,2603609
2025-06-25,1049.0,1094.0,1048.0,1090.0,3994648
2025-06-26,1090.0,1092.0,1077.0,1078.0,2126210
2025-06-27,1080.0,1093.0,1070.0,1091.0,2829059
2025-06-28,1090.0,1098.0,1090.0,1092.0,174330
2025-06-29,1092.0,1100.0,1090.0,1092.0,230287
2025-06-30,1090.0,1105.0,1082.0,1097.0,2168901
2025-07-01,1099.0,1123.0,1096.0,1111.0,3060162
2025-07-02,1113.0,1122.0,1090.0,1093.0,2595663
2025-07-03,1094.0,1102.0,1071.0,1073.0,2638005
2025-07-04,1071.0,1073.0,1042.0,1050.0,2786980
2025-07-05,1052.0,1054.0,1049.0,1053.0,79700
2025-07-06,1053.0,1053.0,1047.0,1047.0,44534
2025-07-07,1047.0,1055.0,1026.0,1030.0,2142027
2025-07-08,1031.0,1046.0,1010.0,1016.0,1919097
2025-07-09,1016.0,1039.0,1011.0,1032.0,2309023
2025-07-10,1036.0,1045.0,1025.0,1037.0,1433331
2025-07-11,1038.0,1042.0,989.0,991.0,3642344
2025-07-12,993.0,997.0,993.0,995.0,147968
2025-07-13,994.0,996.0,985.0,988.0,135385
2025-07-14,987.0,1038.0,966.0,1031.0,4927916
2025-07-15,1036.0,1052.0,1031.0,1046.0,2289189
2025-07-16,1049.0,1055.0,1037.0,1044.0,2051760
2025-07-17,1045.0,1060.0,1031.0,1034.0,2398228
2025-07-18,1037.0,1082.0,1034.0,1082.0,3447097
2025-07-19,1081.0,1107.0,1080.0,1096.0,676851
2025-07-20,1106.0,1108.0,1096.0,1102.0,238450
2025-07-21,1100.0,1109.0,1086.0,1091.0,2110323
2025-07-22,1094.0,1095.0,1075.0,1085.0,1809788
2025-07-23,1085.0,1090.0,1066.0,1071.0,3075022
2025-07-24,1072.0,1084.0,1064.0,1073.0,1823208
2025-07-25,1076.0,1086.0,1046.0,1052.0,3304290
2025-07-26,1056.0,1060.0,1052.0,1056.0,95926
2025-07-27,1055.0,1057.0,1050.0,1052.0,55051
2025-07-28,1050.0,1050.0,1012.0,1024.0,3484349
2025-07-29,1023.0,1034.0,1019.0,1028.0,1770959
2025-07-30,1028.0,1028.0,1013.0,1018.0,1116132
2025-07-31,1019.0,1025.0,1008.0,1014.0,1533056
2025-08-01,1017.0,1030.0,1003.0,1014.0,2746251
2025-08-04,1018.0,1059.0,1013.0,1058.0,3389828
2025-08-05,1060.0,1063.0,1041.0,1058.0,2665898
2025-08-06,1058.0,1097.0,1035.0,1083.0,5382281
2025-08-07,1084.0,1176.0,1072.0,1138.0,17772183
2025-08-08,1140.0,1200.0,1120.0,1195.0,8595193
2025-08-11,1224.0,1234.0,1205.0,1222.0,9011414
2025-08-12,1222.0,1252.0,1206.0,1244.0,4882479
2025-08-13,1242.0,1260.0,1230.0,1241.0,5896981
2025-08-14,1241.0,1273.0,1221.0,1264.0,6765802
2025-08-15,1265.0,1293.0,1251.0,1278.0,6685289
2025-08-16,1239.0,1251.0,1239.0,1243.0,2047179
2025-08-17,1240.0,1242.0,1239.0,1239.0,227932
2025-08-18,1224.0,1303.0,1222.0,1269.0,8060106
2025-08-19,1275.0,1284.0,1239.0,1250.0,5851408
2025-08-20,1251.0,1257.0,1210.0,1215.0,5222716
2025-08-21,1217.0,1217.0,1158.0,1164.0,9486987
2025-08-22,1164.0,1188.0,1151.0,1184.0,4999103
2025-08-23,1186.0,1197.0,1186.0,1189.0,571097
