date,open,high,low,close,volume
2025-01-03,280.0,281.0,272.0,272.0,3682030
2025-01-06,271.0,274.0,270.0,274.0,1857370
2025-01-08,273.0,278.0,273.0,276.0,1909370
2025-01-09,277.0,280.0,271.0,271.0,3528240
2025-01-10,272.0,279.0,270.0,278.0,5033630
2025-01-13,279.0,284.0,278.0,279.0,4660650
2025-01-14,279.0,281.0,277.0,279.0,3013060
2025-01-15,280.0,282.0,275.0,282.0,3628080
2025-01-16,283.0,283.0,281.0,281.0,2738610
2025-01-17,282.0,283.0,280.0,283.0,3312840
2025-01-20,284.0,285.0,277.0,278.0,5265610
2025-01-21,278.0,281.0,276.0,281.0,2817440
2025-01-22,281.0,283.0,280.0,280.0,3495590
2025-01-23,280.0,280.0,277.0,280.0,3026750
2025-01-24,280.0,282.0,279.0,280.0,2952420
2025-01-27,280.0,280.0,274.0,274.0,3748760
2025-01-28,275.0,278.0,273.0,278.0,2883270
2025-01-29,278.0,281.0,277.0,280.0,2526350
2025-01-30,280.0,282.0,280.0,281.0,1965870
2025-01-31,281.0,283.0,280.0,280.0,2315200
2025-02-03,280.0,280.0,277.0,279.0,1924520
2025-02-04,279.0,281.0,275.0,277.0,2412970
2025-02-05,277.0,282.0,275.0,282.0,2859440
2025-02-06,282.0,288.0,281.0,286.0,3925580
2025-02-07,285.0,287.0,284.0,285.0,2352180
2025-02-10,286.0,293.0,286.0,289.0,5541470
2025-02-11,288.0,292.0,287.0,292.0,4555210
2025-02-12,292.0,313.0,289.0,312.0,15926370
2025-02-13,313.0,317.0,305.0,308.0,9228220
2025-02-14,302.0,315.0,296.0,307.0,12408670
2025-02-17,310.0,316.0,309.0,316.0,6468370
2025-02-18,316.0,317.0,307.0,310.0,8566340
2025-02-19,311.0,315.0,308.0,314.0,4859830
2025-02-20,314.0,316.0,312.0,312.0,3355550
2025-02-21,312.0,314.0,310.0,313.0,3350950
2025-02-24,313.0,314.0,312.0,314.0,2800880
2025-02-25,314.0,316.0,314.0,315.0,2962500
2025-02-26,315.0,315.0,306.0,308.0,5863360
2025-02-27,309.0,311.0,302.0,305.0,5921730
2025-02-28,306.0,309.0,302.0,307.0,5595110
2025-03-01,307.0,309.0,307.0,308.0,103420
2025-03-02,308.0,308.0,305.0,306.0,121800
2025-03-03,306.0,306.0,298.0,303.0,5434320
2025-03-04,304.0,316.0,304.0,314.0,7658200
2025-03-05,313.0,316.0,310.0,311.0,6032140
2025-03-06,311.0,315.0,311.0,312.0,2236890
2025-03-07,312.0,318.0,304.0,312.0,7495240
2025-03-10,313.0,316.0,312.0,313.0,3742980
2025-03-11,313.0,319.0,312.0,316.0,6447010
2025-03-12,316.0,318.0,313.0,315.0,3514430
2025-03-13,316.0,317.0,310.0,313.0,6172610
2025-03-14,313.0,318.0,311.0,317.0,4149390
2025-03-15,317.0,318.0,317.0,318.0,117240
2025-03-16,318.0,320.0,318.0,319.0,465810
2025-03-17,320.0,323.0,319.0,322.0,3904920
2025-03-18,323.0,326.0,320.0,320.0,6319570
2025-03-19,320.0,324.0,318.0,322.0,3293420
2025-03-20,322.0,323.0,318.0,320.0,4370860
2025-03-21,320.0,322.0,319.0,319.0,2336200
2025-03-24,319.0,320.0,315.0,316.0,2805460
2025-03-25,317.0,319.0,312.0,317.0,3275430
2025-03-26,317.0,318.0,312.0,313.0,1985840
2025-03-27,314.0,315.0,309.0,309.0,2625160
2025-03-28,309.0,311.0,303.0,306.0,5402850
2025-03-29,306.0,306.0,301.0,302.0,670010
2025-03-30,301.0,302.0,296.0,297.0,740090
2025-03-31,298.0,309.0,297.0,307.0,4614700
2025-04-01,308.0,311.0,301.0,301.0,5398000
2025-04-02,301.0,305.0,300.0,304.0,4889060
2025-04-03,305.0,307.0,295.0,300.0,4884940
2025-04-04,301.0,302.0,283.0,284.0,9373560
2025-04-05,285.0,285.0,279.0,284.0,1280760
2025-04-06,285.0,290.0,283.0,290.0,690220
2025-04-07,285.0,292.0,273.0,286.0,11031930
2025-04-08,289.0,293.0,281.0,281.0,6275550
2025-04-09,281.0,294.0,277.0,293.0,12308660
2025-04-10,294.0,296.0,287.0,291.0,9226280
