open,close,high,low,value,volume,begin,end
243.19,243.19,243.19,243.19,15267468.200000022,62780,2022-09-19 09:59:00,2022-09-19 09:59:59
243.2,243.31,243.78,242.71,79641029.2,327290,2022-09-19 10:00:00,2022-09-19 10:00:59
243.31,243.33,243.41,242.88,30326394.40000001,124740,2022-09-19 10:01:00,2022-09-19 10:01:59
243.33,243.62,243.7,243.0,56526258.50000004,232320,2022-09-19 10:02:00,2022-09-19 10:02:59
243.63,243.16,243.63,243.0,42697591.50000001,175440,2022-09-19 10:03:00,2022-09-19 10:03:59
243.23,243.34,243.34,243.0,21634540.799999997,88970,2022-09-19 10:04:00,2022-09-19 10:04:59
243.34,243.23,243.34,243.11,12079919.4,49660,2022-09-19 10:05:00,2022-09-19 10:05:59
243.15,243.57,243.6,243.11,21002372.100000005,86290,2022-09-19 10:06:00,2022-09-19 10:06:59
243.6,243.67,243.67,243.48,13964131.0,57330,2022-09-19 10:07:00,2022-09-19 10:07:59
243.67,243.76,243.84,243.64,23665635.700000003,97100,2022-09-19 10:08:00,2022-09-19 10:08:59
243.74,244.0,244.0,243.74,32002161.699999988,131200,2022-09-19 10:09:00,2022-09-19 10:09:59
244.0,244.18,244.2,243.91,30645720.599999983,125540,2022-09-19 10:10:00,2022-09-19 10:10:59
244.19,244.79,244.79,244.19,46731200.29999998,191150,2022-09-19 10:11:00,2022-09-19 10:11:59
244.73,244.59,244.8,244.49,25924623.499999996,105990,2022-09-19 10:12:00,2022-09-19 10:12:59
244.6,244.5,244.66,244.44,23840646.400000017,97510,2022-09-19 10:13:00,2022-09-19 10:13:59
244.49,244.73,244.78,244.48,23311834.899999995,95310,2022-09-19 10:14:00,2022-09-19 10:14:59
244.68,244.87,244.89,244.58,24445399.799999982,99870,2022-09-19 10:15:00,2022-09-19 10:15:59
244.86,244.99,245.0,244.82,24032272.29999996,98120,2022-09-19 10:16:00,2022-09-19 10:16:59
244.99,244.88,245.0,244.75,38268308.90000003,156280,2022-09-19 10:17:00,2022-09-19 10:17:59
244.85,244.54,244.9,244.52,17912865.9,73190,2022-09-19 10:18:00,2022-09-19 10:18:59
244.54,244.91,244.97,244.52,12759189.599999996,52130,2022-09-19 10:19:00,2022-09-19 10:19:59
244.97,244.98,244.98,244.75,23177034.999999985,94650,2022-09-19 10:20:00,2022-09-19 10:20:59
244.98,245.34,245.37,244.98,71287681.69999997,290820,2022-09-19 10:21:00,2022-09-19 10:21:59
245.35,245.64,245.68,245.24,39210320.89999996,159710,2022-09-19 10:22:00,2022-09-19 10:22:59
245.66,245.76,245.76,245.5,29071421.89999999,118360,2022-09-19 10:23:00,2022-09-19 10:23:59
245.75,245.8,245.91,245.53,38935675.10000002,158410,2022-09-19 10:24:00,2022-09-19 10:24:59
245.85,245.48,245.87,245.44,41783279.89999997,170170,2022-09-19 10:25:00,2022-09-19 10:25:59
245.46,245.31,245.48,245.14,25114048.600000005,102370,2022-09-19 10:26:00,2022-09-19 10:26:59
245.31,245.47,245.47,245.27,23309944.499999993,94970,2022-09-19 10:27:00,2022-09-19 10:27:59
245.47,245.14,245.47,245.14,42677452.69999998,173900,2022-09-19 10:28:00,2022-09-19 10:28:59
245.2,244.9,245.23,244.82,53775375.79999998,219480,2022-09-19 10:29:00,2022-09-19 10:29:59
244.88,244.9,245.02,244.52,44987047.89999999,183770,2022-09-19 10:30:00,2022-09-19 10:30:59
244.81,244.22,244.87,244.1,147225414.70000002,602480,2022-09-19 10:31:00,2022-09-19 10:31:59
244.24,245.27,245.3,244.24,80404028.30000001,328420,2022-09-19 10:32:00,2022-09-19 10:32:59
245.27,245.02,245.27,244.93,13743050.100000003,56080,2022-09-19 10:33:00,2022-09-19 10:33:59
245.0,245.0,245.05,244.82,11731416.299999995,47900,2022-09-19 10:34:00,2022-09-19 10:34:59
245.01,245.1,245.19,244.97,12996331.200000001,53030,2022-09-19 10:35:00,2022-09-19 10:35:59
245.1,244.86,245.12,244.86,6827328.899999997,27870,2022-09-19 10:36:00,2022-09-19 10:36:59
244.9,245.2,245.2,244.9,8431270.600000001,34400,2022-09-19 10:37:00,2022-09-19 10:37:59
245.2,245.2,245.2,245.01,30397431.999999993,124020,2022-09-19 10:38:00,2022-09-19 10:38:59
245.2,245.1,245.2,245.07,5425235.600000001,22130,2022-09-19 10:39:00,2022-09-19 10:39:59
245.1,245.07,245.1,245.07,10377099.599999996,42340,2022-09-19 10:40:00,2022-09-19 10:40:59
245.08,245.07,245.1,245.01,14988829.699999996,61160,2022-09-19 10:41:00,2022-09-19 10:41:59
245.01,244.94,245.07,244.94,9552722.400000002,38990,2022-09-19 10:42:00,2022-09-19 10:42:59
244.94,245.1,245.1,244.71,14044243.299999997,57350,2022-09-19 10:43:00,2022-09-19 10:43:59
245.01,245.2,245.2,245.0,21649980.6,88330,2022-09-19 10:44:00,2022-09-19 10:44:59
245.2,245.1,245.2,245.1,5433108.899999999,22160,2022-09-19 10:45:00,2022-09-19 10:45:59
245.15,245.2,245.2,245.07,4998308.500000001,20390,2022-09-19 10:46:00,2022-09-19 10:46:59
245.2,245.34,245.37,245.2,14075470.800000003,57380,2022-09-19 10:47:00,2022-09-19 10:47:59
245.34,245.32,245.37,245.2,8728038.499999998,35580,2022-09-19 10:48:00,2022-09-19 10:48:59
245.32,245.3,245.36,245.24,8348611.000000003,34030,2022-09-19 10:49:00,2022-09-19 10:49:59
245.28,245.32,245.37,245.18,13092203.59999999,53380,2022-09-19 10:50:00,2022-09-19 10:50:59
245.31,245.15,245.37,245.12,9291971.4,37890,2022-09-19 10:51:00,2022-09-19 10:51:59
245.2,245.15,245.25,245.03,10075267.6,41100,2022-09-19 10:52:00,2022-09-19 10:52:59
245.14,245.08,245.15,245.08,3431621.9,14000,2022-09-19 10:53:00,2022-09-19 10:53:59
245.1,245.21,245.23,245.09,4873075.000000001,19880,2022-09-19 10:54:00,2022-09-19 10:54:59
245.16,245.09,245.18,245.05,5904602.0,24090,2022-09-19 10:55:00,2022-09-19 10:55:59
245.06,245.01,245.09,245.0,5052463.3,20620,2022-09-19 10:56:00,2022-09-19 10:56:59
245.0,244.9,245.04,244.9,23751719.19999999,96950,2022-09-19 10:57:00,2022-09-19 10:57:59
244.9,244.92,244.94,244.88,2958389.6999999997,12080,2022-09-19 10:58:00,2022-09-19 10:58:59
244.92,244.76,244.92,244.75,4387066.2,17920,2022-09-19 10:59:00,2022-09-19 10:59:59
244.76,244.97,244.99,244.76,3707207.5,15140,2022-09-19 11:00:00,2022-09-19 11:00:59
244.97,244.96,244.98,244.87,2620932.1000000006,10700,2022-09-19 11:01:00,2022-09-19 11:01:59
244.96,244.91,244.98,244.89,1722111.9,7030,2022-09-19 11:02:00,2022-09-19 11:02:59
244.89,244.9,244.95,244.87,1359204.0999999999,5550,2022-09-19 11:03:00,2022-09-19 11:03:59
244.94,244.75,244.95,244.75,5902922.599999999,24110,2022-09-19 11:04:00,2022-09-19 11:04:59
244.77,244.68,244.85,244.63,5281317.199999999,21580,2022-09-19 11:05:00,2022-09-19 11:05:59
244.68,244.84,244.84,244.62,3868404.7999999993,15810,2022-09-19 11:06:00,2022-09-19 11:06:59
244.82,244.7,244.85,244.7,4572179.400000002,18680,2022-09-19 11:07:00,2022-09-19 11:07:59
244.74,244.8,244.8,244.7,11722355.899999999,47890,2022-09-19 11:08:00,2022-09-19 11:08:59
244.8,244.8,244.8,244.73,17928894.399999984,73240,2022-09-19 11:09:00,2022-09-19 11:09:59
244.75,244.78,244.8,244.7,3314146.3999999994,13540,2022-09-19 11:10:00,2022-09-19 11:10:59
244.78,244.73,244.8,244.65,6691686.100000001,27340,2022-09-19 11:11:00,2022-09-19 11:11:59
244.71,244.75,244.79,244.7,3350642.000000001,13690,2022-09-19 11:12:00,2022-09-19 11:12:59
244.77,244.66,244.77,244.6,6905952.8,28230,2022-09-19 11:13:00,2022-09-19 11:13:59
244.65,244.54,244.65,244.53,4405089.099999999,18010,2022-09-19 11:14:00,2022-09-19 11:14:59
244.52,244.33,244.58,244.33,28706309.800000004,117440,2022-09-19 11:15:00,2022-09-19 11:15:59
244.36,244.45,244.49,244.33,7807872.700000001,31950,2022-09-19 11:16:00,2022-09-19 11:16:59
244.4,244.69,244.72,244.4,17036834.900000002,69660,2022-09-19 11:17:00,2022-09-19 11:17:59
244.69,244.6,244.69,244.51,2475113.5,10120,2022-09-19 11:18:00,2022-09-19 11:18:59
244.6,244.42,244.6,244.4,3165727.200000001,12950,2022-09-19 11:19:00,2022-09-19 11:19:59
244.42,244.51,244.58,244.4,2813758.2,11510,2022-09-19 11:20:00,2022-09-19 11:20:59
244.52,244.68,244.72,244.51,36517733.699999996,149250,2022-09-19 11:21:00,2022-09-19 11:21:59
244.62,244.61,244.68,244.57,983460.6,4020,2022-09-19 11:22:00,2022-09-19 11:22:59
244.68,244.74,244.75,244.6,3883688.5999999996,15870,2022-09-19 11:23:00,2022-09-19 11:23:59
244.74,244.74,244.75,244.68,188449.4,770,2022-09-19 11:24:00,2022-09-19 11:24:59
244.74,244.74,244.75,244.72,3622203.0,14800,2022-09-19 11:25:00,2022-09-19 11:25:59
244.74,244.74,244.77,244.59,6692791.700000003,27350,2022-09-19 11:26:00,2022-09-19 11:26:59
244.75,244.77,244.77,244.74,1960502.2,8010,2022-09-19 11:27:00,2022-09-19 11:27:59
244.77,244.74,244.8,244.74,2866299.1999999997,11710,2022-09-19 11:28:00,2022-09-19 11:28:59
244.75,244.78,244.79,244.74,15974394.2,65270,2022-09-19 11:29:00,2022-09-19 11:29:59
244.74,244.41,244.75,244.28,26860245.800000004,109860,2022-09-19 11:30:00,2022-09-19 11:30:59
244.45,244.49,244.58,244.25,12314353.500000002,50390,2022-09-19 11:31:00,2022-09-19 11:31:59
244.42,244.52,244.68,244.42,4909713.5,20080,2022-09-19 11:32:00,2022-09-19 11:32:59
244.6,244.59,244.6,244.4,6465950.600000001,26450,2022-09-19 11:33:00,2022-09-19 11:33:59
244.58,244.64,244.68,244.56,3940708.099999999,16110,2022-09-19 11:34:00,2022-09-19 11:34:59
244.64,244.43,244.65,244.43,9772206.299999999,39960,2022-09-19 11:35:00,2022-09-19 11:35:59
244.49,244.47,244.54,244.43,4341965.499999998,17760,2022-09-19 11:36:00,2022-09-19 11:36:59
244.48,244.5,244.54,244.45,3227357.6999999993,13200,2022-09-19 11:37:00,2022-09-19 11:37:59
244.5,244.54,244.55,244.48,18930301.1,77410,2022-09-19 11:38:00,2022-09-19 11:38:59
244.54,244.8,244.8,244.54,20267205.89999999,82840,2022-09-19 11:39:00,2022-09-19 11:39:59
244.8,244.72,244.8,244.65,5684067.5,23220,2022-09-19 11:40:00,2022-09-19 11:40:59
244.72,244.76,244.8,244.63,3845164.200000001,15710,2022-09-19 11:41:00,2022-09-19 11:41:59
244.76,244.73,244.8,244.62,5580418.500000001,22800,2022-09-19 11:42:00,2022-09-19 11:42:59
244.76,244.76,244.77,244.64,3682960.5000000005,15050,2022-09-19 11:43:00,2022-09-19 11:43:59
244.67,244.79,244.8,244.67,11847944.9,48400,2022-09-19 11:44:00,2022-09-19 11:44:59
244.79,244.8,244.8,244.76,8570350.7,35010,2022-09-19 11:45:00,2022-09-19 11:45:59
244.8,244.96,245.0,244.8,26445260.800000016,107960,2022-09-19 11:46:00,2022-09-19 11:46:59
244.96,244.95,244.96,244.86,8188619.499999997,33430,2022-09-19 11:47:00,2022-09-19 11:47:59
244.95,244.64,244.96,244.64,36094120.6,147390,2022-09-19 11:48:00,2022-09-19 11:48:59
244.65,244.7,244.96,244.55,17342482.999999993,70840,2022-09-19 11:49:00,2022-09-19 11:49:59
244.9,244.96,244.96,244.7,25568224.500000022,104390,2022-09-19 11:50:00,2022-09-19 11:50:59
244.95,244.8,245.0,244.8,7571648.3999999985,30910,2022-09-19 11:51:00,2022-09-19 11:51:59
244.8,244.83,244.87,244.75,1799344.5999999994,7350,2022-09-19 11:52:00,2022-09-19 11:52:59
244.79,244.61,244.84,244.49,20728246.69999999,84720,2022-09-19 11:53:00,2022-09-19 11:53:59
244.69,244.77,244.77,244.51,17014972.9,69540,2022-09-19 11:54:00,2022-09-19 11:54:59
244.77,244.78,244.8,244.7,4050422.8000000003,16550,2022-09-19 11:55:00,2022-09-19 11:55:59
244.75,244.54,244.79,244.54,9266478.899999999,37870,2022-09-19 11:56:00,2022-09-19 11:56:59
244.53,244.69,244.74,244.53,4403373.6,18000,2022-09-19 11:57:00,2022-09-19 11:57:59
244.69,244.77,244.77,244.66,4373106.1,17870,2022-09-19 11:58:00,2022-09-19 11:58:59
244.77,244.8,244.8,244.75,13889288.999999998,56740,2022-09-19 11:59:00,2022-09-19 11:59:59
244.8,244.78,244.82,244.75,6452517.400000003,26360,2022-09-19 12:00:00,2022-09-19 12:00:59
244.78,244.52,244.82,244.49,28273318.999999985,115560,2022-09-19 12:01:00,2022-09-19 12:01:59
244.52,244.66,244.68,244.5,2105999.5,8610,2022-09-19 12:02:00,2022-09-19 12:02:59
244.67,244.84,244.84,244.66,6146232.4,25110,2022-09-19 12:03:00,2022-09-19 12:03:59
244.84,244.78,244.84,244.72,14702862.800000003,60060,2022-09-19 12:04:00,2022-09-19 12:04:59
244.72,244.62,244.72,244.62,3733621.9999999995,15260,2022-09-19 12:05:00,2022-09-19 12:05:59
244.68,244.62,244.69,244.59,2380063.3000000003,9730,2022-09-19 12:06:00,2022-09-19 12:06:59
244.62,244.61,244.67,244.6,1276856.3,5220,2022-09-19 12:07:00,2022-09-19 12:07:59
244.61,244.8,244.82,244.61,5631406.200000002,23010,2022-09-19 12:08:00,2022-09-19 12:08:59
244.81,244.74,244.81,244.63,1497699.7999999998,6120,2022-09-19 12:09:00,2022-09-19 12:09:59
244.74,244.72,244.75,244.63,775724.9999999999,3170,2022-09-19 12:10:00,2022-09-19 12:10:59
244.7,244.73,244.73,244.63,1898873.7999999998,7760,2022-09-19 12:11:00,2022-09-19 12:11:59
244.7,244.72,244.72,244.64,755980.6,3090,2022-09-19 12:12:00,2022-09-19 12:12:59
244.71,244.67,244.75,244.67,1294513.2000000002,5290,2022-09-19 12:13:00,2022-09-19 12:13:59
244.65,244.7,244.75,244.62,6492465.400000001,26530,2022-09-19 12:14:00,2022-09-19 12:14:59
244.75,244.74,244.75,244.68,4370924.1,17860,2022-09-19 12:15:00,2022-09-19 12:15:59
244.75,244.6,244.75,244.6,3380856.0000000005,13820,2022-09-19 12:16:00,2022-09-19 12:16:59
244.6,244.67,244.67,244.6,1707352.1999999997,6980,2022-09-19 12:17:00,2022-09-19 12:17:59
244.67,244.63,244.68,244.61,1069072.2999999998,4370,2022-09-19 12:18:00,2022-09-19 12:18:59
244.63,244.59,244.68,244.53,9597821.799999999,39240,2022-09-19 12:19:00,2022-09-19 12:19:59
244.53,244.3,244.57,244.2,23290863.49999999,95320,2022-09-19 12:20:00,2022-09-19 12:20:59
244.3,244.5,244.58,244.3,19198310.4,78540,2022-09-19 12:21:00,2022-09-19 12:21:59
244.58,244.63,244.65,244.53,2264818.9,9260,2022-09-19 12:22:00,2022-09-19 12:22:59
244.63,244.53,244.78,244.5,10548473.100000005,43120,2022-09-19 12:23:00,2022-09-19 12:23:59
244.59,244.55,244.59,244.5,3523496.7,14410,2022-09-19 12:24:00,2022-09-19 12:24:59
244.55,244.47,244.57,244.4,2195761.0999999996,8980,2022-09-19 12:25:00,2022-09-19 12:25:59
244.47,244.41,244.49,244.4,2422104.7,9910,2022-09-19 12:26:00,2022-09-19 12:26:59
244.41,244.32,244.45,244.25,2670317.1000000006,10930,2022-09-19 12:27:00,2022-09-19 12:27:59
244.32,244.26,244.45,244.25,3290820.1999999997,13470,2022-09-19 12:28:00,2022-09-19 12:28:59
244.26,244.4,244.5,244.25,8588579.299999999,35140,2022-09-19 12:29:00,2022-09-19 12:29:59
244.45,244.4,244.5,244.31,5294444.6,21660,2022-09-19 12:30:00,2022-09-19 12:30:59
244.39,244.4,244.4,244.39,1578796.7,6460,2022-09-19 12:31:00,2022-09-19 12:31:59
244.4,244.45,244.46,244.33,2326515.1000000006,9520,2022-09-19 12:32:00,2022-09-19 12:32:59
244.4,244.34,244.45,244.3,1343945.3,5500,2022-09-19 12:33:00,2022-09-19 12:33:59
244.3,244.28,244.31,244.25,5885109.800000001,24090,2022-09-19 12:34:00,2022-09-19 12:34:59
244.28,244.3,244.3,244.25,1673313.3,6850,2022-09-19 12:35:00,2022-09-19 12:35:59
244.3,244.25,244.3,244.2,11198536.099999998,45850,2022-09-19 12:36:00,2022-09-19 12:36:59
244.3,244.16,244.35,244.16,11756943.500000002,48140,2022-09-19 12:37:00,2022-09-19 12:37:59
244.17,243.87,244.19,243.8,35024504.30000001,143550,2022-09-19 12:38:00,2022-09-19 12:38:59
243.81,243.95,244.0,243.8,10553292.899999997,43260,2022-09-19 12:39:00,2022-09-19 12:39:59
243.95,243.96,244.0,243.91,9146831.1,37490,2022-09-19 12:40:00,2022-09-19 12:40:59
243.96,243.91,243.99,243.85,11654779.099999996,47780,2022-09-19 12:41:00,2022-09-19 12:41:59
243.91,243.7,243.91,243.7,18177693.50000001,74560,2022-09-19 12:42:00,2022-09-19 12:42:59
243.7,243.7,243.78,243.58,15085567.100000015,61910,2022-09-19 12:43:00,2022-09-19 12:43:59
243.69,243.69,243.7,243.65,11183200.500000006,45890,2022-09-19 12:44:00,2022-09-19 12:44:59
243.69,243.6,243.69,243.53,11140163.699999997,45730,2022-09-19 12:45:00,2022-09-19 12:45:59
243.59,243.68,243.7,243.57,26818090.199999996,110050,2022-09-19 12:46:00,2022-09-19 12:46:59
243.68,243.68,243.69,243.57,3883938.8000000003,15940,2022-09-19 12:47:00,2022-09-19 12:47:59
243.64,243.69,243.7,243.61,5580440.100000001,22900,2022-09-19 12:48:00,2022-09-19 12:48:59
243.64,243.69,243.69,243.61,3067724.3999999966,12590,2022-09-19 12:49:00,2022-09-19 12:49:59
243.69,243.66,243.7,243.61,29228617.300000004,119940,2022-09-19 12:50:00,2022-09-19 12:50:59
243.7,243.63,243.7,243.63,2782766.6000000006,11420,2022-09-19 12:51:00,2022-09-19 12:51:59
243.68,243.69,243.69,243.63,3586976.4999999995,14720,2022-09-19 12:52:00,2022-09-19 12:52:59
243.69,243.69,243.69,243.65,1393815.6,5720,2022-09-19 12:53:00,2022-09-19 12:53:59
243.69,243.67,243.7,243.65,6201953.800000001,25450,2022-09-19 12:54:00,2022-09-19 12:54:59
243.67,243.69,243.69,243.66,889403.9000000001,3650,2022-09-19 12:55:00,2022-09-19 12:55:59
243.68,243.67,243.7,243.63,17080859.0,70100,2022-09-19 12:56:00,2022-09-19 12:56:59
243.69,243.69,243.69,243.63,1883449.5999999994,7730,2022-09-19 12:57:00,2022-09-19 12:57:59
243.69,243.65,243.7,243.63,3910706.7,16050,2022-09-19 12:58:00,2022-09-19 12:58:59
243.65,243.59,243.65,243.56,4489844.399999999,18430,2022-09-19 12:59:00,2022-09-19 12:59:59
243.56,243.6,243.6,243.5,11759971.399999999,48290,2022-09-19 13:00:00,2022-09-19 13:00:59
243.57,243.89,243.99,243.57,27550066.4,113020,2022-09-19 13:01:00,2022-09-19 13:01:59
243.87,243.85,243.9,243.8,20628627.9,84580,2022-09-19 13:02:00,2022-09-19 13:02:59
243.84,243.85,243.88,243.84,2462906.9,10100,2022-09-19 13:03:00,2022-09-19 13:03:59
243.86,243.9,243.9,243.84,6455701.199999999,26470,2022-09-19 13:04:00,2022-09-19 13:04:59
243.9,243.86,243.9,243.86,1648746.4999999995,6760,2022-09-19 13:05:00,2022-09-19 13:05:59
243.85,243.89,243.89,243.85,507279.00000000006,2080,2022-09-19 13:06:00,2022-09-19 13:06:59
243.89,243.89,243.9,243.85,9180315.000000004,37640,2022-09-19 13:07:00,2022-09-19 13:07:59
243.9,243.9,243.9,243.89,1039008.8,4260,2022-09-19 13:08:00,2022-09-19 13:08:59
243.9,243.89,243.9,243.89,1599980.7999999998,6560,2022-09-19 13:09:00,2022-09-19 13:09:59
243.89,243.9,243.9,243.89,1482905.1999999997,6080,2022-09-19 13:10:00,2022-09-19 13:10:59
243.9,243.9,243.9,243.89,3470667.1,14230,2022-09-19 13:11:00,2022-09-19 13:11:59
243.9,243.85,243.9,243.85,9036302.600000001,37050,2022-09-19 13:12:00,2022-09-19 13:12:59
243.88,243.88,243.89,243.5,15974789.8,65570,2022-09-19 13:13:00,2022-09-19 13:13:59
243.77,243.79,243.9,243.77,3028579.800000001,12420,2022-09-19 13:14:00,2022-09-19 13:14:59
243.86,243.86,243.86,243.76,2972012.4000000013,12190,2022-09-19 13:15:00,2022-09-19 13:15:59
243.86,243.84,243.86,243.81,1482618.5999999999,6080,2022-09-19 13:16:00,2022-09-19 13:16:59
243.84,243.87,243.87,243.83,529183.6000000001,2170,2022-09-19 13:17:00,2022-09-19 13:17:59
243.87,243.89,243.89,243.85,1446199.8,5930,2022-09-19 13:18:00,2022-09-19 13:18:59
243.89,243.88,243.9,243.87,3495050.5999999996,14330,2022-09-19 13:19:00,2022-09-19 13:19:59
243.89,243.9,243.9,243.89,11004760.6,45120,2022-09-19 13:20:00,2022-09-19 13:20:59
243.9,244.0,244.0,243.89,12620415.900000002,51740,2022-09-19 13:21:00,2022-09-19 13:21:59
244.0,244.09,244.14,243.95,6059976.0,24830,2022-09-19 13:22:00,2022-09-19 13:22:59
244.07,244.16,244.23,244.07,2580832.999999999,10570,2022-09-19 13:23:00,2022-09-19 13:23:59
244.16,244.18,244.24,244.11,4126672.499999999,16900,2022-09-19 13:24:00,2022-09-19 13:24:59
244.12,244.2,244.2,244.12,1662929.2999999996,6810,2022-09-19 13:25:00,2022-09-19 13:25:59
244.19,244.18,244.2,244.12,2554250.599999998,10460,2022-09-19 13:26:00,2022-09-19 13:26:59
244.13,244.2,244.2,244.13,798470.5000000001,3270,2022-09-19 13:27:00,2022-09-19 13:27:59
244.2,244.09,244.2,244.06,3444770.7999999993,14110,2022-09-19 13:28:00,2022-09-19 13:28:59
244.09,244.1,244.16,244.09,451587.50000000006,1850,2022-09-19 13:29:00,2022-09-19 13:29:59
244.1,244.19,244.19,244.09,2864189.3000000003,11730,2022-09-19 13:30:00,2022-09-19 13:30:59
244.15,244.19,244.2,244.15,5013411.5,20530,2022-09-19 13:31:00,2022-09-19 13:31:59
244.2,244.12,244.2,244.12,7785018.300000002,31880,2022-09-19 13:32:00,2022-09-19 13:32:59
244.16,244.19,244.2,244.12,2766612.5999999996,11330,2022-09-19 13:33:00,2022-09-19 13:33:59
244.2,244.2,244.2,244.17,6866847.900000002,28120,2022-09-19 13:34:00,2022-09-19 13:34:59
244.2,244.16,244.2,244.0,11183449.5,45810,2022-09-19 13:35:00,2022-09-19 13:35:59
244.16,244.2,244.2,244.07,2265930.5999999996,9280,2022-09-19 13:36:00,2022-09-19 13:36:59
244.14,244.14,244.14,244.07,551719.2,2260,2022-09-19 13:37:00,2022-09-19 13:37:59
244.14,244.19,244.2,244.09,12317208.200000001,50440,2022-09-19 13:38:00,2022-09-19 13:38:59
244.18,244.2,244.2,244.1,1071994.8000000003,4390,2022-09-19 13:39:00,2022-09-19 13:39:59
244.19,244.19,244.2,244.18,3872998.5999999996,15860,2022-09-19 13:40:00,2022-09-19 13:40:59
