symbol,title,content,published_at,source,sentiment_score,confidence,impact,category,id
SBER,SBER: Снижение прибыли и убытки,Компания SBER показала снижение прибыли на 19% из-за неблагоприятных условий на рынке.,2022-09-19 12:00:00,Financial News,-0.7,0.8,high,very_negative,SBER_20220919_0
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-09-21 11:00:00,Financial News,0.1,0.4,low,neutral,SBER_20220921_1
SBER,SBER: Повышение дивидендов и выкуп акций,Совет директоров SBER одобрил повышение дивидендных выплат на 18% и программу выкупа акций.,2022-09-23 17:00:00,Financial News,0.7,0.8,high,very_positive,SBER_20220923_2
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-09-24 12:00:00,Financial News,0.1,0.4,low,neutral,SBER_20220924_3
SBER,SBER: Новые контракты и партнерства,"SBER подписала крупные контракты, что укрепит позиции компании на рынке.",2022-09-25 15:00:00,Financial News,0.5,0.6,medium,positive,SBER_20220925_4
SBER,SBER: Плановые корпоративные события,Компания SBER провела плановое собрание акционеров.,2022-09-26 16:00:00,Financial News,0.0,0.3,low,neutral,SBER_20220926_5
SBER,SBER: Снижение рейтинга аналитиками,"Ведущие аналитики понизили рейтинг SBER с ""покупать"" до ""держать"" из-за ухудшения перспектив.",2022-09-26 15:00:00,Financial News,-0.6,0.7,medium,very_negative,SBER_20220926_6
SBER,SBER: Снижение прибыли и убытки,Компания SBER показала снижение прибыли на 21% из-за неблагоприятных условий на рынке.,2022-09-28 17:00:00,Financial News,-0.7,0.8,high,very_negative,SBER_20220928_7
SBER,SBER: Новые контракты и партнерства,"SBER подписала крупные контракты, что укрепит позиции компании на рынке.",2022-09-30 13:00:00,Financial News,0.5,0.6,medium,positive,SBER_20220930_8
SBER,SBER: Стабильные результаты в квартале,"Компания SBER показала стабильные результаты, соответствующие прогнозам аналитиков.",2022-10-01 15:00:00,Financial News,0.6,0.7,medium,very_positive,SBER_20221001_9
SBER,SBER: Снижение рейтинга аналитиками,"Ведущие аналитики понизили рейтинг SBER с ""покупать"" до ""держать"" из-за ухудшения перспектив.",2022-10-01 16:00:00,Financial News,-0.6,0.7,medium,very_negative,SBER_20221001_10
SBER,SBER: Повышение дивидендов и выкуп акций,Совет директоров SBER одобрил повышение дивидендных выплат на 13% и программу выкупа акций.,2022-10-01 09:00:00,Financial News,0.7,0.8,high,very_positive,SBER_20221001_11
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-10-02 13:00:00,Financial News,0.1,0.4,low,neutral,SBER_20221002_12
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-10-04 11:00:00,Financial News,0.1,0.4,low,neutral,SBER_20221004_13
SBER,SBER: Рекордная прибыль превышает прогнозы на 14%,"Компания SBER показала неожиданно высокую прибыль, превысив прогнозы аналитиков на 14%.",2022-10-06 14:00:00,Financial News,0.9,0.95,very_high,very_positive,SBER_20221006_14
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-10-07 11:00:00,Financial News,0.1,0.4,low,neutral,SBER_20221007_15
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-10-11 10:00:00,Financial News,0.1,0.4,low,neutral,SBER_20221011_16
SBER,SBER: Снижение рейтинга аналитиками,"Ведущие аналитики понизили рейтинг SBER с ""покупать"" до ""держать"" из-за ухудшения перспектив.",2022-10-11 15:00:00,Financial News,-0.6,0.7,medium,very_negative,SBER_20221011_17
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-10-11 11:00:00,Financial News,0.1,0.4,low,neutral,SBER_20221011_18
SBER,SBER: Рекордная прибыль превышает прогнозы на 12%,"Компания SBER показала неожиданно высокую прибыль, превысив прогнозы аналитиков на 12%.",2022-10-12 17:00:00,Financial News,0.9,0.95,very_high,very_positive,SBER_20221012_19
SBER,SBER: Снижение рейтинга аналитиками,"Ведущие аналитики понизили рейтинг SBER с ""покупать"" до ""держать"" из-за ухудшения перспектив.",2022-10-13 17:00:00,Financial News,-0.6,0.7,medium,very_negative,SBER_20221013_20
SBER,SBER: Плановые корпоративные события,Компания SBER провела плановое собрание акционеров.,2022-10-13 13:00:00,Financial News,0.0,0.3,low,neutral,SBER_20221013_21
SBER,SBER: Крупные инвестиции и расширение бизнеса,SBER объявила о планах крупных инвестиций в развитие новых направлений на сумму 1 млрд руб.,2022-10-14 14:00:00,Financial News,0.8,0.85,high,very_positive,SBER_20221014_22
SBER,SBER: Рекордная прибыль превышает прогнозы на 16%,"Компания SBER показала неожиданно высокую прибыль, превысив прогнозы аналитиков на 16%.",2022-10-15 10:00:00,Financial News,0.9,0.95,very_high,very_positive,SBER_20221015_23
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-10-16 13:00:00,Financial News,0.1,0.4,low,neutral,SBER_20221016_24
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-10-17 16:00:00,Financial News,0.1,0.4,low,neutral,SBER_20221017_25
SBER,SBER: Крупные инвестиции и расширение бизнеса,SBER объявила о планах крупных инвестиций в развитие новых направлений на сумму 3 млрд руб.,2022-10-17 14:00:00,Financial News,0.8,0.85,high,very_positive,SBER_20221017_26
SBER,SBER: Стабильные результаты в квартале,"Компания SBER показала стабильные результаты, соответствующие прогнозам аналитиков.",2022-10-18 10:00:00,Financial News,0.6,0.7,medium,very_positive,SBER_20221018_27
SBER,SBER: Стабильные результаты в квартале,"Компания SBER показала стабильные результаты, соответствующие прогнозам аналитиков.",2022-10-18 17:00:00,Financial News,0.6,0.7,medium,very_positive,SBER_20221018_28
SBER,SBER: Обычные торговые сессии,Торги SBER прошли в обычном режиме без значительных изменений.,2022-10-19 11:00:00,Financial News,0.1,0.4,low,neutral,SBER_20221019_29
SBER,SBER: Крупные инвестиции и расширение бизнеса,SBER объявила о планах крупных инвестиций в развитие новых направлений на сумму 2 млрд руб.,2022-10-19 13:00:00,Financial News,0.8,0.85,high,very_positive,SBER_20221019_30
