date,open,high,low,close,volume
2024-09-16,120.6,122.62,119.52,121.73,3885481
2024-09-17,121.91,123.47,120.17,123.1,3687751
2024-09-18,122.53,123.9,121.9,122.18,3064956
2024-09-19,121.9,123.39,121.21,122.24,4338214
2024-09-20,122.3,123.18,121.86,122.4,2851802
2024-09-23,122.65,130.8,122.62,130.35,13822798
2024-09-24,130.9,139.9,130.66,139.71,29652878
2024-09-25,140.5,140.99,134.29,135.44,15005192
2024-09-26,134.91,138.48,133.64,137.35,13119724
2024-09-27,137.55,141.77,136.4,140.5,8622514
2024-09-30,140.5,144.2,136.82,138.19,23707092
2024-10-01,137.9,139.2,134.44,136.21,9855762
2024-10-02,136.22,137.16,131.7,132.12,6682015
2024-10-03,131.6,134.16,130.32,133.87,5736313
2024-10-04,134.06,134.49,132.03,133.32,2879638
2024-10-07,133.32,133.66,131.6,133.5,2545673
2024-10-08,133.11,134.88,132.9,133.83,3204840
2024-10-09,133.77,133.92,131.5,132.51,1947109
2024-10-10,132.5,133.49,132.15,132.69,1758893
2024-10-11,132.94,132.94,131.52,131.82,2159352
2024-10-14,131.5,133.35,130.51,131.92,3476688
2024-10-15,131.85,134.4,131.43,133.97,2831354
2024-10-16,134.03,138.8,133.96,137.24,7815255
2024-10-17,137.49,138.29,134.8,136.05,4932893
2024-10-18,136.27,137.3,134.8,135.67,2645474
2024-10-21,135.68,136.6,135.11,135.97,1925657
2024-10-22,136.12,140.08,135.51,136.24,5531845
2024-10-23,136.0,137.5,134.13,134.76,3590151
2024-10-24,134.94,135.2,132.15,134.12,2881649
2024-10-25,134.15,136.5,132.0,133.0,5515755
2024-10-28,131.98,132.26,123.5,124.87,8045941
2024-10-29,125.12,126.96,121.85,125.97,6727415
2024-10-30,126.16,127.2,123.52,123.8,3526244
2024-10-31,123.16,124.94,122.25,123.44,3477761
2024-11-01,123.8,125.67,122.71,125.6,2466467
2024-11-02,125.74,129.3,125.01,128.7,3252188
2024-11-05,129.0,129.37,127.37,128.77,2307386
2024-11-06,133.11,136.59,130.4,131.92,10922152
2024-11-07,131.85,135.54,129.65,135.52,5260880
2024-11-08,135.8,137.0,133.64,135.9,6451557
2024-11-11,137.2,138.33,135.24,138.12,4579154
2024-11-12,137.82,137.82,134.64,135.16,3307836
2024-11-13,134.9,136.65,132.27,132.6,3255666
2024-11-14,132.02,133.34,130.67,131.61,4054490
2024-11-15,131.61,134.0,131.02,133.37,4814647
2024-11-18,129.5,130.73,128.75,129.12,6040776
2024-11-19,128.98,129.38,123.8,125.49,5916094
2024-11-20,126.0,126.78,120.36,121.89,6154480
2024-11-21,122.2,124.35,119.62,124.1,7748169
2024-11-22,124.25,124.32,118.4,119.47,7208982
2024-11-25,119.5,120.45,116.06,117.44,5382741
2024-11-26,117.25,119.43,114.01,114.5,5895898
2024-11-27,115.0,119.81,112.34,119.41,9315992
2024-11-28,120.0,121.5,118.25,120.29,5442259
2024-11-29,120.29,124.9,119.6,124.29,7315334
2024-12-02,125.0,125.45,123.51,123.9,4271042
2024-12-03,123.9,124.0,120.71,121.48,3481004
2024-12-04,121.5,123.46,114.13,115.3,8736641
2024-12-05,115.8,117.46,113.0,116.63,9483005
2024-12-06,117.17,117.32,113.9,114.99,4805397
2024-12-09,115.76,117.86,115.0,117.06,4185175
2024-12-10,117.4,117.47,114.5,114.7,3867200
2024-12-11,114.6,116.0,113.75,115.16,4756865
2024-12-12,115.16,115.4,113.0,113.1,4024195
2024-12-13,113.0,114.2,112.46,112.86,3435352
2024-12-16,112.69,112.8,108.11,108.71,7816102
2024-12-17,108.72,109.47,106.1,107.26,6765077
2024-12-18,107.46,108.57,105.22,108.05,7906077
2024-12-19,108.0,111.16,106.0,107.16,16445879
2024-12-20,107.16,116.42,106.88,115.24,15501374
2024-12-23,117.18,120.99,116.58,119.75,9636363
2024-12-24,119.97,123.25,118.48,121.7,10901119
2024-12-25,121.71,128.71,121.12,128.11,16888153
2024-12-26,128.4,129.6,125.72,126.89,10344283
2024-12-27,126.89,128.3,126.41,127.79,4987627
2024-12-28,127.79,130.0,127.7,129.6,5303319
2024-12-30,130.05,133.36,130.05,133.12,5286299
2025-01-03,132.9,133.0,128.2,128.66,4507780
2025-01-06,128.0,128.44,126.53,128.34,2370457
2025-01-08,128.24,129.89,128.14,129.45,2152665
2025-01-09,129.68,129.68,123.51,124.01,6615667
2025-01-10,124.51,127.37,121.31,126.6,10266773
2025-01-13,127.96,132.68,127.72,131.47,10289182
2025-01-14,131.0,134.82,130.0,132.99,9146847
2025-01-15,133.1,136.52,131.85,136.36,7560670
2025-01-16,136.36,137.66,134.11,135.33,7250486
2025-01-17,135.33,139.17,134.7,138.76,6835194
2025-01-20,140.14,140.96,136.55,137.1,7948548
2025-01-21,137.1,138.89,135.22,138.01,5104910
2025-01-22,138.15,139.59,136.0,136.83,5618947
2025-01-23,136.79,138.0,135.55,137.84,3735335
2025-01-24,138.31,139.31,137.07,138.43,4099795
2025-01-27,138.43,138.96,133.82,134.26,4626101
2025-01-28,134.03,138.75,132.77,137.54,7461787
2025-01-29,137.78,139.0,136.0,137.05,3292878
2025-01-30,137.05,140.77,136.79,140.47,6751668
2025-01-31,140.55,144.29,139.6,140.84,10473696
2025-02-03,140.45,142.15,138.4,139.63,6141898
2025-02-04,139.95,140.58,136.6,136.84,5042113
2025-02-05,136.85,140.49,136.1,140.45,6718750
2025-02-06,140.52,143.43,139.1,141.98,7320951
2025-02-07,142.2,143.13,141.01,141.9,3948857
2025-02-10,142.67,144.62,141.93,142.46,6234853
2025-02-11,142.28,143.9,140.77,142.97,4676999
2025-02-12,143.03,154.6,143.03,154.6,23315019
2025-02-13,159.1,175.19,156.33,166.32,53302112
2025-02-14,169.94,173.93,163.07,168.1,32561189
2025-02-17,172.02,180.05,171.1,180.05,21412204
2025-02-18,181.0,184.8,169.0,171.2,31922121
2025-02-19,172.22,177.8,169.12,176.25,14044530
2025-02-20,176.26,176.44,172.23,173.0,8484356
2025-02-21,173.0,174.38,167.61,171.09,10189230
2025-02-24,170.47,177.2,169.22,177.16,11593355
2025-02-25,177.2,179.77,173.74,175.1,10110609
2025-02-26,175.7,175.7,168.75,169.26,10202648
2025-02-27,169.26,171.84,166.22,166.7,11561873
2025-02-28,166.34,172.0,163.53,170.87,14639355
2025-03-01,171.5,171.61,170.15,170.64,235780
2025-03-02,170.82,172.73,170.25,170.96,1199730
2025-03-03,171.09,171.48,163.35,169.26,14056144
2025-03-04,170.0,175.3,169.55,173.92,9929071
2025-03-05,173.55,178.0,170.26,170.95,13105064
2025-03-06,171.0,175.71,170.0,172.93,8651036
2025-03-07,172.6,174.79,168.13,171.56,8501839
2025-03-10,171.97,172.78,170.15,171.09,3541031
2025-03-11,171.09,172.5,169.15,170.42,6114339
2025-03-12,170.42,171.14,167.7,168.29,4648719
2025-03-13,168.3,171.7,160.71,168.11,21467505
2025-03-14,167.22,171.47,164.38,170.45,11059481
2025-03-15,170.45,170.99,170.34,170.45,223137
2025-03-16,170.4,173.16,170.37,172.81,825993
2025-03-17,172.85,174.84,171.47,172.73,10548510
2025-03-18,173.39,174.48,167.55,168.52,14172614
2025-03-19,169.0,169.78,165.57,168.33,7413278
2025-03-20,168.7,169.0,165.67,168.09,8348046
2025-03-21,167.0,168.94,166.02,166.61,5432323
2025-03-24,166.4,166.63,163.11,164.56,4470820
2025-03-25,164.95,166.33,160.25,164.46,8461682
2025-03-26,165.2,167.26,161.21,161.85,5867987
2025-03-27,161.5,162.4,154.9,155.25,9086359
2025-03-28,155.0,156.11,145.2,145.43,16958041
2025-03-29,145.41,145.72,143.99,143.99,875183
2025-03-30,143.99,143.99,143.99,143.99,65338
2025-03-31,142.45,147.49,140.5,145.69,10440455
2025-04-01,146.09,147.82,136.7,137.5,15610003
2025-04-02,137.5,139.98,135.44,139.23,10753504
2025-04-03,139.8,143.01,130.73,134.54,15093753
2025-04-04,136.0,136.66,126.4,126.7,17868957
2025-04-05,126.0,126.51,124.16,126.28,2016294
2025-04-06,126.05,128.92,125.56,128.54,1499962
2025-04-07,126.0,129.69,118.1,125.57,21161540
2025-04-08,126.6,128.94,121.36,121.91,11069383
2025-04-09,120.77,128.62,116.6,127.76,21312937
2025-04-10,128.48,131.0,124.64,127.77,15329637
2025-04-11,127.76,133.59,127.38,132.91,12645842
2025-04-12,134.36,135.95,133.91,135.94,2138460
2025-04-13,135.8,135.95,135.05,135.95,968142
2025-04-14,136.11,137.0,130.66,132.05,9639563
2025-04-15,132.0,134.3,129.74,131.6,8069490
2025-04-16,131.6,134.0,129.02,132.0,8495024
2025-04-17,132.52,137.48,132.4,136.79,11056071
2025-04-18,134.6,136.31,133.03,134.77,9672750
2025-04-21,136.4,140.0,135.29,139.53,9544804
2025-04-22,139.8,146.79,138.51,145.0,18222618
2025-04-23,145.25,145.97,138.58,143.38,19841084
2025-04-24,144.0,146.78,143.54,144.29,10524179
2025-04-25,145.03,150.8,144.64,150.23,17069722
2025-04-26,152.0,154.6,151.1,152.76,5454837
2025-04-27,153.0,153.9,152.41,153.72,1602496
2025-04-28,152.37,157.45,149.05,153.27,20597452
2025-04-29,153.27,154.5,147.21,149.25,13241092
2025-04-30,149.34,153.95,147.11,149.89,20304557
2025-05-02,149.7,149.7,138.15,138.89,10584528
2025-05-03,138.98,141.18,137.81,139.58,2212574
2025-05-04,139.8,141.85,139.55,141.1,1846045
2025-05-05,140.25,141.57,131.53,135.09,18079413
2025-05-06,134.92,139.5,132.33,137.71,20485875
2025-05-07,137.76,140.38,136.76,139.9,11296217
2025-05-08,140.06,144.77,140.03,142.9,14578360
2025-05-10,144.05,145.07,143.1,143.87,2318966
2025-05-11,147.27,147.27,145.06,145.88,3731422
2025-05-12,147.1,149.39,144.71,146.73,14953804
2025-05-13,146.98,147.5,144.83,145.64,8020618
2025-05-14,145.93,146.8,141.59,141.74,10141409
2025-05-15,141.65,143.18,137.86,139.44,15467968
2025-05-16,139.89,140.82,133.5,139.1,18603362
2025-05-17,139.4,142.45,139.23,141.83,2522555
2025-05-18,143.0,143.26,142.0,143.26,2348334
2025-05-19,143.49,143.64,138.88,139.72,14235501
