date,open,high,low,close,volume
2025-06-16,125.7,125.85,122.66,123.05,3674312
2025-06-17,123.18,128.0,122.68,127.17,7098105
2025-06-18,127.44,127.87,125.51,126.67,5136653
2025-06-19,126.94,127.35,125.0,125.92,4783144
2025-06-20,125.82,126.66,123.4,124.27,4644525
2025-06-23,124.88,125.82,123.51,124.28,4257824
2025-06-24,124.25,125.4,122.86,125.13,3964808
2025-06-25,125.01,126.99,124.53,126.35,4217626
2025-06-26,126.4,128.24,125.43,126.69,3670980
2025-06-27,126.76,128.19,125.57,127.59,5337193
2025-06-28,127.62,128.15,127.2,127.48,349404
2025-06-29,127.4,128.0,126.73,127.1,510193
2025-06-30,127.08,130.55,126.3,129.89,6598693
2025-07-01,129.98,131.17,127.9,128.26,5343041
2025-07-02,128.45,129.2,126.26,127.11,4544511
2025-07-03,127.12,129.4,126.3,127.85,4831463
2025-07-04,127.39,128.8,126.6,127.83,3532640
2025-07-05,127.72,127.91,127.41,127.7,89609
2025-07-06,127.53,127.78,127.31,127.53,83585
2025-07-07,127.83,127.83,123.33,124.02,4976098
2025-07-08,123.7,124.7,120.89,121.03,4883653
2025-07-09,121.02,122.16,118.11,119.67,5924871
2025-07-10,120.0,121.42,119.37,120.32,3747538
2025-07-11,120.33,120.59,116.02,116.24,6124228
2025-07-12,116.39,116.9,116.26,116.69,306858
2025-07-13,116.9,116.9,115.0,116.37,866112
2025-07-14,116.24,122.5,115.15,122.3,9291445
2025-07-15,122.5,122.8,121.17,121.63,4148152
2025-07-16,121.79,123.8,120.85,122.83,5539184
2025-07-17,122.85,123.6,120.63,120.8,3804130
2025-07-18,120.76,126.85,120.11,126.75,9081687
2025-07-19,126.76,129.58,126.58,128.21,1556743
2025-07-20,129.39,129.81,127.77,128.23,747950
2025-07-21,128.39,128.89,126.67,128.34,5091278
2025-07-22,128.15,129.63,127.3,129.07,4426196
2025-07-23,129.1,130.3,128.8,129.2,5013382
2025-07-24,129.01,129.69,127.01,128.04,3291661
2025-07-25,128.25,129.15,125.67,126.5,5638555
2025-07-26,126.63,126.82,126.19,126.44,192920
2025-07-27,126.25,126.42,125.8,125.87,184990
2025-07-28,126.05,126.05,122.02,122.86,6598627
2025-07-29,123.28,123.91,122.05,122.69,3920696
2025-07-30,122.7,122.89,121.0,121.34,2777496
2025-07-31,121.48,122.84,120.7,122.57,2833861
2025-08-01,123.01,124.84,120.12,121.63,4890734
2025-08-04,122.33,126.05,121.75,125.94,6524889
2025-08-05,125.9,126.82,124.8,125.98,4961366
2025-08-06,126.29,132.9,123.73,130.11,18638546
2025-08-07,130.2,136.0,129.4,134.24,29595534
2025-08-08,134.74,141.58,132.6,141.16,21155251
2025-08-11,144.1,144.4,137.9,140.0,19087613
2025-08-12,140.0,141.43,138.52,140.8,7742388
2025-08-13,141.0,141.94,138.95,139.39,9511352
2025-08-14,139.37,140.79,137.16,140.26,10667058
2025-08-15,140.4,143.45,139.67,142.53,11719148
2025-08-16,138.14,138.85,138.14,138.14,3709540
2025-08-17,138.14,138.14,138.14,138.14,175512
2025-08-18,136.4,141.98,135.69,139.5,15193435
2025-08-19,140.5,140.8,136.88,137.81,10188493
2025-08-20,137.82,138.44,134.7,135.31,7628891
2025-08-21,135.21,135.48,130.34,131.13,11755730
2025-08-22,131.15,132.73,130.38,132.57,6372633
2025-08-23,132.56,132.9,132.39,132.76,285110
2025-08-24,132.59,132.83,131.61,132.13,499560
2025-08-25,132.13,132.77,129.7,132.38,5896471
2025-08-26,132.24,134.44,132.1,133.69,5632987
2025-08-27,133.32,136.26,132.83,135.51,6342002
2025-08-28,135.86,135.89,131.52,133.25,7666609
2025-08-29,133.7,136.47,131.89,135.88,9359928
2025-08-30,135.86,136.28,135.15,135.64,829950
2025-08-31,135.69,136.47,135.68,136.37,894432
2025-09-01,136.37,137.45,133.85,134.91,5386136
2025-09-02,135.03,136.41,130.45,132.18,12266242
2025-09-03,132.34,132.68,130.68,132.18,4814000
2025-09-04,132.17,132.59,129.83,130.8,5706395
2025-09-05,131.0,132.5,130.91,131.87,3986980
2025-09-06,132.0,132.17,131.6,131.92,203026
2025-09-07,131.92,132.57,131.75,132.3,260875
2025-09-08,132.33,134.0,131.95,133.48,4368495
2025-09-09,133.65,133.96,132.52,133.52,3387360
2025-09-10,133.48,133.58,130.07,130.73,6272588
2025-09-11,130.96,131.33,128.88,130.02,4939493
2025-09-12,130.33,130.45,125.15,125.44,8461092
2025-09-13,125.43,125.69,125.0,125.0,484276
2025-09-14,125.06,126.6,125.03,126.19,814399
