date,open,high,low,close,volume
2024-09-16,3.715,3.8115,3.7115,3.7895,1206810
2024-09-17,3.79,3.81,3.731,3.8075,886717
2024-09-18,3.815,3.885,3.7735,3.84,1412840
2024-09-19,3.8405,3.8725,3.8005,3.8195,1084610
2024-09-20,3.8,3.88,3.8,3.87,938231
2024-09-23,3.871,3.95,3.871,3.9210000000000003,1313021
2024-09-24,3.9215,3.9295,3.8895,3.9005,713306
2024-09-25,3.917,3.917,3.8120000000000003,3.8289999999999997,978544
2024-09-26,3.8289999999999997,3.847,3.8120000000000003,3.832,572163
2024-09-27,3.8435,3.8535,3.77,3.8095,1101469
2024-09-30,3.815,3.85,3.8,3.818,899016
2024-10-01,3.818,3.818,3.759,3.803,653655
2024-10-02,3.8040000000000003,3.818,3.638,3.689,1921071
2024-10-03,3.6879999999999997,3.7720000000000002,3.6555,3.747,895303
2024-10-04,3.762,3.817,3.7385,3.79,819244
2024-10-07,3.8,3.816,3.77,3.815,623285
2024-10-08,3.809,3.908,3.801,3.8635,1439051
2024-10-09,3.86,3.8805,3.8235,3.8515,512871
2024-10-10,3.8525,3.884,3.8415,3.8615,343484
2024-10-11,3.8615,3.8805,3.787,3.835,724935
2024-10-14,3.835,3.88,3.7755,3.8745000000000003,626512
2024-10-15,3.8715,3.8985,3.835,3.879,516531
2024-10-16,3.89,3.8935,3.8555,3.8645,351466
2024-10-17,3.864,3.883,3.8449999999999998,3.8555,496375
2024-10-18,3.855,3.88,3.8335,3.8735,481642
2024-10-21,3.8735,3.895,3.8535,3.8665000000000003,510448
2024-10-22,3.867,3.875,3.786,3.809,558319
2024-10-23,3.815,3.82,3.7175000000000002,3.746,471070
2024-10-24,3.746,3.7805,3.729,3.76,376198
2024-10-25,3.8105,3.8805,3.7039999999999997,3.7445,3094678
2024-10-28,3.74,3.79,3.7085,3.7545,1489309
2024-10-29,3.755,3.8185000000000002,3.753,3.814,1118198
2024-10-30,3.817,3.8495,3.777,3.7945,1088754
2024-10-31,3.779,3.822,3.765,3.7805,753408
2024-11-01,3.7805,3.849,3.77,3.8369999999999997,596205
2024-11-02,3.83,3.8495,3.8255,3.833,297277
2024-11-05,3.8395,3.86,3.816,3.8535,596545
2024-11-06,3.87,3.923,3.8555,3.8575,1479974
2024-11-07,3.86,3.92,3.8345000000000002,3.9195,784397
2024-11-08,3.9195,3.939,3.888,3.9210000000000003,1203856
2024-11-11,3.931,3.9915000000000003,3.9025,3.988,1459328
2024-11-12,3.9975,3.9975,3.85,3.908,1262226
2024-11-13,3.9125,3.9605,3.877,3.895,749270
