date,open,high,low,close,volume
2025-08-15,637.0,642.0,627.6,636.4,1349745
2025-08-16,625.0,636.4,618.6,632.4,625462
2025-08-17,632.8,634.3,628.0,629.7,118684
2025-08-18,628.4,656.1,628.1,650.6,3718243
2025-08-19,652.0,664.8,649.2,658.6,2651651
2025-08-20,656.5,663.9,650.6,654.7,2026152
2025-08-21,654.7,657.7,637.6,642.5,2200833
2025-08-22,644.3,661.0,639.7,659.7,2204282
2025-08-23,661.7,662.9,659.9,661.2,95822
2025-08-24,659.2,660.8,656.0,660.5,121928
2025-08-25,660.5,676.6,657.0,672.9,3430118
2025-08-26,675.0,677.8,663.6,666.7,2248198
2025-08-27,667.0,673.0,661.0,670.1,1584503
2025-08-28,670.1,674.9,652.0,654.7,1788527
2025-08-29,656.0,666.1,652.5,659.0,1778788
2025-08-30,660.2,662.7,658.0,658.6,27096
2025-08-31,659.0,662.5,658.6,661.9,42984
2025-09-01,661.9,671.3,661.9,666.6,1146579
2025-09-02,667.5,668.2,643.1,657.0,2487337
2025-09-03,657.0,665.0,650.1,664.6,1873252
2025-09-04,664.9,666.7,656.3,660.0,1441900
2025-09-05,662.0,662.1,647.7,651.2,1292578
2025-09-06,654.0,654.0,651.0,652.2,46139
2025-09-07,651.8,655.3,651.6,655.1,96616
2025-09-08,654.8,656.6,645.7,652.5,1388961
2025-09-09,652.5,654.8,643.8,651.9,1741565
2025-09-10,652.0,652.7,629.2,632.4,2498770
2025-09-11,633.2,634.1,620.1,622.3,2927128
2025-09-12,623.1,626.3,598.7,602.3,6110276
2025-09-13,602.4,605.9,588.2,590.6,416539
2025-09-14,590.6,598.4,585.0,597.9,555131
