date,open,high,low,close,volume
2024-09-16,638.0,642.8,611.0,638.8,1269045
2024-09-17,637.8,644.5,626.0,636.4,698605
2024-09-18,636.2,654.5,636.1,644.0,1178020
2024-09-19,643.6,648.7,633.3,637.3,699983
2024-09-20,638.1,667.9,635.3,660.4,742176
2024-09-23,665.0,669.8,639.1,647.0,1420701
2024-09-24,647.0,656.0,637.8,649.4,921460
2024-09-25,650.3,652.8,624.2,628.5,964478
2024-09-26,623.9,644.0,621.4,634.1,976620
2024-09-27,634.1,655.0,633.5,655.0,1039218
2024-09-30,655.7,660.3,644.4,648.2,469459
2024-10-01,647.6,652.3,633.9,639.6,472987
2024-10-02,639.0,643.0,618.0,619.9,579946
2024-10-03,617.0,638.1,611.7,637.8,1551419
2024-10-04,639.0,640.7,624.4,631.9,362042
2024-10-07,631.3,635.7,618.3,633.3,756075
2024-10-08,631.3,634.8,626.4,633.4,224921
2024-10-09,632.0,636.8,626.4,636.0,236166
2024-10-10,635.4,643.0,632.5,639.3,433811
2024-10-11,639.5,645.9,634.4,641.2,386300
2024-10-14,641.8,654.0,636.8,651.7,491423
2024-10-15,651.7,660.0,649.0,656.0,410202
2024-10-16,658.0,665.0,640.0,644.3,519300
2024-10-17,642.4,644.0,635.1,636.6,381050
2024-10-18,635.9,644.3,631.7,638.2,412075
2024-10-21,638.0,643.5,634.4,637.8,122236
2024-10-22,634.5,637.7,610.1,615.4,553853
2024-10-23,614.8,614.8,601.0,604.1,548693
2024-10-24,603.5,610.4,592.4,603.2,537662
2024-10-25,601.3,625.0,570.6,584.6,1555312
2024-10-28,577.0,582.9,557.9,573.2,885213
2024-10-29,570.2,583.9,562.0,569.1,683620
2024-10-30,571.0,574.3,517.8,522.3,1887462
2024-10-31,520.3,524.6,491.2,492.9,3340523
2024-11-01,493.0,505.0,470.0,496.5,5647676
2024-11-02,500.0,504.7,483.0,501.4,1953565
2024-11-05,501.4,507.1,492.1,498.2,2108154
2024-11-06,519.9,519.9,478.3,483.4,2392907
2024-11-07,475.0,489.9,461.2,489.8,2667800
2024-11-08,491.0,515.0,477.9,510.2,1949746
2024-11-11,517.0,520.9,495.4,514.4,1618368
2024-11-12,513.9,530.5,504.2,527.4,2105949
2024-11-13,527.5,538.4,503.1,504.9,2425200
2024-11-14,501.2,509.5,489.1,493.9,1459787
2024-11-15,492.2,495.8,481.2,491.0,1402572
2024-11-18,484.9,506.9,478.4,492.1,1604464
2024-11-19,492.6,496.8,476.0,484.3,1050251
2024-11-20,483.8,490.4,470.6,479.3,1007498
2024-11-21,478.8,484.5,470.0,477.9,926334
2024-11-22,478.8,481.6,466.2,469.0,607416
2024-11-25,465.0,468.5,438.8,445.9,1311386
2024-11-26,442.0,445.5,396.0,407.4,2271630
2024-11-27,405.7,406.9,356.5,400.0,6318486
2024-11-28,399.9,412.5,376.2,394.8,3398598
2024-11-29,393.9,423.0,386.2,419.4,3364283
2024-12-02,419.4,434.3,408.1,410.3,1795910
2024-12-03,409.1,414.4,390.3,396.9,1869099
2024-12-04,396.6,401.8,375.1,382.2,2827477
2024-12-05,379.8,397.9,373.0,394.0,2917446
2024-12-06,393.8,398.4,382.9,396.3,1502366
2024-12-09,398.3,403.0,388.5,397.1,1176685
2024-12-10,396.8,396.8,385.0,386.0,1183193
2024-12-11,386.0,392.0,378.5,387.7,1305046
2024-12-12,386.5,390.7,376.6,378.0,970932
2024-12-13,376.6,378.2,367.9,377.6,1145969
2024-12-16,372.7,373.7,357.0,361.5,2049477
2024-12-17,356.9,362.3,352.1,356.3,1420674
2024-12-18,355.3,368.8,355.3,365.8,1048008
2024-12-19,365.5,373.9,361.0,371.8,2139390
2024-12-20,371.5,439.0,365.6,439.0,8250045
2024-12-23,453.0,511.5,434.0,471.3,9870082
2024-12-24,472.0,473.0,442.9,444.1,3441076
2024-12-25,439.0,456.7,424.4,454.0,6526239
2024-12-26,454.0,466.0,444.5,446.9,3316546
2024-12-27,445.0,457.9,441.9,457.2,1789754
2024-12-28,457.2,485.0,453.5,481.2,1598930
2024-12-30,483.1,507.8,477.0,507.8,2695296
2025-01-03,515.0,525.0,491.8,505.9,1946685
2025-01-06,497.0,497.0,481.7,485.0,1723550
2025-01-08,482.0,487.7,475.0,485.3,1546815
2025-01-09,483.4,487.9,468.2,474.5,1689062
2025-01-10,474.4,497.5,473.7,493.8,1704249
2025-01-13,495.0,511.0,481.2,483.6,1598939
2025-01-14,480.5,498.3,472.4,496.0,1267966
2025-01-15,497.5,529.2,485.7,528.2,2399015
2025-01-16,532.0,569.0,517.4,558.1,7500636
2025-01-17,557.0,651.2,551.7,645.6,18579842
2025-01-20,662.0,688.2,615.7,628.7,12995362
2025-01-21,640.0,663.0,622.8,660.8,4859182
2025-01-22,661.1,683.0,646.3,652.9,4542807
2025-01-23,652.0,700.6,648.2,695.5,7087682
2025-01-24,699.4,743.9,692.3,726.4,18254310
2025-01-27,726.3,743.0,692.5,697.9,8569744
2025-01-28,692.1,726.4,675.6,722.2,8105152
2025-01-29,722.2,725.6,698.0,705.3,5450586
2025-01-30,702.9,712.8,694.7,699.4,2847339
2025-01-31,700.0,717.2,687.0,694.1,3169689
2025-02-03,692.0,693.0,669.0,678.7,2957606
2025-02-04,679.0,687.3,667.3,672.0,2132391
2025-02-05,672.0,707.2,650.2,697.2,5216196
2025-02-06,699.9,705.9,685.0,687.5,1797653
2025-02-07,688.0,692.0,677.3,685.2,1095109
2025-02-10,690.2,706.2,678.4,681.8,1741420
2025-02-11,685.0,711.6,682.3,710.0,1937662
2025-02-12,711.3,758.0,700.7,744.0,4601894
2025-02-13,748.1,778.8,724.2,740.4,2789270
2025-02-14,761.0,828.4,720.1,742.6,11627472
2025-02-17,751.9,771.5,746.0,762.0,2727894
2025-02-18,762.0,767.4,698.6,708.3,3374713
2025-02-19,710.8,715.7,671.0,691.1,4944345
2025-02-20,693.8,697.4,676.0,682.9,1562342
2025-02-21,684.0,712.6,669.4,707.0,2759519
2025-02-24,704.0,723.0,690.0,703.7,2067879
2025-02-25,705.5,734.8,685.8,692.2,3826191
2025-02-26,692.9,712.0,661.1,664.0,2916333
2025-02-27,665.0,674.8,636.0,644.8,3574571
2025-02-28,641.1,664.5,637.0,658.6,2849320
2025-03-01,661.2,666.8,659.0,660.5,36486
2025-03-02,658.4,660.0,653.6,658.0,31683
2025-03-03,658.0,658.0,625.9,637.1,1955918
2025-03-04,638.4,669.8,638.0,666.2,1409898
2025-03-05,666.3,696.3,652.5,668.9,2599295
2025-03-06,668.3,689.8,660.9,665.7,2658215
2025-03-07,665.5,678.3,650.0,661.2,1397188
2025-03-10,663.5,665.9,648.3,652.1,806738
2025-03-11,652.1,656.0,628.3,634.4,2615986
2025-03-12,634.0,639.4,605.0,608.8,3033166
2025-03-13,607.0,629.0,590.5,604.5,3381006
2025-03-14,601.3,624.8,598.0,615.0,1766469
2025-03-15,615.5,618.8,615.3,617.0,24617
2025-03-16,618.8,629.9,618.5,629.3,154118
2025-03-17,628.5,649.9,627.1,646.2,1750912
2025-03-18,649.0,657.4,627.1,628.4,2454322
2025-03-19,629.4,648.2,622.0,640.1,2119241
2025-03-20,642.0,647.7,623.0,626.3,3269439
2025-03-21,627.0,632.0,586.0,590.0,7929136
2025-03-24,586.1,587.3,548.3,549.3,6706276
2025-03-25,551.7,564.6,539.2,563.7,5972377
2025-03-26,565.0,572.5,546.5,549.9,2624523
2025-03-27,548.9,550.9,523.8,525.7,2667601
2025-03-28,525.0,529.8,508.9,513.6,2954601
2025-03-29,513.6,513.6,504.0,504.0,184986
2025-03-30,504.0,504.0,504.0,504.0,15205
