date,open,high,low,close,volume
2025-08-15,318.9,320.5,318.45,319.4,26071682
2025-08-16,316.86,316.88,310.03,315.17,10296497
2025-08-17,315.5,315.8,314.8,314.97,1902692
2025-08-18,315.01,319.89,314.3,318.38,35044641
2025-08-19,318.98,319.73,316.29,316.5,21879576
2025-08-20,316.53,317.51,313.02,314.17,18653270
2025-08-21,314.17,315.1,309.28,309.98,30815394
2025-08-22,310.11,312.49,309.75,312.05,15495808
2025-08-23,312.11,312.5,311.55,312.3,567839
2025-08-24,312.3,312.45,311.5,311.84,730827
2025-08-25,311.84,312.3,308.75,311.42,15298883
2025-08-26,311.11,314.0,310.5,311.79,11297232
2025-08-27,312.0,313.78,311.06,312.78,11692831
2025-08-28,313.03,314.5,310.12,310.82,20309447
2025-08-29,311.18,311.82,308.95,310.04,14855695
2025-08-30,309.99,310.54,309.71,309.92,780762
2025-08-31,309.92,311.24,309.92,310.99,1093718
2025-09-01,310.86,312.5,308.82,309.2,11045087
2025-09-02,309.2,310.1,307.05,308.44,17407779
2025-09-03,308.45,309.68,307.21,309.49,10482402
2025-09-04,309.6,310.8,307.5,308.74,12848837
2025-09-05,309.1,311.16,308.8,310.5,11650553
2025-09-06,310.5,310.9,310.1,310.13,654610
2025-09-07,310.13,311.0,310.13,310.69,734383
2025-09-08,310.44,313.26,310.31,312.83,16963643
2025-09-09,313.0,314.25,311.62,313.06,17116843
2025-09-10,313.65,313.65,309.0,309.76,19292572
2025-09-11,309.76,310.77,305.8,307.11,29436347
2025-09-12,307.5,308.72,302.53,303.5,39315303
2025-09-13,303.61,303.8,302.65,302.84,1279027
2025-09-14,303.18,304.25,302.72,303.97,1566130
