date,open,high,low,close,volume
2024-09-16,259.64,264.37,257.8,263.79,52643180
2024-09-17,264.12,267.0,260.55,265.99,57565620
2024-09-18,265.73,267.99,263.15,263.4,43376640
2024-09-19,263.94,266.19,262.32,264.5,35683170
2024-09-20,264.52,269.21,264.5,269.08,38767000
2024-09-23,269.3,273.8,269.3,273.17,49396850
2024-09-24,273.9,273.94,270.5,272.92,36984140
2024-09-25,272.92,273.8,267.3,267.8,43803870
2024-09-26,267.54,269.76,265.41,267.88,31888540
2024-09-27,268.9,269.7,267.17,268.07,18889430
2024-09-30,269.26,272.33,268.14,268.49,42519740
2024-10-01,267.6,268.68,264.0,266.29,52125800
2024-10-02,266.01,268.0,258.52,259.31,46519200
2024-10-03,259.31,264.49,257.2,264.25,56534560
2024-10-04,264.96,265.44,262.11,264.09,25992290
2024-10-07,264.25,267.0,261.37,263.39,28940600
2024-10-08,263.0,263.8,261.89,262.4,16163780
2024-10-09,262.42,263.8,259.59,260.86,25021350
2024-10-10,260.88,261.64,258.91,259.98,17677230
2024-10-11,259.8,260.07,256.8,256.94,24848580
2024-10-14,256.15,263.91,254.1,261.28,64205680
2024-10-15,260.94,263.7,259.84,262.03,26247370
2024-10-16,262.05,264.72,258.45,259.5,40206260
2024-10-17,259.5,260.45,256.03,256.57,24658790
2024-10-18,256.21,258.9,254.41,257.19,30020250
2024-10-21,257.3,259.85,256.78,258.21,21471680
2024-10-22,258.1,258.8,255.25,255.42,17064680
2024-10-23,255.1,255.9,251.34,252.01,30420950
2024-10-24,252.01,254.27,250.25,252.64,28764370
2024-10-25,252.72,255.35,245.7,246.35,80587930
2024-10-28,245.02,249.0,241.61,242.56,71940990
2024-10-29,243.2,244.6,239.88,242.66,47134580
2024-10-30,242.7,246.22,241.11,241.45,39826840
2024-10-31,241.4,242.8,236.23,237.9,57274130
2024-11-01,237.9,239.1,234.57,238.03,48370770
2024-11-02,237.9,240.0,237.71,238.97,14895450
2024-11-05,239.6,241.2,238.07,239.23,28172270
2024-11-06,247.0,248.56,242.05,243.6,78965200
2024-11-07,243.26,251.0,242.16,250.93,44425190
2024-11-08,251.5,255.99,250.5,255.98,58086370
2024-11-11,257.99,261.3,256.49,260.73,67847940
2024-11-12,259.99,260.7,255.27,255.77,40926850
2024-11-13,255.29,258.96,254.05,254.7,44540020
2024-11-14,254.26,255.92,248.6,249.52,49011750
2024-11-15,249.31,254.43,248.05,253.43,44201700
2024-11-18,249.0,251.94,247.3,248.72,51559910
2024-11-19,249.03,249.83,239.62,240.59,75474680
2024-11-20,241.82,243.59,234.74,237.05,70307760
2024-11-21,237.15,240.94,234.0,240.47,75143570
2024-11-22,240.5,241.0,234.78,236.0,45621420
2024-11-25,236.0,237.1,227.25,227.81,76469770
2024-11-26,227.8,231.9,221.2,223.16,96795030
2024-11-27,223.9,226.47,219.2,226.3,112457620
2024-11-28,227.0,229.5,222.48,228.56,67840700
2024-11-29,228.48,236.99,227.55,236.49,70303900
2024-12-02,237.02,238.7,234.32,235.17,45142250
2024-12-03,235.29,235.97,230.26,230.8,45322870
2024-12-04,231.0,233.79,224.3,224.55,72417390
2024-12-05,224.57,233.75,222.82,233.48,86989140
2024-12-06,233.63,238.25,231.52,237.84,81096070
2024-12-09,239.29,240.51,236.75,237.29,52493640
2024-12-10,238.0,238.01,230.65,230.82,58740230
2024-12-11,230.5,234.39,229.22,234.19,64914300
2024-12-12,234.0,235.95,228.52,229.02,59171170
2024-12-13,228.9,231.33,227.85,228.7,46124660
2024-12-16,228.62,229.05,224.38,225.53,54593280
2024-12-17,225.6,227.49,223.72,226.5,45885470
2024-12-18,226.72,230.8,224.33,230.15,58056480
2024-12-19,230.16,234.99,227.71,229.0,124061370
2024-12-20,229.1,258.98,228.03,257.6,235186220
2024-12-23,260.0,270.0,256.51,264.9,163165650
2024-12-24,264.94,266.79,261.02,264.34,83808660
2024-12-25,263.62,273.0,260.31,271.69,125539910
2024-12-26,272.0,274.25,269.1,269.56,75735270
2024-12-27,269.61,272.16,268.57,271.2,52144690
2024-12-28,271.35,273.99,270.4,272.83,39585910
2024-12-30,274.0,279.49,273.7,279.43,52633750
2025-01-03,280.0,280.41,271.8,272.25,43086870
2025-01-06,270.88,274.41,270.07,274.37,28454750
2025-01-08,273.07,277.87,273.07,277.0,26634660
2025-01-09,276.71,278.77,270.73,271.8,52952880
2025-01-10,272.31,279.53,270.27,278.77,71154220
2025-01-13,280.62,284.75,278.6,279.8,66601710
2025-01-14,279.84,282.36,277.41,279.85,46037150
2025-01-15,280.0,282.82,276.06,282.77,52864450
2025-01-16,283.7,284.0,281.18,281.8,49453530
2025-01-17,282.2,284.64,280.19,283.53,51876150
2025-01-20,285.1,286.23,277.61,278.19,67946640
2025-01-21,279.39,281.85,276.32,281.85,40478260
2025-01-22,282.0,284.0,280.2,280.36,47106880
2025-01-23,280.79,280.79,277.35,280.49,38573410
2025-01-24,281.0,282.75,279.25,280.74,32155210
2025-01-27,280.72,280.97,275.01,275.23,39035610
2025-01-28,275.25,279.26,274.01,278.35,39030820
2025-01-29,278.0,282.18,277.12,280.36,39161630
2025-01-30,280.44,282.5,280.36,281.97,28020720
2025-01-31,281.97,284.11,280.27,280.73,40326600
2025-02-03,280.21,280.35,278.0,279.55,30370660
2025-02-04,279.55,281.41,275.7,277.4,23986670
2025-02-05,277.3,283.89,275.34,282.88,43070410
2025-02-06,283.89,288.92,282.09,287.15,69336490
2025-02-07,287.66,288.9,285.08,285.81,27574460
2025-02-10,287.61,294.55,287.61,289.94,73052590
2025-02-11,290.35,294.1,289.3,294.06,56009830
2025-02-12,294.3,314.4,291.3,314.0,185816680
2025-02-13,315.61,318.72,307.2,310.1,116925810
2025-02-14,315.59,317.84,303.06,309.87,126690930
2025-02-17,314.0,319.55,312.31,319.5,84827010
2025-02-18,319.99,320.92,310.21,312.95,85001770
2025-02-19,313.53,317.25,311.01,315.91,50484340
2025-02-20,315.91,317.96,314.02,315.05,33164900
2025-02-21,315.48,316.69,312.0,314.74,32725520
2025-02-24,314.92,316.4,313.0,316.03,35730390
2025-02-25,316.03,318.59,315.62,316.97,38823770
2025-02-26,316.97,317.45,308.31,310.22,73827020
2025-02-27,310.22,312.45,305.43,307.1,60936490
2025-02-28,306.01,310.4,304.05,309.63,65681370
2025-03-01,309.84,310.94,309.47,310.11,1138430
2025-03-02,309.5,309.63,306.8,307.44,1885110
2025-03-03,306.45,307.92,300.2,305.5,66467290
2025-03-04,306.95,318.5,306.14,316.4,88130960
2025-03-05,316.4,318.3,313.0,313.56,57792400
2025-03-06,313.6,317.43,313.57,315.18,31963110
2025-03-07,315.19,321.87,310.69,316.92,110871260
2025-03-10,316.98,320.63,316.37,317.57,39315360
2025-03-11,317.7,321.98,315.57,319.69,64935150
2025-03-12,319.99,320.9,315.8,318.39,41964450
2025-03-13,318.39,320.5,312.5,316.37,78552090
2025-03-14,316.0,321.1,314.12,320.51,51762530
2025-03-15,320.69,321.3,319.82,320.74,1455280
2025-03-16,320.52,323.5,320.52,323.44,5680630
2025-03-17,323.44,326.97,322.62,326.02,58701560
2025-03-18,326.2,329.77,323.82,324.06,72947120
2025-03-19,324.5,326.88,322.3,325.3,39800890
2025-03-20,325.41,326.0,321.8,324.05,42356340
2025-03-21,323.8,326.08,322.15,323.26,28707780
2025-03-24,323.26,323.94,318.51,319.47,33041960
2025-03-25,320.0,322.2,314.65,319.8,48328480
2025-03-26,319.9,320.88,315.01,315.23,20580040
2025-03-27,315.51,317.16,311.95,311.96,36146350
2025-03-28,311.96,313.65,305.65,308.04,51876870
2025-03-29,307.8,308.3,302.64,303.89,5739820
2025-03-30,303.2,305.3,298.8,299.22,9158830
2025-03-31,300.0,310.88,300.0,309.72,48565800
2025-04-01,310.5,312.9,302.7,303.24,46088340
2025-04-02,303.23,306.5,301.21,306.11,40207020
2025-04-03,306.21,309.2,296.0,302.09,52408560
2025-04-04,303.55,304.37,284.4,285.35,88719200
2025-04-05,285.25,287.03,280.11,284.98,14100160
2025-04-06,285.35,290.47,284.22,290.35,8755880
2025-04-07,285.3,294.0,275.76,287.56,125244840
2025-04-08,290.0,294.66,281.5,282.03,65532930
2025-04-09,280.91,294.48,276.33,293.4,109378190
2025-04-10,294.09,296.75,288.27,292.46,62862840
2025-04-11,293.0,300.48,292.8,299.81,50418210
2025-04-12,300.18,301.8,300.03,300.95,4615240
2025-04-13,300.88,301.99,300.01,301.49,4079210
2025-04-14,301.49,302.4,295.13,296.5,34768950
2025-04-15,296.51,300.45,295.6,297.99,24258710
2025-04-16,298.0,303.3,296.06,300.8,30103500
2025-04-17,300.89,305.07,300.41,304.8,37579800
2025-04-18,302.7,303.85,296.25,300.01,46147920
2025-04-21,302.67,308.7,301.76,308.12,51260130
2025-04-22,308.5,315.0,306.55,312.25,64482010
2025-04-23,313.0,314.98,305.55,310.0,58851190
2025-04-24,310.77,312.8,309.09,310.16,24120000
2025-04-25,310.85,317.87,310.71,316.69,51763570
2025-04-26,318.42,320.26,317.0,317.58,9510990
2025-04-27,318.2,318.97,317.39,318.18,2238080
2025-04-28,318.36,320.0,313.52,314.23,52315790
2025-04-29,314.99,315.45,308.1,309.41,30249990
2025-04-30,309.28,309.95,303.12,307.8,41266290
2025-05-02,307.8,307.8,299.7,299.96,19751770
2025-05-03,299.9,302.24,299.52,300.7,2942530
2025-05-04,300.7,302.78,300.02,301.8,2867700
2025-05-05,301.8,302.59,291.66,294.64,45508060
2025-05-06,294.65,304.75,292.05,302.02,49327640
2025-05-07,302.5,304.24,300.56,302.79,29667370
2025-05-08,302.9,306.0,300.61,302.15,20811410
2025-05-10,303.53,304.0,301.7,302.38,2084470
2025-05-11,305.85,307.64,304.55,305.48,8172680
2025-05-12,307.53,311.49,307.26,310.81,34702020
2025-05-13,310.8,312.5,309.61,311.24,24762720
2025-05-14,311.5,313.71,304.04,304.21,27152010
2025-05-15,304.2,307.77,300.49,304.72,47487250
2025-05-16,304.7,308.88,296.56,306.34,63956540
2025-05-17,306.34,309.48,306.01,308.89,4795590
2025-05-18,309.67,311.86,309.3,311.15,5402510
