date,open,high,low,close,volume
2025-08-15,1.6099999999999999,1.675,1.6,1.655,4276980
2025-08-16,1.6059999999999999,1.638,1.603,1.62,808836
2025-08-17,1.627,1.6320000000000001,1.608,1.621,192016
2025-08-18,1.6320000000000001,1.6640000000000001,1.6139999999999999,1.651,2841864
2025-08-19,1.651,1.7389999999999999,1.641,1.713,9533876
2025-08-20,1.716,1.749,1.697,1.734,6371210
2025-08-21,1.736,1.749,1.627,1.633,4402338
2025-08-22,1.633,1.677,1.624,1.6680000000000001,2299787
2025-08-23,1.658,1.6800000000000002,1.658,1.67,168353
2025-08-24,1.6680000000000001,1.67,1.651,1.658,164000
2025-08-25,1.659,1.669,1.631,1.641,1891498
2025-08-26,1.638,1.6909999999999998,1.638,1.667,3120846
2025-08-27,1.667,1.705,1.662,1.694,2348890
2025-08-28,1.7,1.7,1.623,1.639,2826246
2025-08-29,1.646,1.649,1.5550000000000002,1.596,5930677
2025-08-30,1.595,1.605,1.588,1.6019999999999999,209712
2025-08-31,1.605,1.611,1.597,1.6,171079
2025-09-01,1.6,1.6360000000000001,1.557,1.564,2167447
2025-09-02,1.563,1.571,1.5190000000000001,1.548,2377418
2025-09-03,1.554,1.591,1.534,1.588,1665397
2025-09-04,1.588,1.597,1.56,1.5739999999999998,853426
2025-09-05,1.575,1.5899999999999999,1.54,1.5819999999999999,1057012
2025-09-06,1.5819999999999999,1.5899999999999999,1.58,1.5819999999999999,46852
2025-09-07,1.5819999999999999,1.596,1.5819999999999999,1.5899999999999999,81990
2025-09-08,1.5859999999999999,1.6059999999999999,1.58,1.599,776284
2025-09-09,1.5979999999999999,1.6099999999999999,1.587,1.604,901746
2025-09-10,1.6019999999999999,1.605,1.5550000000000002,1.56,919405
2025-09-11,1.568,1.5859999999999999,1.537,1.575,1371042
2025-09-12,1.575,1.583,1.4969999999999999,1.5,2315736
2025-09-13,1.502,1.514,1.483,1.49,170731
2025-09-14,1.49,1.502,1.483,1.501,112896
