date,open,high,low,close,volume
2024-09-16,1.388,1.445,1.3719999999999999,1.4020000000000001,4866841
2024-09-17,1.408,1.419,1.3599999999999999,1.401,3791131
2024-09-18,1.401,1.4060000000000001,1.384,1.393,1961154
2024-09-19,1.393,1.513,1.381,1.448,7688554
2024-09-20,1.498,1.542,1.453,1.53,5654190
2024-09-23,1.53,1.617,1.53,1.595,5913984
2024-09-24,1.6,1.608,1.512,1.575,4227250
2024-09-25,1.58,1.58,1.444,1.484,4579500
2024-09-26,1.4769999999999999,1.5030000000000001,1.425,1.474,3080284
2024-09-27,1.4889999999999999,1.5470000000000002,1.456,1.532,2916270
2024-09-30,1.5430000000000001,1.633,1.51,1.5350000000000001,5988485
2024-10-01,1.525,1.5590000000000002,1.4849999999999999,1.513,2848006
2024-10-02,1.513,1.5270000000000001,1.46,1.479,2631419
2024-10-03,1.4769999999999999,1.5110000000000001,1.43,1.494,3395118
2024-10-04,1.495,1.524,1.461,1.487,1982194
2024-10-07,1.494,1.494,1.455,1.487,1078617
2024-10-08,1.484,1.492,1.467,1.48,752743
2024-10-09,1.482,1.595,1.47,1.565,8773535
2024-10-10,1.556,1.56,1.518,1.538,2095601
2024-10-11,1.532,1.665,1.532,1.625,9614333
2024-10-14,1.62,1.725,1.565,1.7,7608728
2024-10-15,1.6800000000000002,1.9849999999999999,1.6800000000000002,1.9489999999999998,30047414
2024-10-16,1.9300000000000002,1.958,1.687,1.71,29929220
2024-10-17,1.7149999999999999,1.7429999999999999,1.6520000000000001,1.682,10877246
2024-10-18,1.6800000000000002,1.717,1.654,1.698,3978872
2024-10-21,1.71,1.767,1.6560000000000001,1.701,6672876
2024-10-22,1.708,1.708,1.675,1.689,1359167
2024-10-23,1.686,1.693,1.595,1.595,3471080
2024-10-24,1.6,1.6099999999999999,1.494,1.54,5071166
2024-10-25,1.538,1.5979999999999999,1.462,1.5550000000000002,8554376
2024-10-28,1.53,1.5939999999999999,1.504,1.5510000000000002,4745263
2024-10-29,1.5510000000000002,1.7229999999999999,1.533,1.669,9440670
2024-10-30,1.682,1.751,1.58,1.588,10148977
2024-10-31,1.572,1.649,1.563,1.616,5691859
2024-11-01,1.627,1.748,1.621,1.702,7640214
2024-11-02,1.705,1.7770000000000001,1.666,1.7309999999999999,5642318
2024-11-05,1.73,1.77,1.6909999999999998,1.718,3122792
2024-11-06,1.77,1.787,1.708,1.729,3079082
2024-11-07,1.729,1.795,1.701,1.779,1598188
2024-11-08,1.787,1.808,1.745,1.78,2263227
2024-11-11,1.799,1.807,1.7029999999999998,1.706,2549142
2024-11-12,1.706,1.708,1.631,1.647,2987112
2024-11-13,1.659,1.682,1.6059999999999999,1.631,2599480
2024-11-14,1.633,1.7389999999999999,1.617,1.6989999999999998,4058104
