open,close,high,low,value,volume,begin,end,datetime
133.65,133.65,133.65,133.65,1551676.5,11610,2025-09-09 06:59:00,2025-09-09 06:59:59,2025-09-09 06:59:00
133.65,133.51,133.69,133.51,1214547.0999999999,9090,2025-09-09 07:00:00,2025-09-09 07:00:59,2025-09-09 07:00:00
133.51,133.55,133.57,133.48,2567526.5000000005,19230,2025-09-09 07:01:00,2025-09-09 07:01:59,2025-09-09 07:01:00
133.55,133.74,133.74,133.48,15812869.999999998,118340,2025-09-09 07:02:00,2025-09-09 07:02:59,2025-09-09 07:02:00
133.68,133.68,133.82,133.68,12869141.399999995,96210,2025-09-09 07:03:00,2025-09-09 07:03:59,2025-09-09 07:03:00
133.69,133.72,133.76,133.66,2854062.8000000017,21350,2025-09-09 07:04:00,2025-09-09 07:04:59,2025-09-09 07:04:00
133.72,133.78,133.78,133.72,5522183.900000001,41280,2025-09-09 07:05:00,2025-09-09 07:05:59,2025-09-09 07:05:00
133.78,133.78,133.78,133.76,4640555.8,34690,2025-09-09 07:06:00,2025-09-09 07:06:59,2025-09-09 07:06:00
133.78,133.77,133.78,133.76,2617892.0999999996,19570,2025-09-09 07:07:00,2025-09-09 07:07:59,2025-09-09 07:07:00
133.77,133.71,133.77,133.71,3170906.2999999993,23710,2025-09-09 07:08:00,2025-09-09 07:08:59,2025-09-09 07:08:00
133.72,133.68,133.72,133.67,17468541.8,130680,2025-09-09 07:09:00,2025-09-09 07:09:59,2025-09-09 07:09:00
133.68,133.67,133.68,133.67,621605.8,4650,2025-09-09 07:10:00,2025-09-09 07:10:59,2025-09-09 07:10:00
133.68,133.69,133.69,133.68,94915.0,710,2025-09-09 07:11:00,2025-09-09 07:11:59,2025-09-09 07:11:00
133.68,133.67,133.68,133.67,1911558.0999999999,14300,2025-09-09 07:12:00,2025-09-09 07:12:59,2025-09-09 07:12:00
133.66,133.68,133.68,133.59,6360055.699999999,47600,2025-09-09 07:13:00,2025-09-09 07:13:59,2025-09-09 07:13:00
133.67,133.66,133.67,133.63,656275.0999999999,4910,2025-09-09 07:14:00,2025-09-09 07:14:59,2025-09-09 07:14:00
133.64,133.64,133.65,133.63,407622.1000000001,3050,2025-09-09 07:15:00,2025-09-09 07:15:59,2025-09-09 07:15:00
133.64,133.61,133.64,133.59,1028909.8999999999,7700,2025-09-09 07:16:00,2025-09-09 07:16:59,2025-09-09 07:16:00
133.62,133.66,133.66,133.6,4901872.5,36680,2025-09-09 07:17:00,2025-09-09 07:17:59,2025-09-09 07:17:00
133.65,133.66,133.67,133.64,434366.89999999997,3250,2025-09-09 07:18:00,2025-09-09 07:18:59,2025-09-09 07:18:00
133.67,133.68,133.68,133.66,1617438.9000000004,12100,2025-09-09 07:19:00,2025-09-09 07:19:59,2025-09-09 07:19:00
133.67,133.68,133.68,133.66,3765763.2,28170,2025-09-09 07:20:00,2025-09-09 07:20:59,2025-09-09 07:20:00
133.68,133.68,133.68,133.66,1851452.4,13850,2025-09-09 07:21:00,2025-09-09 07:21:59,2025-09-09 07:21:00
133.67,133.73,133.73,133.66,2481029.5999999996,18560,2025-09-09 07:22:00,2025-09-09 07:22:59,2025-09-09 07:22:00
133.73,133.75,133.75,133.73,1361472.8,10180,2025-09-09 07:23:00,2025-09-09 07:23:59,2025-09-09 07:23:00
133.75,133.79,133.8,133.75,4181041.9,31250,2025-09-09 07:24:00,2025-09-09 07:24:59,2025-09-09 07:24:00
133.8,133.81,133.81,133.8,5948898.300000001,44460,2025-09-09 07:25:00,2025-09-09 07:25:59,2025-09-09 07:25:00
133.81,133.82,133.82,133.8,303756.80000000005,2270,2025-09-09 07:26:00,2025-09-09 07:26:59,2025-09-09 07:26:00
133.81,133.8,133.82,133.8,551304.7000000001,4120,2025-09-09 07:27:00,2025-09-09 07:27:59,2025-09-09 07:27:00
133.8,133.82,133.82,133.8,1225661.9,9160,2025-09-09 07:28:00,2025-09-09 07:28:59,2025-09-09 07:28:00
133.8,133.8,133.9,133.77,14398111.999999998,107580,2025-09-09 07:29:00,2025-09-09 07:29:59,2025-09-09 07:29:00
133.79,133.73,133.79,133.73,866682.2,6480,2025-09-09 07:30:00,2025-09-09 07:30:59,2025-09-09 07:30:00
133.75,133.72,133.75,133.71,139062.5,1040,2025-09-09 07:31:00,2025-09-09 07:31:59,2025-09-09 07:31:00
133.72,133.72,133.72,133.71,1033630.4,7730,2025-09-09 07:32:00,2025-09-09 07:32:59,2025-09-09 07:32:00
133.71,133.7,133.72,133.7,647137.4,4840,2025-09-09 07:33:00,2025-09-09 07:33:59,2025-09-09 07:33:00
133.7,133.61,133.7,133.61,4209388.9,31500,2025-09-09 07:34:00,2025-09-09 07:34:59,2025-09-09 07:34:00
133.62,133.69,133.7,133.61,618845.4000000001,4630,2025-09-09 07:35:00,2025-09-09 07:35:59,2025-09-09 07:35:00
133.66,133.71,133.71,133.66,596299.5,4460,2025-09-09 07:36:00,2025-09-09 07:36:59,2025-09-09 07:36:00
133.69,133.73,133.75,133.69,2072578.2000000002,15500,2025-09-09 07:37:00,2025-09-09 07:37:59,2025-09-09 07:37:00
133.74,133.73,133.74,133.67,1413066.8,10570,2025-09-09 07:38:00,2025-09-09 07:38:59,2025-09-09 07:38:00
133.7,133.7,133.73,133.65,104264.5,780,2025-09-09 07:39:00,2025-09-09 07:39:59,2025-09-09 07:39:00
133.7,133.69,133.7,133.69,92252.0,690,2025-09-09 07:40:00,2025-09-09 07:40:59,2025-09-09 07:40:00
133.69,133.69,133.69,133.69,697861.8,5220,2025-09-09 07:41:00,2025-09-09 07:41:59,2025-09-09 07:41:00
133.69,133.58,133.69,133.56,15323094.10000001,114690,2025-09-09 07:42:00,2025-09-09 07:42:59,2025-09-09 07:42:00
133.65,133.6,133.65,133.56,2534136.2,18970,2025-09-09 07:43:00,2025-09-09 07:43:59,2025-09-09 07:43:00
133.6,133.6,133.63,133.6,283236.8,2120,2025-09-09 07:44:00,2025-09-09 07:44:59,2025-09-09 07:44:00
133.63,133.65,133.65,133.63,32071.399999999998,240,2025-09-09 07:45:00,2025-09-09 07:45:59,2025-09-09 07:45:00
133.63,133.63,133.63,133.6,1651533.9000000001,12360,2025-09-09 07:46:00,2025-09-09 07:46:59,2025-09-09 07:46:00
133.6,133.58,133.64,133.56,745483.7000000002,5580,2025-09-09 07:47:00,2025-09-09 07:47:59,2025-09-09 07:47:00
133.55,133.55,133.56,133.55,2255680.8,16890,2025-09-09 07:48:00,2025-09-09 07:48:59,2025-09-09 07:48:00
133.55,133.6,133.6,133.53,5518020.5,41310,2025-09-09 07:49:00,2025-09-09 07:49:59,2025-09-09 07:49:00
133.6,133.64,133.66,133.57,4880833.9,36530,2025-09-09 07:50:00,2025-09-09 07:50:59,2025-09-09 07:50:00
133.64,133.57,133.64,133.57,896535.1000000001,6710,2025-09-09 07:51:00,2025-09-09 07:51:59,2025-09-09 07:51:00
133.61,133.55,133.62,133.55,794752.5,5950,2025-09-09 07:52:00,2025-09-09 07:52:59,2025-09-09 07:52:00
133.53,133.6,133.6,133.53,384669.6,2880,2025-09-09 07:53:00,2025-09-09 07:53:59,2025-09-09 07:53:00
133.56,133.6,133.6,133.56,24041.2,180,2025-09-09 07:54:00,2025-09-09 07:54:59,2025-09-09 07:54:00
133.59,133.59,133.59,133.55,1978292.1,14810,2025-09-09 07:55:00,2025-09-09 07:55:59,2025-09-09 07:55:00
133.57,133.59,133.59,133.57,70792.7,530,2025-09-09 07:56:00,2025-09-09 07:56:59,2025-09-09 07:56:00
133.57,133.59,133.59,133.57,14693.9,110,2025-09-09 07:57:00,2025-09-09 07:57:59,2025-09-09 07:57:00
133.58,133.57,133.59,133.57,104196.40000000001,780,2025-09-09 07:58:00,2025-09-09 07:58:59,2025-09-09 07:58:00
133.58,133.59,133.59,133.57,2618359.1999999997,19600,2025-09-09 07:59:00,2025-09-09 07:59:59,2025-09-09 07:59:00
133.58,133.6,133.6,133.58,387421.0,2900,2025-09-09 08:00:00,2025-09-09 08:00:59,2025-09-09 08:00:00
133.61,133.6,133.61,133.6,37410.2,280,2025-09-09 08:01:00,2025-09-09 08:01:59,2025-09-09 08:01:00
133.61,133.63,133.63,133.61,237843.5,1780,2025-09-09 08:02:00,2025-09-09 08:02:59,2025-09-09 08:02:00
133.63,133.62,133.63,133.62,336724.69999999995,2520,2025-09-09 08:03:00,2025-09-09 08:03:59,2025-09-09 08:03:00
133.63,133.64,133.64,133.61,326077.5,2440,2025-09-09 08:04:00,2025-09-09 08:04:59,2025-09-09 08:04:00
133.62,133.61,133.64,133.61,311377.7,2330,2025-09-09 08:06:00,2025-09-09 08:06:59,2025-09-09 08:06:00
