open,close,high,low,value,volume,begin,end,datetime
6483.5,6483.5,6483.5,6483.5,6963279.0,1074,2025-09-09 06:59:00,2025-09-09 06:59:59,2025-09-09 06:59:00
6466.0,6476.0,6483.5,6466.0,10893381.0,1682,2025-09-09 07:00:00,2025-09-09 07:00:59,2025-09-09 07:00:00
6476.0,6473.0,6476.5,6473.0,8243924.0,1273,2025-09-09 07:01:00,2025-09-09 07:01:59,2025-09-09 07:01:00
6473.0,6475.5,6475.5,6472.5,466151.5,72,2025-09-09 07:02:00,2025-09-09 07:02:59,2025-09-09 07:02:00
6475.0,6476.0,6479.5,6473.5,5019890.5,775,2025-09-09 07:03:00,2025-09-09 07:03:59,2025-09-09 07:03:00
6475.5,6476.0,6476.0,6471.5,485584.0,75,2025-09-09 07:04:00,2025-09-09 07:04:59,2025-09-09 07:04:00
6476.0,6475.5,6476.0,6475.5,362638.5,56,2025-09-09 07:05:00,2025-09-09 07:05:59,2025-09-09 07:05:00
6475.5,6479.0,6479.5,6475.5,1709782.0,264,2025-09-09 07:06:00,2025-09-09 07:06:59,2025-09-09 07:06:00
6479.0,6479.0,6479.5,6479.0,466515.0,72,2025-09-09 07:07:00,2025-09-09 07:07:59,2025-09-09 07:07:00
6479.0,6478.0,6479.0,6478.0,103658.0,16,2025-09-09 07:08:00,2025-09-09 07:08:59,2025-09-09 07:08:00
6478.0,6478.5,6478.5,6478.0,207301.0,32,2025-09-09 07:09:00,2025-09-09 07:09:59,2025-09-09 07:09:00
6478.0,6478.5,6478.5,6478.0,505322.5,78,2025-09-09 07:10:00,2025-09-09 07:10:59,2025-09-09 07:10:00
6478.0,6477.5,6478.5,6477.0,7299693.5,1127,2025-09-09 07:11:00,2025-09-09 07:11:59,2025-09-09 07:11:00
6477.0,6477.5,6477.5,6477.0,3665990.0,566,2025-09-09 07:12:00,2025-09-09 07:12:59,2025-09-09 07:12:00
6477.5,6478.0,6478.0,6477.5,595935.0,92,2025-09-09 07:13:00,2025-09-09 07:13:59,2025-09-09 07:13:00
6478.0,6476.5,6478.0,6475.5,1697000.0,262,2025-09-09 07:14:00,2025-09-09 07:14:59,2025-09-09 07:14:00
6476.5,6475.0,6476.5,6475.0,673465.0,104,2025-09-09 07:15:00,2025-09-09 07:15:59,2025-09-09 07:15:00
6476.5,6476.0,6476.5,6476.0,25904.5,4,2025-09-09 07:16:00,2025-09-09 07:16:59,2025-09-09 07:16:00
6476.0,6477.5,6477.5,6476.0,220201.5,34,2025-09-09 07:17:00,2025-09-09 07:17:59,2025-09-09 07:17:00
6477.0,6477.0,6477.0,6477.0,25908.0,4,2025-09-09 07:18:00,2025-09-09 07:18:59,2025-09-09 07:18:00
6477.0,6478.0,6478.0,6477.0,207277.0,32,2025-09-09 07:19:00,2025-09-09 07:19:59,2025-09-09 07:19:00
6478.0,6478.0,6478.0,6477.5,168420.5,26,2025-09-09 07:20:00,2025-09-09 07:20:59,2025-09-09 07:20:00
6477.0,6477.5,6478.0,6477.0,278526.0,43,2025-09-09 07:21:00,2025-09-09 07:21:59,2025-09-09 07:21:00
6478.0,6478.0,6478.0,6477.5,297982.0,46,2025-09-09 07:22:00,2025-09-09 07:22:59,2025-09-09 07:22:00
6477.5,6478.0,6478.0,6477.5,84213.0,13,2025-09-09 07:23:00,2025-09-09 07:23:59,2025-09-09 07:23:00
6478.0,6477.5,6478.0,6477.5,45345.0,7,2025-09-09 07:24:00,2025-09-09 07:24:59,2025-09-09 07:24:00
6478.0,6478.0,6478.0,6477.5,90689.0,14,2025-09-09 07:25:00,2025-09-09 07:25:59,2025-09-09 07:25:00
6477.5,6477.5,6478.0,6477.5,343332.5,53,2025-09-09 07:26:00,2025-09-09 07:26:59,2025-09-09 07:26:00
6478.0,6478.0,6478.0,6478.0,103648.0,16,2025-09-09 07:27:00,2025-09-09 07:27:59,2025-09-09 07:27:00
6478.0,6480.0,6480.0,6478.0,602565.5,93,2025-09-09 07:28:00,2025-09-09 07:28:59,2025-09-09 07:28:00
6480.0,6479.5,6480.0,6479.5,557254.0,86,2025-09-09 07:29:00,2025-09-09 07:29:59,2025-09-09 07:29:00
6479.5,6475.5,6479.5,6475.5,2901829.5,448,2025-09-09 07:30:00,2025-09-09 07:30:59,2025-09-09 07:30:00
6475.5,6467.5,6475.5,6467.5,6017474.5,930,2025-09-09 07:31:00,2025-09-09 07:31:59,2025-09-09 07:31:00
6467.5,6467.5,6470.0,6467.0,426852.0,66,2025-09-09 07:32:00,2025-09-09 07:32:59,2025-09-09 07:32:00
6469.5,6467.0,6469.5,6467.0,368634.5,57,2025-09-09 07:33:00,2025-09-09 07:33:59,2025-09-09 07:33:00
6467.0,6466.0,6467.0,6465.5,950508.0,147,2025-09-09 07:34:00,2025-09-09 07:34:59,2025-09-09 07:34:00
6466.0,6469.5,6469.5,6466.0,258704.5,40,2025-09-09 07:35:00,2025-09-09 07:35:59,2025-09-09 07:35:00
6469.0,6469.5,6469.5,6469.0,84100.0,13,2025-09-09 07:36:00,2025-09-09 07:36:59,2025-09-09 07:36:00
6469.5,6469.0,6469.5,6469.0,582214.5,90,2025-09-09 07:37:00,2025-09-09 07:37:59,2025-09-09 07:37:00
6469.5,6466.0,6469.5,6466.0,1506755.5,233,2025-09-09 07:38:00,2025-09-09 07:38:59,2025-09-09 07:38:00
6466.5,6468.0,6468.0,6466.5,12934.5,2,2025-09-09 07:39:00,2025-09-09 07:39:59,2025-09-09 07:39:00
6467.0,6466.0,6468.0,6465.0,1823384.5,282,2025-09-09 07:40:00,2025-09-09 07:40:59,2025-09-09 07:40:00
6466.0,6466.0,6466.0,6465.5,717721.5,111,2025-09-09 07:41:00,2025-09-09 07:41:59,2025-09-09 07:41:00
6466.0,6467.5,6467.5,6465.5,239244.5,37,2025-09-09 07:42:00,2025-09-09 07:42:59,2025-09-09 07:42:00
6466.0,6467.0,6468.5,6464.0,2340776.5,362,2025-09-09 07:43:00,2025-09-09 07:43:59,2025-09-09 07:43:00
6464.5,6468.0,6468.0,6464.0,51730.5,8,2025-09-09 07:44:00,2025-09-09 07:44:59,2025-09-09 07:44:00
6468.0,6465.0,6468.0,6465.0,148726.0,23,2025-09-09 07:45:00,2025-09-09 07:45:59,2025-09-09 07:45:00
6468.0,6468.0,6468.0,6466.0,213420.5,33,2025-09-09 07:46:00,2025-09-09 07:46:59,2025-09-09 07:46:00
6468.0,6464.5,6468.0,6464.5,2476120.5,383,2025-09-09 07:47:00,2025-09-09 07:47:59,2025-09-09 07:47:00
6464.5,6466.5,6466.5,6464.0,265055.5,41,2025-09-09 07:48:00,2025-09-09 07:48:59,2025-09-09 07:48:00
