open,close,high,low,value,volume,begin,end,datetime
3504.5,3504.5,3504.5,3504.5,24531.5,7,2025-09-09 06:59:00,2025-09-09 06:59:59,2025-09-09 06:59:00
3505.0,3503.5,3510.0,3501.5,1124808.5,321,2025-09-09 07:00:00,2025-09-09 07:00:59,2025-09-09 07:00:00
3503.5,3504.5,3504.5,3503.5,87610.5,25,2025-09-09 07:01:00,2025-09-09 07:01:59,2025-09-09 07:01:00
3504.0,3504.5,3504.5,3503.0,476565.0,136,2025-09-09 07:02:00,2025-09-09 07:02:59,2025-09-09 07:02:00
3504.0,3504.5,3504.5,3504.0,350449.5,100,2025-09-09 07:03:00,2025-09-09 07:03:59,2025-09-09 07:03:00
3509.5,3510.5,3510.5,3509.5,298350.5,85,2025-09-09 07:04:00,2025-09-09 07:04:59,2025-09-09 07:04:00
3510.5,3511.0,3512.0,3510.5,42131.5,12,2025-09-09 07:05:00,2025-09-09 07:05:59,2025-09-09 07:05:00
3512.0,3512.0,3512.0,3512.0,119408.0,34,2025-09-09 07:06:00,2025-09-09 07:06:59,2025-09-09 07:06:00
3513.0,3513.0,3513.0,3513.0,14052.0,4,2025-09-09 07:07:00,2025-09-09 07:07:59,2025-09-09 07:07:00
3513.0,3512.0,3515.0,3512.0,513092.0,146,2025-09-09 07:08:00,2025-09-09 07:08:59,2025-09-09 07:08:00
3514.5,3512.0,3515.0,3512.0,425249.0,121,2025-09-09 07:09:00,2025-09-09 07:09:59,2025-09-09 07:09:00
3512.0,3515.5,3515.5,3512.0,530786.0,151,2025-09-09 07:10:00,2025-09-09 07:10:59,2025-09-09 07:10:00
3515.5,3515.5,3515.5,3515.5,3515.5,1,2025-09-09 07:11:00,2025-09-09 07:11:59,2025-09-09 07:11:00
3515.0,3515.0,3515.0,3515.0,17575.0,5,2025-09-09 07:12:00,2025-09-09 07:12:59,2025-09-09 07:12:00
3514.5,3515.0,3515.0,3514.5,217900.0,62,2025-09-09 07:15:00,2025-09-09 07:15:59,2025-09-09 07:15:00
3513.0,3512.0,3514.0,3512.0,94835.0,27,2025-09-09 07:16:00,2025-09-09 07:16:59,2025-09-09 07:16:00
3512.0,3511.0,3512.0,3511.0,154490.0,44,2025-09-09 07:17:00,2025-09-09 07:17:59,2025-09-09 07:17:00
3511.0,3510.5,3514.0,3510.5,319551.0,91,2025-09-09 07:18:00,2025-09-09 07:18:59,2025-09-09 07:18:00
3511.0,3511.0,3511.0,3511.0,245770.0,70,2025-09-09 07:21:00,2025-09-09 07:21:59,2025-09-09 07:21:00
3513.0,3515.5,3515.5,3513.0,811807.0,231,2025-09-09 07:22:00,2025-09-09 07:22:59,2025-09-09 07:22:00
3513.0,3515.0,3515.0,3513.0,63250.0,18,2025-09-09 07:24:00,2025-09-09 07:24:59,2025-09-09 07:24:00
3515.0,3515.0,3515.5,3515.0,42180.5,12,2025-09-09 07:25:00,2025-09-09 07:25:59,2025-09-09 07:25:00
3515.0,3512.0,3515.0,3512.0,175666.0,50,2025-09-09 07:26:00,2025-09-09 07:26:59,2025-09-09 07:26:00
3511.5,3511.0,3511.5,3511.0,10533.5,3,2025-09-09 07:27:00,2025-09-09 07:27:59,2025-09-09 07:27:00
3513.5,3513.5,3513.5,3511.5,917021.5,261,2025-09-09 07:30:00,2025-09-09 07:30:59,2025-09-09 07:30:00
3513.5,3511.0,3513.5,3511.0,551237.0,157,2025-09-09 07:31:00,2025-09-09 07:31:59,2025-09-09 07:31:00
3510.5,3510.5,3510.5,3510.5,1158465.0,330,2025-09-09 07:32:00,2025-09-09 07:32:59,2025-09-09 07:32:00
3510.5,3510.5,3510.5,3510.5,63189.0,18,2025-09-09 07:33:00,2025-09-09 07:33:59,2025-09-09 07:33:00
3510.0,3510.0,3510.0,3510.0,87750.0,25,2025-09-09 07:34:00,2025-09-09 07:34:59,2025-09-09 07:34:00
3511.5,3509.5,3511.5,3509.5,7021.0,2,2025-09-09 07:35:00,2025-09-09 07:35:59,2025-09-09 07:35:00
3509.0,3508.5,3509.0,3508.5,28071.5,8,2025-09-09 07:36:00,2025-09-09 07:36:59,2025-09-09 07:36:00
3509.0,3508.5,3509.0,3508.5,98246.5,28,2025-09-09 07:37:00,2025-09-09 07:37:59,2025-09-09 07:37:00
3508.5,3508.5,3508.5,3508.5,59644.5,17,2025-09-09 07:38:00,2025-09-09 07:38:59,2025-09-09 07:38:00
3508.0,3509.5,3509.5,3507.5,140325.5,40,2025-09-09 07:39:00,2025-09-09 07:39:59,2025-09-09 07:39:00
3509.5,3510.0,3510.0,3509.5,164969.5,47,2025-09-09 07:40:00,2025-09-09 07:40:59,2025-09-09 07:40:00
3510.0,3510.0,3510.0,3510.0,52650.0,15,2025-09-09 07:42:00,2025-09-09 07:42:59,2025-09-09 07:42:00
3510.0,3507.5,3510.0,3507.5,115755.0,33,2025-09-09 07:43:00,2025-09-09 07:43:59,2025-09-09 07:43:00
3509.0,3509.0,3509.0,3509.0,3509.0,1,2025-09-09 07:44:00,2025-09-09 07:44:59,2025-09-09 07:44:00
3509.0,3507.5,3509.0,3507.5,14034.5,4,2025-09-09 07:45:00,2025-09-09 07:45:59,2025-09-09 07:45:00
3509.0,3509.0,3509.0,3509.0,3509.0,1,2025-09-09 07:46:00,2025-09-09 07:46:59,2025-09-09 07:46:00
3509.0,3509.0,3509.0,3509.0,17545.0,5,2025-09-09 07:48:00,2025-09-09 07:48:59,2025-09-09 07:48:00
3509.0,3509.0,3509.0,3509.0,35090.0,10,2025-09-09 07:49:00,2025-09-09 07:49:59,2025-09-09 07:49:00
3509.0,3509.0,3509.0,3509.0,3509.0,1,2025-09-09 07:51:00,2025-09-09 07:51:59,2025-09-09 07:51:00
3508.5,3509.5,3509.5,3508.5,112300.5,32,2025-09-09 07:52:00,2025-09-09 07:52:59,2025-09-09 07:52:00
3509.5,3509.5,3509.5,3509.5,17547.5,5,2025-09-09 07:53:00,2025-09-09 07:53:59,2025-09-09 07:53:00
3509.5,3509.5,3509.5,3509.5,3509.5,1,2025-09-09 07:54:00,2025-09-09 07:54:59,2025-09-09 07:54:00
3509.5,3509.5,3509.5,3509.0,21055.0,6,2025-09-09 07:55:00,2025-09-09 07:55:59,2025-09-09 07:55:00
3509.5,3509.5,3509.5,3509.0,66673.5,19,2025-09-09 07:56:00,2025-09-09 07:56:59,2025-09-09 07:56:00
3509.5,3509.5,3509.5,3509.0,87732.5,25,2025-09-09 07:57:00,2025-09-09 07:57:59,2025-09-09 07:57:00
3509.5,3510.0,3510.0,3509.5,10529.0,3,2025-09-09 07:59:00,2025-09-09 07:59:59,2025-09-09 07:59:00
3510.0,3510.0,3510.0,3510.0,122850.0,35,2025-09-09 08:00:00,2025-09-09 08:00:59,2025-09-09 08:00:00
3510.0,3510.0,3510.0,3510.0,7020.0,2,2025-09-09 08:01:00,2025-09-09 08:01:59,2025-09-09 08:01:00
3510.0,3510.0,3510.0,3510.0,73710.0,21,2025-09-09 08:04:00,2025-09-09 08:04:59,2025-09-09 08:04:00
3510.0,3510.0,3510.0,3510.0,530010.0,151,2025-09-09 08:06:00,2025-09-09 08:06:59,2025-09-09 08:06:00
3511.0,3512.0,3512.0,3511.0,119399.5,34,2025-09-09 08:07:00,2025-09-09 08:07:59,2025-09-09 08:07:00
3510.5,3510.5,3510.5,3510.5,49147.0,14,2025-09-09 08:08:00,2025-09-09 08:08:59,2025-09-09 08:08:00
3512.0,3512.0,3512.0,3510.5,14046.5,4,2025-09-09 08:09:00,2025-09-09 08:09:59,2025-09-09 08:09:00
3512.0,3512.0,3512.0,3512.0,3512.0,1,2025-09-09 08:10:00,2025-09-09 08:10:59,2025-09-09 08:10:00
3512.0,3512.0,3512.0,3512.0,3512.0,1,2025-09-09 08:11:00,2025-09-09 08:11:59,2025-09-09 08:11:00
3511.5,3512.0,3512.0,3511.5,35119.5,10,2025-09-09 08:12:00,2025-09-09 08:12:59,2025-09-09 08:12:00
3511.0,3510.5,3511.0,3510.5,7021.5,2,2025-09-09 08:13:00,2025-09-09 08:13:59,2025-09-09 08:13:00
3510.5,3510.0,3510.5,3510.0,358036.5,102,2025-09-09 08:14:00,2025-09-09 08:14:59,2025-09-09 08:14:00
3510.0,3511.0,3511.0,3510.0,49144.0,14,2025-09-09 08:15:00,2025-09-09 08:15:59,2025-09-09 08:15:00
3511.0,3512.0,3512.0,3511.0,129922.5,37,2025-09-09 08:17:00,2025-09-09 08:17:59,2025-09-09 08:17:00
3511.5,3510.5,3511.5,3510.5,10532.5,3,2025-09-09 08:21:00,2025-09-09 08:21:59,2025-09-09 08:21:00
3512.0,3512.0,3512.0,3512.0,3512.0,1,2025-09-09 08:22:00,2025-09-09 08:22:59,2025-09-09 08:22:00
3511.0,3512.0,3512.0,3511.0,14047.0,4,2025-09-09 08:23:00,2025-09-09 08:23:59,2025-09-09 08:23:00
3510.5,3512.0,3512.0,3510.5,7022.5,2,2025-09-09 08:24:00,2025-09-09 08:24:59,2025-09-09 08:24:00
3512.0,3511.5,3513.0,3511.5,372351.5,106,2025-09-09 08:26:00,2025-09-09 08:26:59,2025-09-09 08:26:00
3510.5,3511.5,3511.5,3510.5,7022.0,2,2025-09-09 08:27:00,2025-09-09 08:27:59,2025-09-09 08:27:00
3511.5,3511.5,3511.5,3511.5,7023.0,2,2025-09-09 08:28:00,2025-09-09 08:28:59,2025-09-09 08:28:00
3513.0,3514.5,3514.5,3513.0,727373.5,207,2025-09-09 08:30:00,2025-09-09 08:30:59,2025-09-09 08:30:00
3512.0,3512.0,3512.0,3512.0,10536.0,3,2025-09-09 08:31:00,2025-09-09 08:31:59,2025-09-09 08:31:00
3514.0,3516.0,3516.0,3514.0,2320000.5,660,2025-09-09 08:32:00,2025-09-09 08:32:59,2025-09-09 08:32:00
3515.5,3515.5,3515.5,3515.5,31639.5,9,2025-09-09 08:33:00,2025-09-09 08:33:59,2025-09-09 08:33:00
3516.0,3516.0,3516.0,3516.0,14064.0,4,2025-09-09 08:35:00,2025-09-09 08:35:59,2025-09-09 08:35:00
3515.5,3516.0,3516.0,3515.5,21093.5,6,2025-09-09 08:37:00,2025-09-09 08:37:59,2025-09-09 08:37:00
3516.0,3516.0,3516.0,3515.5,597719.5,170,2025-09-09 08:38:00,2025-09-09 08:38:59,2025-09-09 08:38:00
3516.0,3515.5,3516.0,3515.0,1156666.0,329,2025-09-09 08:39:00,2025-09-09 08:39:59,2025-09-09 08:39:00
3515.5,3515.5,3515.5,3515.5,105465.0,30,2025-09-09 08:40:00,2025-09-09 08:40:59,2025-09-09 08:40:00
3515.5,3515.0,3515.5,3515.0,98421.5,28,2025-09-09 08:42:00,2025-09-09 08:42:59,2025-09-09 08:42:00
3515.0,3514.5,3515.0,3514.5,31631.0,9,2025-09-09 08:43:00,2025-09-09 08:43:59,2025-09-09 08:43:00
3514.0,3514.0,3514.0,3514.0,10542.0,3,2025-09-09 08:45:00,2025-09-09 08:45:59,2025-09-09 08:45:00
3514.0,3514.0,3514.0,3514.0,7028.0,2,2025-09-09 08:46:00,2025-09-09 08:46:59,2025-09-09 08:46:00
3514.0,3514.5,3514.5,3514.0,28114.0,8,2025-09-09 08:48:00,2025-09-09 08:48:59,2025-09-09 08:48:00
3514.5,3514.0,3514.5,3514.0,7028.5,2,2025-09-09 08:49:00,2025-09-09 08:49:59,2025-09-09 08:49:00
3513.0,3513.0,3513.0,3513.0,3513.0,1,2025-09-09 08:50:00,2025-09-09 08:50:59,2025-09-09 08:50:00
3513.0,3514.5,3514.5,3513.0,24594.0,7,2025-09-09 08:52:00,2025-09-09 08:52:59,2025-09-09 08:52:00
3514.0,3514.0,3514.0,3514.0,10542.0,3,2025-09-09 08:53:00,2025-09-09 08:53:59,2025-09-09 08:53:00
3514.0,3514.0,3514.0,3514.0,7028.0,2,2025-09-09 08:54:00,2025-09-09 08:54:59,2025-09-09 08:54:00
3514.0,3514.0,3514.0,3514.0,17570.0,5,2025-09-09 08:55:00,2025-09-09 08:55:59,2025-09-09 08:55:00
3514.0,3514.0,3514.0,3513.0,214307.0,61,2025-09-09 08:56:00,2025-09-09 08:56:59,2025-09-09 08:56:00
3514.0,3514.5,3514.5,3511.5,548123.0,156,2025-09-09 08:58:00,2025-09-09 08:58:59,2025-09-09 08:58:00
3514.5,3513.0,3515.0,3511.5,593888.0,169,2025-09-09 08:59:00,2025-09-09 08:59:59,2025-09-09 08:59:00
3514.5,3515.5,3515.5,3514.5,713560.5,203,2025-09-09 09:00:00,2025-09-09 09:00:59,2025-09-09 09:00:00
3513.0,3513.0,3513.0,3513.0,49182.0,14,2025-09-09 09:01:00,2025-09-09 09:01:59,2025-09-09 09:01:00
3515.0,3515.0,3516.5,3515.0,2548807.0,725,2025-09-09 09:02:00,2025-09-09 09:02:59,2025-09-09 09:02:00
3517.0,3516.5,3517.0,3516.5,207474.0,59,2025-09-09 09:03:00,2025-09-09 09:03:59,2025-09-09 09:03:00
3517.0,3518.0,3518.0,3517.0,1093975.0,311,2025-09-09 09:04:00,2025-09-09 09:04:59,2025-09-09 09:04:00
3518.0,3518.0,3518.0,3517.0,253275.0,72,2025-09-09 09:05:00,2025-09-09 09:05:59,2025-09-09 09:05:00
3518.0,3518.0,3518.5,3517.5,80917.5,23,2025-09-09 09:06:00,2025-09-09 09:06:59,2025-09-09 09:06:00
3518.0,3519.0,3519.5,3518.0,1140184.5,324,2025-09-09 09:07:00,2025-09-09 09:07:59,2025-09-09 09:07:00
3519.0,3519.5,3520.0,3519.0,1432395.0,407,2025-09-09 09:08:00,2025-09-09 09:08:59,2025-09-09 09:08:00
3519.5,3519.5,3519.5,3518.5,197088.0,56,2025-09-09 09:09:00,2025-09-09 09:09:59,2025-09-09 09:09:00
3518.0,3519.5,3519.5,3518.0,7037.5,2,2025-09-09 09:10:00,2025-09-09 09:10:59,2025-09-09 09:10:00
3518.5,3519.0,3519.0,3518.5,56296.5,16,2025-09-09 09:11:00,2025-09-09 09:11:59,2025-09-09 09:11:00
3519.0,3519.0,3519.0,3519.0,7038.0,2,2025-09-09 09:12:00,2025-09-09 09:12:59,2025-09-09 09:12:00
3519.0,3519.0,3519.0,3519.0,17595.0,5,2025-09-09 09:13:00,2025-09-09 09:13:59,2025-09-09 09:13:00
3518.5,3518.5,3518.5,3518.5,7037.0,2,2025-09-09 09:14:00,2025-09-09 09:14:59,2025-09-09 09:14:00
3519.0,3518.5,3519.0,3518.5,49260.0,14,2025-09-09 09:15:00,2025-09-09 09:15:59,2025-09-09 09:15:00
3518.5,3518.5,3518.5,3518.5,49259.0,14,2025-09-09 09:16:00,2025-09-09 09:16:59,2025-09-09 09:16:00
3518.5,3518.5,3518.5,3518.5,35185.0,10,2025-09-09 09:17:00,2025-09-09 09:17:59,2025-09-09 09:17:00
3518.0,3518.5,3518.5,3518.0,432765.0,123,2025-09-09 09:18:00,2025-09-09 09:18:59,2025-09-09 09:18:00
3518.0,3517.5,3518.0,3517.5,98493.0,28,2025-09-09 09:19:00,2025-09-09 09:19:59,2025-09-09 09:19:00
3518.0,3518.0,3518.0,3517.5,10553.5,3,2025-09-09 09:20:00,2025-09-09 09:20:59,2025-09-09 09:20:00
3518.0,3518.0,3518.0,3518.0,17590.0,5,2025-09-09 09:21:00,2025-09-09 09:21:59,2025-09-09 09:21:00
3518.5,3519.5,3519.5,3518.0,506791.5,144,2025-09-09 09:23:00,2025-09-09 09:23:59,2025-09-09 09:23:00
3520.0,3520.0,3520.0,3518.0,1802214.0,512,2025-09-09 09:24:00,2025-09-09 09:24:59,2025-09-09 09:24:00
3519.5,3518.5,3520.0,3518.0,161848.0,46,2025-09-09 09:25:00,2025-09-09 09:25:59,2025-09-09 09:25:00
3519.5,3518.0,3520.0,3518.0,320183.0,91,2025-09-09 09:26:00,2025-09-09 09:26:59,2025-09-09 09:26:00
3518.0,3518.0,3518.0,3518.0,3518.0,1,2025-09-09 09:27:00,2025-09-09 09:27:59,2025-09-09 09:27:00
3518.0,3518.0,3518.0,3517.5,126633.0,36,2025-09-09 09:28:00,2025-09-09 09:28:59,2025-09-09 09:28:00
3518.0,3518.0,3518.0,3517.5,140702.0,40,2025-09-09 09:29:00,2025-09-09 09:29:59,2025-09-09 09:29:00
3517.5,3516.5,3517.5,3516.5,1688398.0,480,2025-09-09 09:30:00,2025-09-09 09:30:59,2025-09-09 09:30:00
3516.0,3516.0,3516.0,3516.0,151188.0,43,2025-09-09 09:31:00,2025-09-09 09:31:59,2025-09-09 09:31:00
3516.0,3516.0,3516.0,3516.0,28128.0,8,2025-09-09 09:32:00,2025-09-09 09:32:59,2025-09-09 09:32:00
3516.0,3516.0,3516.0,3516.0,56256.0,16,2025-09-09 09:33:00,2025-09-09 09:33:59,2025-09-09 09:33:00
3516.5,3516.0,3516.5,3516.0,21096.5,6,2025-09-09 09:34:00,2025-09-09 09:34:59,2025-09-09 09:34:00
3516.0,3515.0,3516.0,3515.0,80852.0,23,2025-09-09 09:35:00,2025-09-09 09:35:59,2025-09-09 09:35:00
3516.5,3517.0,3517.0,3516.5,355182.5,101,2025-09-09 09:37:00,2025-09-09 09:37:59,2025-09-09 09:37:00
3516.0,3516.0,3516.0,3516.0,10548.0,3,2025-09-09 09:39:00,2025-09-09 09:39:59,2025-09-09 09:39:00
3516.5,3513.0,3516.5,3513.0,885469.0,252,2025-09-09 09:40:00,2025-09-09 09:40:59,2025-09-09 09:40:00
3514.0,3515.5,3515.5,3512.0,1088955.5,310,2025-09-09 09:41:00,2025-09-09 09:41:59,2025-09-09 09:41:00
3514.0,3514.5,3514.5,3513.0,147566.5,42,2025-09-09 09:45:00,2025-09-09 09:45:59,2025-09-09 09:45:00
3514.5,3515.0,3515.0,3514.5,73810.5,21,2025-09-09 09:46:00,2025-09-09 09:46:59,2025-09-09 09:46:00
3515.0,3516.5,3516.5,3515.0,116040.0,33,2025-09-09 09:47:00,2025-09-09 09:47:59,2025-09-09 09:47:00
3517.0,3517.0,3517.0,3517.0,443142.0,126,2025-09-09 09:48:00,2025-09-09 09:48:59,2025-09-09 09:48:00
3517.0,3516.5,3517.5,3516.5,1086903.5,309,2025-09-09 09:49:00,2025-09-09 09:49:59,2025-09-09 09:49:00
3516.0,3517.0,3517.0,3515.0,1255201.5,357,2025-09-09 09:50:00,2025-09-09 09:50:59,2025-09-09 09:50:00
3516.0,3516.0,3517.5,3515.5,334073.0,95,2025-09-09 09:51:00,2025-09-09 09:51:59,2025-09-09 09:51:00
3517.5,3517.5,3517.5,3516.0,80874.0,23,2025-09-09 09:52:00,2025-09-09 09:52:59,2025-09-09 09:52:00
3517.0,3517.0,3517.0,3517.0,123095.0,35,2025-09-09 09:53:00,2025-09-09 09:53:59,2025-09-09 09:53:00
3517.5,3515.5,3517.5,3515.5,545022.5,155,2025-09-09 09:54:00,2025-09-09 09:54:59,2025-09-09 09:54:00
3515.5,3515.5,3516.0,3515.5,671516.5,191,2025-09-09 09:55:00,2025-09-09 09:55:59,2025-09-09 09:55:00
3517.0,3516.0,3517.5,3515.5,661055.5,188,2025-09-09 09:56:00,2025-09-09 09:56:59,2025-09-09 09:56:00
3517.5,3519.5,3519.5,3517.5,1604519.0,456,2025-09-09 09:57:00,2025-09-09 09:57:59,2025-09-09 09:57:00
3519.0,3519.5,3519.5,3517.0,200518.5,57,2025-09-09 09:58:00,2025-09-09 09:58:59,2025-09-09 09:58:00
3519.5,3521.0,3521.0,3518.5,2907456.5,826,2025-09-09 09:59:00,2025-09-09 09:59:59,2025-09-09 09:59:00
3521.0,3523.5,3523.5,3521.0,2542915.5,722,2025-09-09 10:00:00,2025-09-09 10:00:59,2025-09-09 10:00:00
3523.0,3526.0,3527.0,3523.0,2996296.5,850,2025-09-09 10:01:00,2025-09-09 10:01:59,2025-09-09 10:01:00
3526.0,3523.0,3527.0,3522.5,7568761.0,2147,2025-09-09 10:02:00,2025-09-09 10:02:59,2025-09-09 10:02:00
3523.0,3523.5,3525.5,3521.5,2903013.5,824,2025-09-09 10:03:00,2025-09-09 10:03:59,2025-09-09 10:03:00
3522.5,3524.0,3524.0,3522.5,362890.5,103,2025-09-09 10:04:00,2025-09-09 10:04:59,2025-09-09 10:04:00
3524.0,3523.5,3525.0,3523.0,461577.5,131,2025-09-09 10:05:00,2025-09-09 10:05:59,2025-09-09 10:05:00
3523.0,3523.5,3523.5,3523.0,73987.5,21,2025-09-09 10:06:00,2025-09-09 10:06:59,2025-09-09 10:06:00
3523.5,3524.0,3524.5,3523.5,77526.0,22,2025-09-09 10:07:00,2025-09-09 10:07:59,2025-09-09 10:07:00
3524.5,3525.0,3528.0,3524.5,6437596.0,1826,2025-09-09 10:08:00,2025-09-09 10:08:59,2025-09-09 10:08:00
3524.0,3524.0,3525.0,3524.0,362993.0,103,2025-09-09 10:09:00,2025-09-09 10:09:59,2025-09-09 10:09:00
3525.0,3522.5,3525.0,3522.5,4904869.5,1392,2025-09-09 10:10:00,2025-09-09 10:10:59,2025-09-09 10:10:00
3523.0,3523.0,3523.0,3522.5,1962110.0,557,2025-09-09 10:11:00,2025-09-09 10:11:59,2025-09-09 10:11:00
3523.0,3524.0,3524.0,3523.0,373540.5,106,2025-09-09 10:12:00,2025-09-09 10:12:59,2025-09-09 10:12:00
3523.0,3523.0,3523.0,3523.0,348777.0,99,2025-09-09 10:13:00,2025-09-09 10:13:59,2025-09-09 10:13:00
3523.5,3523.0,3523.5,3523.0,126830.0,36,2025-09-09 10:14:00,2025-09-09 10:14:59,2025-09-09 10:14:00
