open,close,high,low,value,volume,begin,end,datetime
224.15,224.15,224.15,224.15,20173.5,90,2025-09-09 06:59:00,2025-09-09 06:59:59,2025-09-09 06:59:00
224.5,224.45,224.5,224.45,31423.5,140,2025-09-09 07:00:00,2025-09-09 07:00:59,2025-09-09 07:00:00
224.45,224.45,224.45,224.2,13464.5,60,2025-09-09 07:01:00,2025-09-09 07:01:59,2025-09-09 07:01:00
224.45,224.45,224.45,224.45,2244.5,10,2025-09-09 07:03:00,2025-09-09 07:03:59,2025-09-09 07:03:00
224.45,224.45,224.45,224.45,56112.5,250,2025-09-09 07:04:00,2025-09-09 07:04:59,2025-09-09 07:04:00
224.5,224.5,224.5,224.3,22436.0,100,2025-09-09 07:06:00,2025-09-09 07:06:59,2025-09-09 07:06:00
224.5,224.5,224.5,224.5,449000.0,2000,2025-09-09 07:08:00,2025-09-09 07:08:59,2025-09-09 07:08:00
224.4,224.35,224.4,224.35,107693.5,480,2025-09-09 07:09:00,2025-09-09 07:09:59,2025-09-09 07:09:00
224.35,224.35,224.35,224.35,31409.0,140,2025-09-09 07:10:00,2025-09-09 07:10:59,2025-09-09 07:10:00
224.35,224.35,224.35,224.35,109931.5,490,2025-09-09 07:12:00,2025-09-09 07:12:59,2025-09-09 07:12:00
224.35,224.35,224.35,224.35,83009.5,370,2025-09-09 07:13:00,2025-09-09 07:13:59,2025-09-09 07:13:00
224.45,224.5,224.5,224.45,172864.0,770,2025-09-09 07:14:00,2025-09-09 07:14:59,2025-09-09 07:14:00
224.5,224.55,224.55,224.5,71842.5,320,2025-09-09 07:15:00,2025-09-09 07:15:59,2025-09-09 07:15:00
224.5,224.5,224.5,224.5,2245.0,10,2025-09-09 07:19:00,2025-09-09 07:19:59,2025-09-09 07:19:00
224.55,224.55,224.55,224.55,2245.5,10,2025-09-09 07:20:00,2025-09-09 07:20:59,2025-09-09 07:20:00
224.55,224.5,224.55,224.5,4490.5,20,2025-09-09 07:21:00,2025-09-09 07:21:59,2025-09-09 07:21:00
224.5,224.5,224.5,224.5,38165.0,170,2025-09-09 07:22:00,2025-09-09 07:22:59,2025-09-09 07:22:00
224.5,224.5,224.5,224.5,2245.0,10,2025-09-09 07:24:00,2025-09-09 07:24:59,2025-09-09 07:24:00
224.4,224.5,224.5,224.4,161637.0,720,2025-09-09 07:29:00,2025-09-09 07:29:59,2025-09-09 07:29:00
224.5,224.5,224.5,224.5,4490.0,20,2025-09-09 07:30:00,2025-09-09 07:30:59,2025-09-09 07:30:00
224.35,224.35,224.5,224.35,31415.0,140,2025-09-09 07:32:00,2025-09-09 07:32:59,2025-09-09 07:32:00
224.5,224.5,224.5,224.5,4490.0,20,2025-09-09 07:33:00,2025-09-09 07:33:59,2025-09-09 07:33:00
224.35,224.35,224.35,224.35,6730.5,30,2025-09-09 07:34:00,2025-09-09 07:34:59,2025-09-09 07:34:00
224.45,224.5,224.5,224.45,159382.5,710,2025-09-09 07:39:00,2025-09-09 07:39:59,2025-09-09 07:39:00
224.45,224.45,224.45,224.45,4489.0,20,2025-09-09 07:41:00,2025-09-09 07:41:59,2025-09-09 07:41:00
224.45,224.5,224.5,224.45,141423.0,630,2025-09-09 07:42:00,2025-09-09 07:42:59,2025-09-09 07:42:00
224.5,224.5,224.5,224.5,2245.0,10,2025-09-09 07:43:00,2025-09-09 07:43:59,2025-09-09 07:43:00
224.5,224.5,224.5,224.5,101025.0,450,2025-09-09 07:46:00,2025-09-09 07:46:59,2025-09-09 07:46:00
224.5,224.35,224.5,224.35,152655.5,680,2025-09-09 07:47:00,2025-09-09 07:47:59,2025-09-09 07:47:00
224.5,224.5,224.5,224.5,911470.0,4060,2025-09-09 07:48:00,2025-09-09 07:48:59,2025-09-09 07:48:00
224.4,224.35,224.4,224.35,11218.0,50,2025-09-09 07:49:00,2025-09-09 07:49:59,2025-09-09 07:49:00
224.45,224.5,224.5,224.45,4489.5,20,2025-09-09 07:52:00,2025-09-09 07:52:59,2025-09-09 07:52:00
224.5,224.5,224.5,224.5,2245.0,10,2025-09-09 07:53:00,2025-09-09 07:53:59,2025-09-09 07:53:00
224.5,224.5,224.5,224.5,31430.0,140,2025-09-09 07:56:00,2025-09-09 07:56:59,2025-09-09 07:56:00
224.4,224.5,224.5,224.35,197526.0,880,2025-09-09 07:57:00,2025-09-09 07:57:59,2025-09-09 07:57:00
224.5,224.5,224.5,224.5,2245.0,10,2025-09-09 07:58:00,2025-09-09 07:58:59,2025-09-09 07:58:00
224.4,224.4,224.4,224.4,24684.0,110,2025-09-09 07:59:00,2025-09-09 07:59:59,2025-09-09 07:59:00
224.4,224.4,224.4,224.4,4488.0,20,2025-09-09 08:01:00,2025-09-09 08:01:59,2025-09-09 08:01:00
224.4,224.4,224.4,224.4,2244.0,10,2025-09-09 08:02:00,2025-09-09 08:02:59,2025-09-09 08:02:00
224.45,224.45,224.45,224.45,4489.0,20,2025-09-09 08:03:00,2025-09-09 08:03:59,2025-09-09 08:03:00
224.45,224.45,224.45,224.45,20200.5,90,2025-09-09 08:04:00,2025-09-09 08:04:59,2025-09-09 08:04:00
224.45,224.45,224.45,224.45,31423.0,140,2025-09-09 08:05:00,2025-09-09 08:05:59,2025-09-09 08:05:00
224.5,224.5,224.5,224.5,4490.0,20,2025-09-09 08:07:00,2025-09-09 08:07:59,2025-09-09 08:07:00
224.5,224.45,224.5,224.45,42646.5,190,2025-09-09 08:08:00,2025-09-09 08:08:59,2025-09-09 08:08:00
224.45,224.25,224.45,224.25,695471.5,3100,2025-09-09 08:09:00,2025-09-09 08:09:59,2025-09-09 08:09:00
224.15,224.25,224.25,224.15,230901.0,1030,2025-09-09 08:10:00,2025-09-09 08:10:59,2025-09-09 08:10:00
224.2,224.2,224.2,224.2,8968.0,40,2025-09-09 08:11:00,2025-09-09 08:11:59,2025-09-09 08:11:00
224.2,224.2,224.2,224.15,192800.5,860,2025-09-09 08:12:00,2025-09-09 08:12:59,2025-09-09 08:12:00
224.15,224.15,224.15,224.15,11207.5,50,2025-09-09 08:13:00,2025-09-09 08:13:59,2025-09-09 08:13:00
224.15,224.2,224.2,224.15,15691.0,70,2025-09-09 08:14:00,2025-09-09 08:14:59,2025-09-09 08:14:00
224.25,224.25,224.25,224.25,6727.5,30,2025-09-09 08:15:00,2025-09-09 08:15:59,2025-09-09 08:15:00
224.15,224.25,224.25,224.15,47091.0,210,2025-09-09 08:16:00,2025-09-09 08:16:59,2025-09-09 08:16:00
224.15,224.15,224.15,224.15,105350.5,470,2025-09-09 08:17:00,2025-09-09 08:17:59,2025-09-09 08:17:00
224.2,224.2,224.2,224.2,11210.0,50,2025-09-09 08:21:00,2025-09-09 08:21:59,2025-09-09 08:21:00
224.2,224.25,224.25,224.2,8969.0,40,2025-09-09 08:22:00,2025-09-09 08:22:59,2025-09-09 08:22:00
224.25,224.25,224.25,224.25,2242.5,10,2025-09-09 08:23:00,2025-09-09 08:23:59,2025-09-09 08:23:00
224.2,224.1,224.2,224.1,42586.0,190,2025-09-09 08:25:00,2025-09-09 08:25:59,2025-09-09 08:25:00
224.1,224.05,224.1,224.05,179275.5,800,2025-09-09 08:28:00,2025-09-09 08:28:59,2025-09-09 08:28:00
224.2,224.2,224.2,224.2,4484.0,20,2025-09-09 08:30:00,2025-09-09 08:30:59,2025-09-09 08:30:00
224.2,224.2,224.2,224.2,2242.0,10,2025-09-09 08:31:00,2025-09-09 08:31:59,2025-09-09 08:31:00
224.1,224.05,224.1,224.05,94103.5,420,2025-09-09 08:33:00,2025-09-09 08:33:59,2025-09-09 08:33:00
224.15,224.2,224.2,224.15,257829.5,1150,2025-09-09 08:34:00,2025-09-09 08:34:59,2025-09-09 08:34:00
224.2,224.2,224.2,224.2,11210.0,50,2025-09-09 08:35:00,2025-09-09 08:35:59,2025-09-09 08:35:00
224.2,224.2,224.2,224.2,11210.0,50,2025-09-09 08:36:00,2025-09-09 08:36:59,2025-09-09 08:36:00
224.15,224.1,224.15,224.1,24656.0,110,2025-09-09 08:40:00,2025-09-09 08:40:59,2025-09-09 08:40:00
224.1,224.1,224.1,224.1,17928.0,80,2025-09-09 08:42:00,2025-09-09 08:42:59,2025-09-09 08:42:00
224.2,224.15,224.2,224.15,4483.5,20,2025-09-09 08:43:00,2025-09-09 08:43:59,2025-09-09 08:43:00
224.2,224.2,224.2,224.2,2242.0,10,2025-09-09 08:44:00,2025-09-09 08:44:59,2025-09-09 08:44:00
224.2,224.2,224.2,224.2,17936.0,80,2025-09-09 08:45:00,2025-09-09 08:45:59,2025-09-09 08:45:00
224.15,224.15,224.15,224.15,2241.5,10,2025-09-09 08:47:00,2025-09-09 08:47:59,2025-09-09 08:47:00
224.2,224.2,224.2,224.2,8968.0,40,2025-09-09 08:48:00,2025-09-09 08:48:59,2025-09-09 08:48:00
224.2,224.2,224.2,224.2,4484.0,20,2025-09-09 08:49:00,2025-09-09 08:49:59,2025-09-09 08:49:00
224.1,224.1,224.1,224.1,4482.0,20,2025-09-09 08:50:00,2025-09-09 08:50:59,2025-09-09 08:50:00
224.1,224.1,224.1,224.1,35856.0,160,2025-09-09 08:51:00,2025-09-09 08:51:59,2025-09-09 08:51:00
