open,close,high,low,value,volume,begin,end,datetime
1238.4,1238.4,1238.4,1238.4,70588.8,57,2025-09-09 06:59:00,2025-09-09 06:59:59,2025-09-09 06:59:00
1239.0,1239.2,1239.8,1238.4,1028192.5999999997,830,2025-09-09 07:00:00,2025-09-09 07:00:59,2025-09-09 07:00:00
1239.4,1238.8,1239.4,1237.8,1238971.4000000006,1000,2025-09-09 07:01:00,2025-09-09 07:01:59,2025-09-09 07:01:00
1237.8,1239.2,1239.2,1237.8,473255.00000000006,382,2025-09-09 07:02:00,2025-09-09 07:02:59,2025-09-09 07:02:00
1239.2,1239.8,1239.8,1238.8,674259.6000000001,544,2025-09-09 07:03:00,2025-09-09 07:03:59,2025-09-09 07:03:00
1239.8,1239.2,1239.8,1239.0,340809.60000000003,275,2025-09-09 07:04:00,2025-09-09 07:04:59,2025-09-09 07:04:00
1239.8,1239.0,1239.8,1239.0,282543.2,228,2025-09-09 07:05:00,2025-09-09 07:05:59,2025-09-09 07:05:00
1239.8,1240.8,1240.8,1239.0,2193951.0,1769,2025-09-09 07:06:00,2025-09-09 07:06:59,2025-09-09 07:06:00
1240.8,1241.6,1241.8,1240.2,7853179.400000001,6327,2025-09-09 07:07:00,2025-09-09 07:07:59,2025-09-09 07:07:00
1241.6,1241.4,1241.6,1240.8,834260.8,672,2025-09-09 07:08:00,2025-09-09 07:08:59,2025-09-09 07:08:00
1241.4,1241.4,1241.4,1240.8,785663.6000000001,633,2025-09-09 07:09:00,2025-09-09 07:09:59,2025-09-09 07:09:00
1241.4,1240.8,1241.4,1240.8,428138.19999999995,345,2025-09-09 07:10:00,2025-09-09 07:10:59,2025-09-09 07:10:00
1241.0,1241.0,1241.0,1241.0,256887.0,207,2025-09-09 07:11:00,2025-09-09 07:11:59,2025-09-09 07:11:00
1241.0,1241.0,1241.4,1240.8,1321961.4000000001,1065,2025-09-09 07:12:00,2025-09-09 07:12:59,2025-09-09 07:12:00
1240.8,1240.2,1240.8,1239.4,4892085.799999999,3945,2025-09-09 07:13:00,2025-09-09 07:13:59,2025-09-09 07:13:00
1239.8,1239.4,1239.8,1239.2,38420.4,31,2025-09-09 07:14:00,2025-09-09 07:14:59,2025-09-09 07:14:00
1239.4,1239.6,1239.6,1239.4,126421.00000000001,102,2025-09-09 07:15:00,2025-09-09 07:15:59,2025-09-09 07:15:00
1239.6,1239.6,1240.0,1239.0,262773.0,212,2025-09-09 07:16:00,2025-09-09 07:16:59,2025-09-09 07:16:00
1239.6,1239.2,1239.6,1239.2,151191.19999999998,122,2025-09-09 07:17:00,2025-09-09 07:17:59,2025-09-09 07:17:00
1239.4,1239.6,1239.6,1239.4,218163.59999999998,176,2025-09-09 07:18:00,2025-09-09 07:18:59,2025-09-09 07:18:00
1239.8,1239.8,1240.0,1239.6,159950.99999999997,129,2025-09-09 07:19:00,2025-09-09 07:19:59,2025-09-09 07:19:00
1240.0,1239.8,1240.0,1239.8,122749.20000000001,99,2025-09-09 07:20:00,2025-09-09 07:20:59,2025-09-09 07:20:00
1239.8,1240.0,1240.0,1239.8,14877.8,12,2025-09-09 07:21:00,2025-09-09 07:21:59,2025-09-09 07:21:00
1240.0,1240.0,1240.2,1240.0,3175650.6,2561,2025-09-09 07:22:00,2025-09-09 07:22:59,2025-09-09 07:22:00
1240.2,1240.8,1240.8,1240.2,239437.4,193,2025-09-09 07:23:00,2025-09-09 07:23:59,2025-09-09 07:23:00
1240.8,1241.0,1241.4,1240.8,720939.2,581,2025-09-09 07:24:00,2025-09-09 07:24:59,2025-09-09 07:24:00
1240.8,1241.4,1241.4,1240.8,321499.2,259,2025-09-09 07:25:00,2025-09-09 07:25:59,2025-09-09 07:25:00
1241.4,1241.0,1241.4,1241.0,1274589.8,1027,2025-09-09 07:26:00,2025-09-09 07:26:59,2025-09-09 07:26:00
1240.8,1240.6,1240.8,1240.6,265521.2,214,2025-09-09 07:27:00,2025-09-09 07:27:59,2025-09-09 07:27:00
1240.6,1241.0,1241.0,1240.4,339931.79999999993,274,2025-09-09 07:28:00,2025-09-09 07:28:59,2025-09-09 07:28:00
1240.8,1239.8,1241.6,1239.8,4170611.6000000006,3361,2025-09-09 07:29:00,2025-09-09 07:29:59,2025-09-09 07:29:00
1240.4,1240.4,1240.4,1240.4,7442.4,6,2025-09-09 07:30:00,2025-09-09 07:30:59,2025-09-09 07:30:00
1240.2,1240.2,1240.2,1240.2,130221.0,105,2025-09-09 07:31:00,2025-09-09 07:31:59,2025-09-09 07:31:00
1240.0,1239.2,1240.2,1239.2,2775203.8,2239,2025-09-09 07:32:00,2025-09-09 07:32:59,2025-09-09 07:32:00
1239.8,1239.8,1239.8,1239.8,1239.8,1,2025-09-09 07:33:00,2025-09-09 07:33:59,2025-09-09 07:33:00
1239.8,1239.8,1240.0,1239.8,385578.0,311,2025-09-09 07:34:00,2025-09-09 07:34:59,2025-09-09 07:34:00
1240.0,1239.2,1240.0,1239.2,1184692.8,956,2025-09-09 07:35:00,2025-09-09 07:35:59,2025-09-09 07:35:00
1239.6,1239.2,1239.6,1239.2,162377.6,131,2025-09-09 07:36:00,2025-09-09 07:36:59,2025-09-09 07:36:00
1239.6,1239.6,1239.6,1239.6,100407.6,81,2025-09-09 07:37:00,2025-09-09 07:37:59,2025-09-09 07:37:00
1239.6,1239.4,1239.6,1239.4,182192.2,147,2025-09-09 07:38:00,2025-09-09 07:38:59,2025-09-09 07:38:00
1239.4,1239.4,1239.4,1239.4,16112.199999999999,13,2025-09-09 07:39:00,2025-09-09 07:39:59,2025-09-09 07:39:00
1239.4,1239.2,1239.6,1239.2,1484625.2,1198,2025-09-09 07:40:00,2025-09-09 07:40:59,2025-09-09 07:40:00
1239.2,1239.0,1239.6,1239.0,7662465.4,6184,2025-09-09 07:41:00,2025-09-09 07:41:59,2025-09-09 07:41:00
1238.8,1238.8,1239.0,1238.8,885746.0000000001,715,2025-09-09 07:42:00,2025-09-09 07:42:59,2025-09-09 07:42:00
1239.0,1238.6,1239.0,1238.6,1217727.4,983,2025-09-09 07:43:00,2025-09-09 07:43:59,2025-09-09 07:43:00
1238.8,1238.6,1238.8,1238.6,1477830.0000000002,1193,2025-09-09 07:44:00,2025-09-09 07:44:59,2025-09-09 07:44:00
1238.6,1238.4,1238.6,1238.0,367736.19999999995,297,2025-09-09 07:45:00,2025-09-09 07:45:59,2025-09-09 07:45:00
1238.6,1238.2,1239.6,1238.0,4587438.800000002,3704,2025-09-09 07:46:00,2025-09-09 07:46:59,2025-09-09 07:46:00
1238.2,1239.0,1239.0,1238.2,4955.2,4,2025-09-09 07:47:00,2025-09-09 07:47:59,2025-09-09 07:47:00
1239.0,1238.6,1239.0,1238.2,713237.1999999998,576,2025-09-09 07:48:00,2025-09-09 07:48:59,2025-09-09 07:48:00
