open,close,high,low,value,volume,begin,end,datetime
458.0,458.0,458.0,458.0,138316.0,302,2025-09-09 06:59:00,2025-09-09 06:59:59,2025-09-09 06:59:00
458.35,458.5,458.55,458.0,1323018.6999999997,2886,2025-09-09 07:00:00,2025-09-09 07:00:59,2025-09-09 07:00:00
458.5,458.4,458.5,458.15,598256.7500000001,1305,2025-09-09 07:01:00,2025-09-09 07:01:59,2025-09-09 07:01:00
458.4,458.5,458.55,458.15,255306.15000000002,557,2025-09-09 07:02:00,2025-09-09 07:02:59,2025-09-09 07:02:00
458.5,458.55,458.6,458.4,397522.4,867,2025-09-09 07:03:00,2025-09-09 07:03:59,2025-09-09 07:03:00
458.6,458.5,458.6,458.5,107300.6,234,2025-09-09 07:04:00,2025-09-09 07:04:59,2025-09-09 07:04:00
458.5,458.75,458.75,458.35,1077108.9999999998,2349,2025-09-09 07:05:00,2025-09-09 07:05:59,2025-09-09 07:05:00
458.75,458.8,458.8,458.75,647363.7000000001,1411,2025-09-09 07:06:00,2025-09-09 07:06:59,2025-09-09 07:06:00
458.8,458.75,459.0,458.75,1194168.5,2602,2025-09-09 07:07:00,2025-09-09 07:07:59,2025-09-09 07:07:00
459.0,459.0,459.0,458.75,281817.85,614,2025-09-09 07:08:00,2025-09-09 07:08:59,2025-09-09 07:08:00
459.0,458.8,459.0,458.8,510712.3,1113,2025-09-09 07:09:00,2025-09-09 07:09:59,2025-09-09 07:09:00
458.8,458.8,458.95,458.8,28445.75,62,2025-09-09 07:10:00,2025-09-09 07:10:59,2025-09-09 07:10:00
458.8,458.85,458.95,458.75,10094.050000000001,22,2025-09-09 07:11:00,2025-09-09 07:11:59,2025-09-09 07:11:00
458.75,458.95,458.95,458.75,348733.15000000014,760,2025-09-09 07:12:00,2025-09-09 07:12:59,2025-09-09 07:12:00
458.9,459.0,459.0,458.9,46809.60000000001,102,2025-09-09 07:13:00,2025-09-09 07:13:59,2025-09-09 07:13:00
458.95,458.8,458.95,458.75,2648295.1,5771,2025-09-09 07:14:00,2025-09-09 07:14:59,2025-09-09 07:14:00
458.85,458.85,458.85,458.85,275310.0,600,2025-09-09 07:15:00,2025-09-09 07:15:59,2025-09-09 07:15:00
458.9,458.9,458.95,458.85,1016900.6,2216,2025-09-09 07:16:00,2025-09-09 07:16:59,2025-09-09 07:16:00
458.9,458.95,458.95,458.9,4589.2,10,2025-09-09 07:17:00,2025-09-09 07:17:59,2025-09-09 07:17:00
458.95,458.9,458.95,458.9,12390.65,27,2025-09-09 07:18:00,2025-09-09 07:18:59,2025-09-09 07:18:00
458.95,458.9,458.95,458.9,72506.29999999999,158,2025-09-09 07:19:00,2025-09-09 07:19:59,2025-09-09 07:19:00
458.95,458.9,458.95,458.9,11932.0,26,2025-09-09 07:20:00,2025-09-09 07:20:59,2025-09-09 07:20:00
458.9,458.9,458.95,458.8,2431019.9999999995,5298,2025-09-09 07:21:00,2025-09-09 07:21:59,2025-09-09 07:21:00
458.9,458.75,458.9,458.75,49101.549999999996,107,2025-09-09 07:22:00,2025-09-09 07:22:59,2025-09-09 07:22:00
458.8,458.35,458.9,458.35,3417837.1999999997,7454,2025-09-09 07:23:00,2025-09-09 07:23:59,2025-09-09 07:23:00
458.8,458.45,458.85,458.45,970005.8499999999,2115,2025-09-09 07:24:00,2025-09-09 07:24:59,2025-09-09 07:24:00
