open,close,high,low,value,volume,begin,end,datetime
313.0,313.0,313.0,313.0,1187835.0,3795,2025-09-09 06:59:00,2025-09-09 06:59:59,2025-09-09 06:59:00
313.0,312.86,313.12,312.84,3535141.5300000017,11294,2025-09-09 07:00:00,2025-09-09 07:00:59,2025-09-09 07:00:00
312.99,312.84,312.99,312.77,3260126.5099999984,10421,2025-09-09 07:01:00,2025-09-09 07:01:59,2025-09-09 07:01:00
312.84,313.04,313.04,312.84,2538269.9899999998,8112,2025-09-09 07:02:00,2025-09-09 07:02:59,2025-09-09 07:02:00
313.05,313.12,313.13,313.01,7886804.300000001,25189,2025-09-09 07:03:00,2025-09-09 07:03:59,2025-09-09 07:03:00
313.13,313.22,313.26,313.13,2690640.97,8591,2025-09-09 07:04:00,2025-09-09 07:04:59,2025-09-09 07:04:00
313.22,313.36,313.37,313.17,15523679.390000004,49552,2025-09-09 07:05:00,2025-09-09 07:05:59,2025-09-09 07:05:00
313.26,313.36,313.38,313.26,214001.52999999994,683,2025-09-09 07:06:00,2025-09-09 07:06:59,2025-09-09 07:06:00
313.36,313.31,313.5,313.29,42979606.89000002,137105,2025-09-09 07:07:00,2025-09-09 07:07:59,2025-09-09 07:07:00
313.33,313.38,313.44,313.33,3672467.3399999994,11720,2025-09-09 07:08:00,2025-09-09 07:08:59,2025-09-09 07:08:00
313.35,313.35,313.44,313.34,2501856.1800000006,7984,2025-09-09 07:09:00,2025-09-09 07:09:59,2025-09-09 07:09:00
313.35,313.31,313.38,313.31,1841865.5500000003,5878,2025-09-09 07:10:00,2025-09-09 07:10:59,2025-09-09 07:10:00
313.32,313.26,313.32,313.26,2271764.27,7251,2025-09-09 07:11:00,2025-09-09 07:11:59,2025-09-09 07:11:00
313.27,313.26,313.27,313.26,141595.99,452,2025-09-09 07:12:00,2025-09-09 07:12:59,2025-09-09 07:12:00
313.27,313.25,313.27,313.25,1047236.4200000003,3343,2025-09-09 07:13:00,2025-09-09 07:13:59,2025-09-09 07:13:00
313.25,313.1,313.25,313.1,1905029.35,6083,2025-09-09 07:14:00,2025-09-09 07:14:59,2025-09-09 07:14:00
313.18,313.1,313.18,313.09,638119.0200000001,2038,2025-09-09 07:15:00,2025-09-09 07:15:59,2025-09-09 07:15:00
313.09,313.1,313.1,313.09,539157.7,1722,2025-09-09 07:16:00,2025-09-09 07:16:59,2025-09-09 07:16:00
313.1,313.09,313.1,313.09,420169.7799999999,1342,2025-09-09 07:17:00,2025-09-09 07:17:59,2025-09-09 07:17:00
313.1,313.1,313.1,313.09,228248.85,729,2025-09-09 07:18:00,2025-09-09 07:18:59,2025-09-09 07:18:00
313.1,313.1,313.1,313.03,4728969.119999999,15105,2025-09-09 07:19:00,2025-09-09 07:19:59,2025-09-09 07:19:00
313.1,313.18,313.18,313.08,1982562.0600000003,6332,2025-09-09 07:20:00,2025-09-09 07:20:59,2025-09-09 07:20:00
313.16,313.25,313.26,313.16,1111622.42,3549,2025-09-09 07:21:00,2025-09-09 07:21:59,2025-09-09 07:21:00
313.24,313.24,313.26,313.24,1213225.35,3873,2025-09-09 07:22:00,2025-09-09 07:22:59,2025-09-09 07:22:00
313.25,313.32,313.32,313.25,4934546.120000003,15751,2025-09-09 07:23:00,2025-09-09 07:23:59,2025-09-09 07:23:00
313.32,313.32,313.32,313.31,519171.23,1657,2025-09-09 07:24:00,2025-09-09 07:24:59,2025-09-09 07:24:00
313.31,313.38,313.4,313.3,1642827.0200000003,5243,2025-09-09 07:25:00,2025-09-09 07:25:59,2025-09-09 07:25:00
313.38,313.45,313.45,313.38,2202495.58,7027,2025-09-09 07:26:00,2025-09-09 07:26:59,2025-09-09 07:26:00
313.44,313.45,313.45,313.43,4042446.2900000005,12897,2025-09-09 07:27:00,2025-09-09 07:27:59,2025-09-09 07:27:00
313.45,313.41,313.45,313.4,1676457.5300000003,5349,2025-09-09 07:28:00,2025-09-09 07:28:59,2025-09-09 07:28:00
313.4,313.32,313.4,313.31,670179.4799999999,2139,2025-09-09 07:29:00,2025-09-09 07:29:59,2025-09-09 07:29:00
313.32,313.34,313.34,313.31,1396146.7800000005,4456,2025-09-09 07:30:00,2025-09-09 07:30:59,2025-09-09 07:30:00
313.33,313.2,313.33,313.2,725893.2300000002,2317,2025-09-09 07:31:00,2025-09-09 07:31:59,2025-09-09 07:31:00
313.2,313.21,313.23,313.12,78611.79000000001,251,2025-09-09 07:32:00,2025-09-09 07:32:59,2025-09-09 07:32:00
313.2,313.19,313.21,313.13,70152.88,224,2025-09-09 07:33:00,2025-09-09 07:33:59,2025-09-09 07:33:00
313.15,313.16,313.19,313.15,95200.95000000001,304,2025-09-09 07:34:00,2025-09-09 07:34:59,2025-09-09 07:34:00
313.19,313.19,313.19,313.15,42280.47,135,2025-09-09 07:35:00,2025-09-09 07:35:59,2025-09-09 07:35:00
313.19,313.16,313.19,313.16,55432.960000000014,177,2025-09-09 07:36:00,2025-09-09 07:36:59,2025-09-09 07:36:00
313.18,313.11,313.19,313.08,5125417.05,16369,2025-09-09 07:37:00,2025-09-09 07:37:59,2025-09-09 07:37:00
313.14,313.16,313.16,313.11,40393.64,129,2025-09-09 07:38:00,2025-09-09 07:38:59,2025-09-09 07:38:00
313.16,313.24,313.25,313.1,3463966.6900000013,11061,2025-09-09 07:39:00,2025-09-09 07:39:59,2025-09-09 07:39:00
313.2,313.2,313.26,313.15,243351.92999999996,777,2025-09-09 07:40:00,2025-09-09 07:40:59,2025-09-09 07:40:00
313.2,313.23,313.23,313.15,158144.31000000014,505,2025-09-09 07:41:00,2025-09-09 07:41:59,2025-09-09 07:41:00
313.23,313.22,313.23,313.17,2448674.5,7818,2025-09-09 07:42:00,2025-09-09 07:42:59,2025-09-09 07:42:00
313.2,313.19,313.2,313.17,165051.29,527,2025-09-09 07:43:00,2025-09-09 07:43:59,2025-09-09 07:43:00
313.19,313.18,313.19,313.1,906249.5000000002,2894,2025-09-09 07:44:00,2025-09-09 07:44:59,2025-09-09 07:44:00
313.15,313.19,313.2,313.11,1187797.539999999,3793,2025-09-09 07:45:00,2025-09-09 07:45:59,2025-09-09 07:45:00
313.2,313.23,313.24,313.19,78298.35999999999,250,2025-09-09 07:46:00,2025-09-09 07:46:59,2025-09-09 07:46:00
313.23,313.24,313.24,313.2,95850.96,306,2025-09-09 07:47:00,2025-09-09 07:47:59,2025-09-09 07:47:00
313.22,313.21,313.22,313.2,61075.75,195,2025-09-09 07:48:00,2025-09-09 07:48:59,2025-09-09 07:48:00
313.21,313.19,313.21,313.18,123087.58999999998,393,2025-09-09 07:49:00,2025-09-09 07:49:59,2025-09-09 07:49:00
313.18,313.21,313.23,313.18,948967.1499999999,3030,2025-09-09 07:50:00,2025-09-09 07:50:59,2025-09-09 07:50:00
313.21,313.2,313.22,313.19,310699.01000000007,992,2025-09-09 07:51:00,2025-09-09 07:51:59,2025-09-09 07:51:00
313.21,313.23,313.24,313.2,565360.4399999997,1805,2025-09-09 07:52:00,2025-09-09 07:52:59,2025-09-09 07:52:00
