open,close,high,low,value,volume,begin,end,datetime
658.9,658.9,658.9,658.9,63913.299999999996,97,2025-09-09 06:59:00,2025-09-09 06:59:59,2025-09-09 06:59:00
659.0,659.2,659.2,658.9,123240.8,187,2025-09-09 07:00:00,2025-09-09 07:00:59,2025-09-09 07:00:00
659.1,659.1,659.2,659.1,21092.899999999998,32,2025-09-09 07:01:00,2025-09-09 07:01:59,2025-09-09 07:01:00
659.1,659.0,659.1,658.9,596333.5,905,2025-09-09 07:02:00,2025-09-09 07:02:59,2025-09-09 07:02:00
659.0,659.0,659.0,659.0,90283.0,137,2025-09-09 07:03:00,2025-09-09 07:03:59,2025-09-09 07:03:00
659.0,659.0,659.0,658.9,13179.4,20,2025-09-09 07:04:00,2025-09-09 07:04:59,2025-09-09 07:04:00
659.0,659.2,659.2,659.0,120623.4,183,2025-09-09 07:05:00,2025-09-09 07:05:59,2025-09-09 07:05:00
659.3,659.4,659.4,659.3,221534.09999999998,336,2025-09-09 07:06:00,2025-09-09 07:06:59,2025-09-09 07:06:00
659.4,659.4,659.4,659.1,234681.8,356,2025-09-09 07:07:00,2025-09-09 07:07:59,2025-09-09 07:07:00
659.1,659.4,659.4,659.1,6593.700000000001,10,2025-09-09 07:08:00,2025-09-09 07:08:59,2025-09-09 07:08:00
659.4,659.4,659.4,659.1,201720.7,306,2025-09-09 07:09:00,2025-09-09 07:09:59,2025-09-09 07:09:00
659.4,659.4,659.4,659.4,5934.6,9,2025-09-09 07:10:00,2025-09-09 07:10:59,2025-09-09 07:10:00
659.4,659.4,659.4,659.4,38245.200000000004,58,2025-09-09 07:11:00,2025-09-09 07:11:59,2025-09-09 07:11:00
659.3,659.4,659.4,659.1,8570.7,13,2025-09-09 07:14:00,2025-09-09 07:14:59,2025-09-09 07:14:00
659.4,658.8,659.4,658.8,343978.3,522,2025-09-09 07:15:00,2025-09-09 07:15:59,2025-09-09 07:15:00
659.2,659.4,659.4,659.2,19119.7,29,2025-09-09 07:16:00,2025-09-09 07:16:59,2025-09-09 07:16:00
659.4,659.4,659.4,659.4,45498.6,69,2025-09-09 07:17:00,2025-09-09 07:17:59,2025-09-09 07:17:00
659.4,659.2,659.4,659.2,8570.6,13,2025-09-09 07:18:00,2025-09-09 07:18:59,2025-09-09 07:18:00
659.2,659.2,659.2,659.2,1977.6000000000001,3,2025-09-09 07:19:00,2025-09-09 07:19:59,2025-09-09 07:19:00
659.0,659.0,659.0,658.9,347286.7,527,2025-09-09 07:20:00,2025-09-09 07:20:59,2025-09-09 07:20:00
658.9,659.0,659.0,658.7,119919.59999999999,182,2025-09-09 07:21:00,2025-09-09 07:21:59,2025-09-09 07:21:00
659.0,659.0,659.0,659.0,80398.0,122,2025-09-09 07:22:00,2025-09-09 07:22:59,2025-09-09 07:22:00
659.0,659.2,659.2,659.0,18452.600000000002,28,2025-09-09 07:23:00,2025-09-09 07:23:59,2025-09-09 07:23:00
659.1,659.2,659.2,659.1,32956.2,50,2025-09-09 07:24:00,2025-09-09 07:24:59,2025-09-09 07:24:00
659.1,659.3,659.3,659.1,33623.3,51,2025-09-09 07:25:00,2025-09-09 07:25:59,2025-09-09 07:25:00
659.3,659.4,659.4,659.3,3296.9,5,2025-09-09 07:26:00,2025-09-09 07:26:59,2025-09-09 07:26:00
659.4,659.4,659.4,659.4,7912.8,12,2025-09-09 07:27:00,2025-09-09 07:27:59,2025-09-09 07:27:00
659.4,659.5,659.5,659.4,23741.5,36,2025-09-09 07:28:00,2025-09-09 07:28:59,2025-09-09 07:28:00
