Symbol,Model,R2,MAE,CV_Mean,CV_Std,Training_Time
GAZP,random_forest,-0.2571,0.3327,-9.9909,7.1964,103.70s
GAZP,gradient_boosting,0.0636,0.2215,-5.8018,5.1468,506.16s
GAZP,ridge,0.0024,0.2291,-0.0270,0.0238,0.00s
GAZP,linear_regression,0.0021,0.2298,-0.0354,0.0305,0.07s
SBER,random_forest,-0.7957,0.1659,-0.2814,0.1389,119.28s
SBER,gradient_boosting,-0.2513,0.1447,-0.6684,0.4668,526.11s
SBER,ridge,-0.0009,0.1399,-0.0078,0.0168,0.00s
SBER,linear_regression,-0.0009,0.1399,-0.0079,0.0168,0.12s
PIKK,random_forest,-0.1149,0.4356,-1.0569,0.8598,102.06s
PIKK,gradient_boosting,0.0066,0.3737,-1.3272,0.7791,471.05s
PIKK,ridge,0.0073,0.3384,-0.0064,0.0066,0.00s
PIKK,linear_regression,0.0073,0.3385,-0.0064,0.0066,0.11s
IRAO,random_forest,-0.0075,0.1232,-0.0804,0.0358,95.50s
IRAO,gradient_boosting,-0.0217,0.1285,-0.4038,0.4223,472.37s
IRAO,ridge,-0.0039,0.1239,-0.0011,0.0014,0.02s
IRAO,linear_regression,-0.0030,0.1247,-0.0020,0.0017,0.31s
SGZH,random_forest,-0.0156,0.2839,-0.0325,0.0219,99.02s
SGZH,gradient_boosting,-0.0166,0.2821,-0.0779,0.0612,481.74s
SGZH,ridge,-0.0117,0.2969,-0.0056,0.0016,0.00s
SGZH,linear_regression,-0.0117,0.2969,-0.0056,0.0016,0.05s
